wn_max,wg_frac,bond_drag,wn_bind_frac,CAGR_FULL,CAGR_IS,CAGR_OOS,Sharpe_FULL,Sharpe_IS,Sharpe_OOS,MaxDD_FULL,Worst5Y,IS_OOS_Gap,pass_all,pass_core
0.500000,1.000000,True,0.751158,0.241830,0.219501,0.488097,0.820211,0.777325,1.181455,-0.825317,-0.193202,26.859677,False,False
0.500000,1.000000,False,0.751158,0.241830,0.219501,0.488097,0.820211,0.777325,1.181455,-0.825317,-0.193202,26.859677,False,False
0.400000,1.000000,False,0.845698,0.207789,0.183281,0.479019,0.758300,0.706503,1.172218,-0.857042,-0.259137,29.573764,False,False
0.400000,1.000000,True,0.845698,0.207789,0.183281,0.479019,0.758300,0.706503,1.172218,-0.857042,-0.259137,29.573764,False,False
0.600000,1.000000,True,0.613562,0.272872,0.252642,0.495969,0.850438,0.815273,1.161134,-0.811860,-0.158068,24.332709,False,False
0.600000,1.000000,False,0.613562,0.272872,0.252642,0.495969,0.850438,0.815273,1.161134,-0.811860,-0.158068,24.332709,False,False
0.700000,1.000000,True,0.425925,0.299202,0.282117,0.486842,0.862060,0.835994,1.101727,-0.813979,-0.144034,20.472477,False,False
0.700000,1.000000,False,0.425925,0.299202,0.282117,0.486842,0.862060,0.835994,1.101727,-0.813979,-0.144034,20.472477,False,False
0.500000,0.800000,False,0.751158,0.246760,0.233066,0.395082,0.866828,0.843872,1.078115,-0.777200,-0.124398,16.201642,False,False
0.400000,0.800000,False,0.845698,0.213635,0.198330,0.378387,0.821124,0.792348,1.072116,-0.809462,-0.183616,18.005689,False,False
0.500000,0.800000,True,0.751158,0.240569,0.226933,0.388278,0.850794,0.827421,1.065054,-0.779003,-0.128597,16.134573,False,False
0.400000,0.800000,True,0.845698,0.206693,0.191466,0.370625,0.801059,0.771613,1.056451,-0.811285,-0.188225,17.915956,False,False
0.600000,0.800000,False,0.613562,0.277360,0.265352,0.408837,0.883591,0.865799,1.056224,-0.764336,-0.112970,14.348434,False,False
0.600000,0.800000,True,0.613562,0.271827,0.259862,0.402846,0.871009,0.852959,1.045605,-0.766046,-0.117070,14.298390,False,False
0.700000,0.800000,False,0.425925,0.303781,0.294416,0.407653,0.886749,0.875660,1.003350,-0.768294,-0.102260,11.323692,False,False
0.700000,0.800000,True,0.425925,0.298775,0.289433,0.402390,0.876692,0.865416,0.994771,-0.769863,-0.105984,11.295746,False,False
0.500000,0.600000,False,0.751158,0.248315,0.243605,0.302263,0.896705,0.896158,0.930612,-0.718864,-0.070689,5.865801,False,False
0.600000,0.600000,False,0.613562,0.278999,0.275483,0.322326,0.903784,0.904954,0.920625,-0.706467,-0.067363,4.684323,False,False
0.400000,0.600000,False,0.845698,0.215262,0.209616,0.277338,0.864700,0.862852,0.912959,-0.748537,-0.106605,6.772182,False,False
0.500000,0.600000,True,0.751158,0.235950,0.231265,0.289588,0.863165,0.861865,0.902668,-0.723393,-0.080373,5.832318,False,False
0.600000,0.600000,True,0.613562,0.267944,0.264439,0.311101,0.877858,0.878549,0.898437,-0.710719,-0.076080,4.666247,False,False
0.700000,0.600000,False,0.425925,0.305843,0.304412,0.329009,0.901578,0.906428,0.884536,-0.712327,-0.064186,2.459700,False,False
0.400000,0.600000,True,0.845698,0.201400,0.195798,0.262989,0.821712,0.818645,0.878413,-0.753323,-0.116709,6.719081,False,False
0.700000,0.600000,True,0.425925,0.295834,0.294388,0.319087,0.881042,0.885534,0.866873,-0.716206,-0.072036,2.469925,False,False
0.600000,0.500000,False,0.613562,0.278750,0.279564,0.279475,0.907764,0.918808,0.841544,-0.673409,-0.059358,0.008865,False,False
0.500000,0.500000,False,0.751158,0.247828,0.247717,0.256177,0.902713,0.914005,0.839131,-0.684713,-0.061326,0.846021,False,False
0.700000,0.500000,False,0.425925,0.305927,0.308532,0.290017,0.904649,0.917686,0.818005,-0.679851,-0.056363,1.851520,False,False
0.600000,0.500000,True,0.613562,0.264948,0.265729,0.265911,0.875096,0.885566,0.813397,-0.679311,-0.070335,0.018154,False,False
0.400000,0.500000,False,0.845698,0.214493,0.213817,0.227036,0.873819,0.886399,0.807082,-0.711772,-0.067842,1.321955,False,False
0.500000,0.500000,True,0.751158,0.232396,0.232261,0.240912,0.860274,0.870686,0.803356,-0.691047,-0.073613,0.865033,False,False
0.700000,0.500000,True,0.425925,0.293427,0.295974,0.277988,0.878838,0.891438,0.795718,-0.685237,-0.066246,1.798670,False,False
0.400000,0.500000,True,0.845698,0.197201,0.196510,0.209828,0.819045,0.830224,0.762306,-0.718610,-0.080999,1.331870,False,False
0.600000,0.400000,False,0.613562,0.277790,0.282980,0.236978,0.907257,0.928291,0.755817,-0.638357,-0.051530,4.600253,False,False
0.700000,0.400000,False,0.425925,0.305382,0.312059,0.251306,0.904622,0.925898,0.747366,-0.645673,-0.048694,6.075303,False,False
0.500000,0.400000,False,0.751158,0.246499,0.251049,0.210433,0.901837,0.925159,0.736724,-0.648171,-0.053706,4.061669,False,False
0.600000,0.400000,True,0.613562,0.261258,0.266353,0.221255,0.867934,0.888311,0.721723,-0.646437,-0.064796,4.509719,False,False
0.700000,0.400000,True,0.425925,0.290403,0.296964,0.237316,0.873585,0.894350,0.720470,-0.653075,-0.060638,5.964877,False,False
0.500000,0.400000,True,0.751158,0.228024,0.232476,0.192800,0.850676,0.873021,0.693109,-0.656883,-0.068550,3.967634,False,False
0.400000,0.400000,False,0.845698,0.212673,0.217044,0.177070,0.872337,0.899573,0.684112,-0.671683,-0.053001,3.997373,False,False
0.700000,0.300000,False,0.425925,0.304209,0.314990,0.212922,0.901460,0.930952,0.673310,-0.611063,-0.041185,10.206805,False,False
0.600000,0.300000,False,0.613562,0.276121,0.285728,0.194894,0.902187,0.933204,0.664597,-0.602377,-0.043884,9.083445,False,False
0.700000,0.300000,True,0.425925,0.286765,0.297357,0.197113,0.865300,0.894212,0.641875,-0.620523,-0.055213,10.024451,False,False
0.400000,0.400000,True,0.845698,0.191984,0.196250,0.157286,0.806143,0.831868,0.629045,-0.681283,-0.069561,3.896391,False,False
0.500000,0.300000,False,0.751158,0.244332,0.253596,0.165115,0.893905,0.929244,0.625268,-0.610264,-0.046313,8.848076,False,False
0.600000,0.300000,True,0.613562,0.256879,0.266309,0.177191,0.856400,0.886687,0.624674,-0.612721,-0.059467,8.911775,False,False
0.500000,0.300000,True,0.751158,0.222842,0.231910,0.145334,0.834411,0.868698,0.574028,-0.621497,-0.063743,8.657547,False,False
0.400000,0.300000,False,0.845698,0.209810,0.219291,0.127569,0.859860,0.901615,0.547056,-0.629360,-0.046549,9.172208,False,False
0.400000,0.300000,True,0.845698,0.185763,0.195022,0.105486,0.783065,0.823255,0.482102,-0.641970,-0.065972,8.953597,False,False
