wg_frac,L_g,wn_cap,bond_drag,CAGR_FULL,CAGR_IS,CAGR_OOS,Sharpe_FULL,Sharpe_IS,Sharpe_OOS,MaxDD_FULL,Worst5Y,IS_OOS_Gap,pass_all,pass_core
0.950000,4.000000,0.700000,False,0.210873,0.194298,0.388672,0.790313,0.756396,1.078579,-0.811198,-0.189822,19.437366,False,False
0.950000,4.000000,0.700000,True,0.209708,0.193146,0.387372,0.787093,0.753079,1.076030,-0.811518,-0.190610,19.422544,False,False
0.950000,5.000000,0.700000,False,0.209628,0.188183,0.443476,0.726511,0.684079,1.075201,-0.871783,-0.263884,25.529319,False,False
0.950000,5.000000,0.700000,True,0.208465,0.187037,0.442125,0.723711,0.681189,1.073007,-0.872001,-0.264601,25.508798,False,False
0.950000,3.000000,0.700000,False,0.208255,0.196873,0.328921,0.861404,0.838904,1.065480,-0.722308,-0.108745,13.204783,False,False
0.950000,3.000000,0.700000,True,0.207093,0.195719,0.327677,0.857682,0.835079,1.062488,-0.722779,-0.109612,13.195779,False,False
0.900000,5.000000,0.700000,False,0.212131,0.192879,0.420460,0.745806,0.708170,1.059231,-0.858802,-0.243829,22.758154,False,False
0.900000,4.000000,0.700000,False,0.212496,0.197939,0.367811,0.808673,0.780042,1.057284,-0.796329,-0.172029,16.987268,False,False
0.900000,5.000000,0.700000,True,0.209801,0.190580,0.417803,0.740015,0.702196,1.054688,-0.859282,-0.245300,22.722318,False,False
0.900000,4.000000,0.700000,True,0.210165,0.195630,0.365252,0.802053,0.773225,1.052034,-0.797020,-0.173639,16.962218,False,False
0.950000,4.000000,0.850000,False,0.222550,0.208288,0.374358,0.812373,0.785678,1.046067,-0.811328,-0.172113,16.607024,False,False
0.950000,4.000000,1.000000,False,0.222550,0.208288,0.374358,0.812373,0.785678,1.046067,-0.811328,-0.172113,16.607024,False,False
0.950000,5.000000,0.850000,False,0.220444,0.201792,0.421524,0.749580,0.714547,1.044655,-0.871081,-0.245451,21.973187,False,False
0.950000,5.000000,1.000000,False,0.220444,0.201792,0.421524,0.749580,0.714547,1.044655,-0.871081,-0.245451,21.973187,False,False
0.950000,4.000000,0.850000,True,0.221464,0.207211,0.373189,0.809456,0.782675,1.043764,-0.811644,-0.172889,16.597869,False,False
0.950000,4.000000,1.000000,True,0.221464,0.207211,0.373189,0.809456,0.782675,1.043764,-0.811644,-0.172889,16.597869,False,False
0.950000,5.000000,0.850000,True,0.219360,0.200720,0.420315,0.747010,0.711899,1.042641,-0.871297,-0.246158,21.959458,False,False
0.950000,5.000000,1.000000,True,0.219360,0.200720,0.420315,0.747010,0.711899,1.042641,-0.871297,-0.246158,21.959458,False,False
0.850000,5.000000,0.700000,False,0.214330,0.197305,0.397267,0.765539,0.733041,1.041015,-0.844595,-0.223300,19.996243,False,False
0.900000,3.000000,0.700000,False,0.209394,0.199812,0.310904,0.877142,0.860349,1.037240,-0.706521,-0.093809,11.109227,False,False
0.850000,5.000000,0.700000,True,0.210831,0.193845,0.393348,0.756559,0.723779,1.033955,-0.845387,-0.225566,19.950260,False,False
0.850000,4.000000,0.700000,False,0.213904,0.201387,0.346907,0.826937,0.803893,1.033420,-0.780339,-0.153914,14.552042,False,False
0.900000,3.000000,0.700000,True,0.207070,0.197500,0.308451,0.869550,0.852550,1.031126,-0.707516,-0.095571,11.095142,False,False
0.950000,3.000000,0.850000,False,0.221023,0.211423,0.322567,0.879217,0.863442,1.030130,-0.724198,-0.092076,11.114409,False,False
0.950000,3.000000,1.000000,False,0.221023,0.211423,0.322567,0.879217,0.863442,1.030130,-0.724198,-0.092076,11.114409,False,False
0.900000,5.000000,1.000000,False,0.223080,0.206471,0.401024,0.768626,0.738166,1.029252,-0.858120,-0.225668,19.455331,False,False
0.900000,5.000000,0.850000,False,0.223080,0.206471,0.401024,0.768626,0.738166,1.029252,-0.858120,-0.225668,19.455331,False,False
0.950000,3.000000,1.000000,True,0.219939,0.210342,0.321441,0.875901,0.860034,1.027484,-0.724659,-0.092927,11.109920,False,False
0.950000,3.000000,0.850000,True,0.219939,0.210342,0.321441,0.875901,0.860034,1.027484,-0.724659,-0.092927,11.109920,False,False
