wg_frac,L_g,bond_variant,CAGR_FULL,CAGR_IS,CAGR_OOS,Sharpe_FULL,Sharpe_IS,Sharpe_OOS,MaxDD_FULL,Worst5Y,IS_OOS_Gap,pass_all,pass_w5_sh
0.800000,3.000000,TMF_3x_nodrag,0.224386,0.219869,0.273527,0.920045,0.920466,0.944156,-0.674622,-0.055064,5.365871,False,False
0.800000,3.000000,TMF_3x_drag,0.220043,0.215523,0.269198,0.906137,0.906180,0.933014,-0.676791,-0.058714,5.367486,False,False
0.750000,3.000000,TMF_3x_nodrag,0.225232,0.222431,0.257196,0.931754,0.937866,0.910924,-0.656329,-0.044265,3.476492,False,False
0.750000,3.000000,TMF_3x_drag,0.219802,0.216991,0.251856,0.914134,0.919772,0.896785,-0.659189,-0.048877,3.486535,False,False
0.800000,2.000000,TMF_3x_nodrag,0.218994,0.218667,0.226535,0.965861,0.980130,0.878734,-0.552643,-0.015381,0.786754,False,False
0.700000,3.000000,TMF_3x_nodrag,0.225940,0.224867,0.240881,0.942250,0.954164,0.875348,-0.637079,-0.033389,1.601464,False,False
0.800000,2.000000,TMF_3x_drag,0.214670,0.214326,0.222365,0.950616,0.964498,0.866376,-0.555622,-0.019183,0.803844,False,False
0.700000,3.000000,TMF_3x_drag,0.219423,0.218328,0.234559,0.920851,0.932196,0.858147,-0.640701,-0.038982,1.623058,False,False
0.750000,2.000000,TMF_3x_nodrag,0.219842,0.220990,0.213148,0.972264,0.991898,0.842068,-0.536856,-0.009629,0.784181,False,False
0.650000,3.000000,TMF_3x_nodrag,0.226510,0.227174,0.224587,0.951378,0.969184,0.837441,-0.616829,-0.022435,0.258662,False,False
0.750000,2.000000,TMF_3x_drag,0.214436,0.215556,0.207994,0.953120,0.972271,0.826534,-0.540708,-0.014459,0.756154,False,False
0.650000,3.000000,TMF_3x_drag,0.218907,0.219534,0.217310,0.926152,0.943293,0.817124,-0.621285,-0.029031,0.222434,False,False
0.700000,2.000000,TMF_3x_nodrag,0.220597,0.223226,0.199787,0.977352,1.002347,0.803944,-0.520601,-0.006307,2.343878,False,False
0.600000,3.000000,TMF_3x_nodrag,0.226943,0.229352,0.208319,0.958997,0.982755,0.797249,-0.595550,-0.014353,2.103343,False,False
0.700000,2.000000,TMF_3x_drag,0.214108,0.216696,0.193673,0.954303,0.978721,0.785223,-0.525381,-0.012119,2.302315,False,False
0.600000,3.000000,TMF_3x_drag,0.218254,0.220610,0.200115,0.929915,0.952916,0.773779,-0.600927,-0.022033,2.049449,False,False
0.650000,2.000000,TMF_3x_nodrag,0.221259,0.225376,0.186455,0.981075,1.011407,0.764480,-0.503866,-0.003025,3.892061,False,False
0.550000,3.000000,TMF_3x_nodrag,0.227237,0.231401,0.192080,0.964981,0.994722,0.754861,-0.573447,-0.009975,3.932049,False,False
0.650000,2.000000,TMF_3x_drag,0.213688,0.217748,0.179404,0.954136,0.983797,0.742573,-0.509633,-0.009825,3.834395,False,False
0.550000,3.000000,TMF_3x_drag,0.217464,0.221554,0.182979,0.932035,0.960929,0.728214,-0.579820,-0.018648,3.857502,False,False
0.600000,2.000000,TMF_3x_nodrag,0.221828,0.227438,0.173153,0.983403,1.019024,0.723812,-0.486642,0.000216,5.428456,False,True
0.500000,3.000000,TMF_3x_nodrag,0.227393,0.233320,0.175877,0.969225,1.004949,0.710404,-0.550226,-0.005632,5.744261,False,False
0.600000,2.000000,TMF_3x_drag,0.213175,0.218710,0.165188,0.952603,0.987463,0.698733,-0.493455,-0.007577,5.352157,False,False
0.550000,2.000000,TMF_3x_nodrag,0.222304,0.229413,0.159885,0.984322,1.025163,0.682091,-0.469177,0.003414,6.952796,False,False
0.500000,3.000000,TMF_3x_drag,0.216537,0.222367,0.165905,0.932430,0.967221,0.680576,-0.557685,-0.015306,5.646127,False,False
0.450000,3.000000,TMF_3x_nodrag,0.227410,0.235108,0.159714,0.971648,1.013325,0.664046,-0.525890,-0.001324,7.539473,False,False
0.550000,2.000000,TMF_3x_drag,0.212570,0.219582,0.151028,0.949708,0.989701,0.653868,-0.477168,-0.005376,6.855369,False,False
0.500000,2.000000,TMF_3x_nodrag,0.222686,0.231300,0.146652,0.983838,1.029809,0.639483,-0.452853,0.006571,8.464820,False,False
0.450000,3.000000,TMF_3x_drag,0.215475,0.223048,0.148899,0.931042,0.971703,0.631051,-0.534602,-0.012007,7.414867,False,False
0.400000,3.000000,TMF_3x_nodrag,0.227290,0.236766,0.143594,0.972202,1.019768,0.615996,-0.502151,0.002947,9.317190,False,False
0.500000,2.000000,TMF_3x_drag,0.211872,0.220365,0.136927,0.945471,0.990510,0.608157,-0.462246,-0.003221,8.343808,False,False
0.450000,2.000000,TMF_3x_nodrag,0.222975,0.233099,0.133456,0.981971,1.032964,0.596165,-0.436905,0.009686,9.964271,False,False
0.400000,3.000000,TMF_3x_drag,0.214276,0.223597,0.131965,0.927846,0.974318,0.579866,-0.512392,-0.008750,9.163282,False,False
