combo_name,fold_id,fold_start,fold_end,n_days,cagr,sharpe,maxdd,worst1y
Baseline,Fold-1,2021-05-10,2022-05-04,250,0.04696308301709906,0.32867612706179333,-0.2211012198715011,
Baseline,Fold-2,2022-05-19,2023-05-17,250,-0.0018449217880665003,0.13085834244438108,-0.2414911143423233,
Baseline,Fold-3,2023-06-02,2024-05-30,250,0.29674889388855386,1.0426584984862097,-0.27529233241534523,
Baseline,Fold-4,2024-06-14,2025-06-13,250,-0.013315366133836881,0.10743492996813865,-0.21270879770789286,
Baseline,Fold-5,2025-07-01,2026-03-26,186,0.17234987128848434,0.6696124105834914,-0.22887784963871327,
P01_Dyn×HY,Fold-1,2021-05-10,2022-05-04,250,0.108267302579238,0.6326195004042195,-0.1509418417398487,
P01_Dyn×HY,Fold-2,2022-05-19,2023-05-17,250,0.06477001724031539,0.38263072156434297,-0.19514544805234635,
P01_Dyn×HY,Fold-3,2023-06-02,2024-05-30,250,0.33301413718162665,1.2005034930250218,-0.2246065206574238,
P01_Dyn×HY,Fold-4,2024-06-14,2025-06-13,250,0.015975603585092646,0.20118363991439542,-0.19950634696685166,
P01_Dyn×HY,Fold-5,2025-07-01,2026-03-26,186,0.1721214199635479,0.6717799321113233,-0.21659492535941238,
P02_Dyn×CPI,Fold-1,2021-05-10,2022-05-04,250,0.07922098313715509,0.5459306018065787,-0.13335702027547602,
P02_Dyn×CPI,Fold-2,2022-05-19,2023-05-17,250,0.07224082679813137,0.4165009867806795,-0.18169469420837003,
P02_Dyn×CPI,Fold-3,2023-06-02,2024-05-30,250,0.34155504131875714,1.2270842069293604,-0.220637815816763,
P02_Dyn×CPI,Fold-4,2024-06-14,2025-06-13,250,0.01673851407810667,0.20083797125201064,-0.17901491768506395,
P02_Dyn×CPI,Fold-5,2025-07-01,2026-03-26,186,0.1713772924378667,0.680605595480908,-0.21089113798685843,
P03_Dyn×MA,Fold-1,2021-05-10,2022-05-04,250,0.10238978696770795,0.6057717913753669,-0.15662928306674695,
P03_Dyn×MA,Fold-2,2022-05-19,2023-05-17,250,0.04780747245717176,0.3146102142226484,-0.19442081659001864,
P03_Dyn×MA,Fold-3,2023-06-02,2024-05-30,250,0.32740007455940034,1.1848516363749866,-0.2246065206574236,
P03_Dyn×MA,Fold-4,2024-06-14,2025-06-13,250,0.017457572604505867,0.2059846379621675,-0.18858582741664465,
P03_Dyn×MA,Fold-5,2025-07-01,2026-03-26,186,0.15982482284557786,0.635411854275822,-0.22266941782623395,
P05_HY×CPI,Fold-1,2021-05-10,2022-05-04,250,0.008186583955755111,0.14320969046252016,-0.2322704728039383,
P05_HY×CPI,Fold-2,2022-05-19,2023-05-17,250,-0.019826966830118087,0.0762064634553578,-0.2784660457330479,
P05_HY×CPI,Fold-3,2023-06-02,2024-05-30,250,0.29641927923705236,1.0406383903867382,-0.27616667854487076,
P05_HY×CPI,Fold-4,2024-06-14,2025-06-13,250,-0.001779942258758882,0.14894307458892309,-0.20279580168641165,
P05_HY×CPI,Fold-5,2025-07-01,2026-03-26,186,0.17396569657475425,0.6842765873833023,-0.22399770949053044,
P06_HY×MA,Fold-1,2021-05-10,2022-05-04,250,0.001970342731133501,0.12165454927910604,-0.25663724226910245,
P06_HY×MA,Fold-2,2022-05-19,2023-05-17,250,-0.03847945361192018,0.029496736233985524,-0.30594045011430704,
P06_HY×MA,Fold-3,2023-06-02,2024-05-30,250,0.2943047301920596,1.0361293296444882,-0.27529233241534534,
P06_HY×MA,Fold-4,2024-06-14,2025-06-13,250,-0.008410633285906854,0.13165190038366814,-0.20882637064195086,
P06_HY×MA,Fold-5,2025-07-01,2026-03-26,186,0.15411204795149924,0.6160441277523769,-0.23775024754701501,
