combo_name,sharpe_oos,n_trials_total,n_eff,e_max_sr_annual,psr_deflated,dsr_pass
Baseline,0.697,72,5,0.1322,0.8957,REJECT
Baseline,0.697,72,8,0.1618,0.8833,REJECT
Baseline,0.697,72,10,0.1746,0.8776,REJECT
Baseline,0.697,72,15,0.1963,0.8675,REJECT
Baseline,0.697,72,20,0.2108,0.8605,REJECT
P01_Dyn×HY,0.829,72,5,0.1322,0.9396,GRAY
P01_Dyn×HY,0.829,72,8,0.1618,0.9313,GRAY
P01_Dyn×HY,0.829,72,10,0.1746,0.9274,GRAY
P01_Dyn×HY,0.829,72,15,0.1963,0.9205,GRAY
P01_Dyn×HY,0.829,72,20,0.2108,0.9156,GRAY
P02_Dyn×CPI,0.833,72,5,0.1322,0.9406,GRAY
P02_Dyn×CPI,0.833,72,8,0.1618,0.9324,GRAY
P02_Dyn×CPI,0.833,72,10,0.1746,0.9286,GRAY
P02_Dyn×CPI,0.833,72,15,0.1963,0.9218,GRAY
P02_Dyn×CPI,0.833,72,20,0.2108,0.917,GRAY
P03_Dyn×MA,0.798,72,5,0.1322,0.9308,GRAY
P03_Dyn×MA,0.798,72,8,0.1618,0.9217,GRAY
P03_Dyn×MA,0.798,72,10,0.1746,0.9174,GRAY
P03_Dyn×MA,0.798,72,15,0.1963,0.9098,GRAY
P03_Dyn×MA,0.798,72,20,0.2108,0.9044,GRAY
P05_HY×CPI,0.667,72,5,0.1322,0.8831,REJECT
P05_HY×CPI,0.667,72,8,0.1618,0.8696,REJECT
P05_HY×CPI,0.667,72,10,0.1746,0.8635,REJECT
P05_HY×CPI,0.667,72,15,0.1963,0.8526,REJECT
P05_HY×CPI,0.667,72,20,0.2108,0.8451,REJECT
P06_HY×MA,0.616,72,5,0.1322,0.8592,REJECT
P06_HY×MA,0.616,72,8,0.1618,0.844,REJECT
P06_HY×MA,0.616,72,10,0.1746,0.8371,REJECT
P06_HY×MA,0.616,72,15,0.1963,0.8249,REJECT
P06_HY×MA,0.616,72,20,0.2108,0.8165,REJECT
