lmax_base,vol_sens,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
7.000000,0.000000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
5.000000,1.000000,0.301125,0.288705,0.868021,-0.553102,0.174475,0.119077,0.012420,27.115499
5.000000,2.000000,0.306643,0.289664,0.868635,-0.571149,0.177236,0.117571,0.016979,27.115499
5.000000,3.000000,0.308112,0.290633,0.867277,-0.570185,0.186051,0.115690,0.017479,27.115499
5.500000,1.000000,0.309420,0.310165,0.884630,-0.569742,0.179759,0.115773,-0.000745,27.115499
5.500000,2.000000,0.312416,0.309308,0.884251,-0.585086,0.184216,0.113307,0.003108,27.115499
5.500000,3.000000,0.310966,0.290557,0.848858,-0.583649,0.185818,0.110690,0.020410,27.115499
6.000000,1.000000,0.312354,0.315437,0.877817,-0.583649,0.184212,0.108148,-0.003083,27.115499
6.000000,2.000000,0.313992,0.325924,0.896503,-0.587165,0.185296,0.106985,-0.011932,27.115499
6.000000,3.000000,0.311176,0.313465,0.874617,-0.587165,0.185198,0.105490,-0.002288,27.115499
