lmax_base,vol_sens,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr
7.000000,0.000000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499
5.000000,1.000000,0.296150,0.290135,0.878521,-0.533451,0.176700,0.120360,0.006015,27.115499
5.000000,2.000000,0.296518,0.290342,0.877101,-0.533402,0.173552,0.117727,0.006176,27.115499
5.000000,3.000000,0.297530,0.287265,0.870227,-0.542651,0.176486,0.118500,0.010266,27.115499
5.500000,1.000000,0.303716,0.308652,0.887167,-0.552663,0.181234,0.118242,-0.004936,27.115499
5.500000,2.000000,0.303594,0.291482,0.858285,-0.553677,0.179504,0.114246,0.012112,27.115499
5.500000,3.000000,0.301150,0.293239,0.868111,-0.562234,0.184223,0.112015,0.007911,27.115499
6.000000,1.000000,0.309290,0.316596,0.883401,-0.569319,0.185722,0.113921,-0.007306,27.115499
6.000000,2.000000,0.308695,0.317419,0.888842,-0.569151,0.186062,0.110544,-0.008724,27.115499
6.000000,3.000000,0.303448,0.300497,0.863745,-0.570185,0.185559,0.105229,0.002951,27.115499
