vov_thr,alpha_max,CAGR_IS,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,IS_OOS_gap,Trades_yr,Stress_pct
,0.000000,0.317175,0.335301,0.891459,-0.600102,0.186679,0.097830,-0.018127,27.115499,0.000000
1.300000,0.200000,0.317147,0.335233,0.891204,-0.600102,0.186935,0.098310,-0.018085,27.115499,3.591769
1.300000,0.300000,0.317107,0.335196,0.891069,-0.600102,0.186824,0.098333,-0.018088,27.115499,3.591769
1.300000,0.400000,0.317051,0.335157,0.890927,-0.600102,0.186712,0.098175,-0.018107,27.115499,3.591769
1.500000,0.200000,0.316893,0.335164,0.891085,-0.600102,0.187330,0.098200,-0.018271,27.115499,3.219683
1.500000,0.300000,0.316728,0.335093,0.890890,-0.600102,0.187419,0.098170,-0.018365,27.115499,3.219683
1.500000,0.400000,0.316547,0.335021,0.890689,-0.600102,0.187506,0.098031,-0.018474,27.115499,3.219683
1.700000,0.200000,0.316553,0.334451,0.889865,-0.600102,0.186039,0.097477,-0.017898,27.115499,2.915939
1.700000,0.300000,0.316220,0.334025,0.889063,-0.600102,0.185710,0.097393,-0.017805,27.115499,2.915939
1.700000,0.400000,0.315872,0.333597,0.888257,-0.600102,0.185374,0.097066,-0.017725,27.115499,2.915939
