year,BASELINE_DH-W1,P2_GOLD100,P5_GOLD50_BOND50,P7_GOLD75_BOND25
1974,0.00,39.19,20.82,30.06
1975,0.88,-8.55,-0.37,-4.49
1976,33.91,42.34,40.60,41.49
1977,-4.31,-10.24,-8.59,-9.41
1978,48.54,52.33,49.85,51.21
1979,15.87,32.11,23.41,27.78
1980,28.62,15.77,30.61,23.33
1981,-0.28,-23.31,-9.27,-16.51
1982,50.66,58.40,71.38,65.21
1983,41.70,31.90,37.51,34.73
1984,-6.53,-11.78,-2.92,-7.39
1985,39.98,42.32,43.58,42.97
1986,29.08,31.07,28.52,29.82
1987,17.92,41.13,35.80,38.57
1988,-6.95,-14.89,-9.60,-12.26
1989,21.95,24.67,23.44,24.07
1990,-12.73,-9.19,-8.94,-9.05
1991,26.55,14.06,23.22,18.57
1992,19.03,26.34,26.02,26.19
1993,2.09,18.58,11.09,14.81
1994,-2.53,-3.64,-4.57,-4.07
1995,51.00,46.96,53.91,50.40
1996,16.21,13.98,12.15,13.08
1997,22.41,10.63,19.58,15.03
1998,28.00,35.81,40.92,38.42
1999,70.22,70.50,67.62,69.23
2000,-12.79,-15.16,-7.20,-11.21
2001,0.00,0.97,1.87,1.49
2002,0.00,19.05,14.42,16.77
2003,63.51,61.06,66.47,63.82
2004,1.67,11.29,7.47,9.37
2005,4.64,4.54,2.74,3.66
2006,23.57,34.26,28.21,31.34
2007,4.14,33.69,21.83,27.65
2008,0.00,2.23,14.52,8.57
2009,36.43,40.57,22.27,31.23
2010,46.43,46.43,46.43,46.43
2011,-7.64,1.10,7.95,4.62
2012,24.70,16.73,23.01,19.88
2013,9.71,-3.56,0.57,-1.49
2014,2.17,-1.28,5.59,2.12
2015,-13.73,-13.12,-15.20,-14.13
2016,-2.09,9.53,6.91,8.24
2017,21.88,20.99,21.61,21.30
2018,-7.62,-5.55,-6.17,-5.85
2019,24.65,37.63,33.71,35.67
2020,58.96,62.41,65.65,64.28
2021,22.38,24.89,25.10,25.04
2022,0.00,-0.50,-11.19,-5.91
2023,26.95,29.82,30.00,29.92
2024,21.93,21.93,21.93,21.93
2025,21.24,44.30,31.91,38.05
2026,-6.13,-12.18,-9.04,-10.58
