window,ticker,name,CAGR_pct,years,start,end
A_all16_~20yr,^IXIC,NASDAQ Composite,12.96,20.3,2006-02-06,2026-06-03
A_all16_~20yr,GLD,Gold ETF (GLD),10.2,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^GSPC,S&P 500,9.19,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^DJI,Dow Jones,7.91,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^GDAXI,DAX (Total Return),7.38,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^RUT,Russell 2000,7.03,20.3,2006-02-06,2026-06-03
A_all16_~20yr,VNQ,US REIT ETF (VNQ),6.3,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^BSESN,BSE Sensex,6.29,20.3,2006-02-06,2026-06-03
A_all16_~20yr,EEM,EM ETF (EEM),5.88,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^N225,Nikkei 225,5.62,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^BVSP,Bovespa,4.98,20.3,2006-02-06,2026-06-03
A_all16_~20yr,TLT,UST 20Y+ ETF (TLT),2.91,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^HSI,Hang Seng,2.44,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^FCHI,CAC 40,2.35,20.3,2006-02-06,2026-06-03
A_all16_~20yr,DBC,Commodity ETF (DBC),2.27,20.3,2006-02-06,2026-06-03
A_all16_~20yr,^FTSE,FTSE 100,1.59,20.3,2006-02-06,2026-06-03
B_long_~30yr,^IXIC,NASDAQ Composite,10.3,29.4,1996-10-30,2026-03-31
B_long_~30yr,LBMA_GOLD,"Gold spot (LBMA, USD)",8.81,29.4,1996-10-30,2026-03-31
B_long_~30yr,^GSPC,S&P 500,7.88,29.4,1996-10-30,2026-03-31
B_long_~30yr,^DJI,Dow Jones,7.2,29.4,1996-10-30,2026-03-31
B_long_~30yr,^RUT,Russell 2000,7.03,29.4,1996-10-30,2026-03-31
B_long_~30yr,^N225,Nikkei 225,1.95,29.4,1996-10-30,2026-03-31
