strategy,basis,CAGR_IS,CAGR_OOS,CAGR_FULL,CAGR_IS_aftertax,CAGR_OOS_aftertax,CAGR_FULL_aftertax,min_IS_OOS_pretax,min_IS_OOS_aftertax,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,Trades_yr,IS_at_survive
E4_sanity,scenarioD,0.317175,0.335301,0.318222,0.262399,0.277395,0.263265,0.317175,0.262399,-1.812656,0.891459,-0.600102,0.186679,0.097830,-0.024913,27.115499,N/A
E4_sanity,realistic,0.204585,0.218299,0.205277,0.169253,0.180599,0.169826,0.204585,0.169253,-1.371411,0.677700,-0.650503,0.070363,-0.008187,-0.133523,27.115499,CLOSE
F10eps,scenarioD,0.325370,0.368445,0.328665,0.269178,0.304815,0.271905,0.325370,0.269178,-4.307513,0.934500,-0.630874,0.185841,0.102703,-0.046266,51.571114,N/A
F10eps,realistic,0.202986,0.240176,0.205802,0.167930,0.198697,0.170260,0.202986,0.167930,-3.718954,0.711414,-0.689288,0.057800,-0.010716,-0.164030,51.571114,CLOSE
F8R5,scenarioD,0.325419,0.368257,0.328692,0.269219,0.304659,0.271927,0.325419,0.269219,-4.283840,0.934188,-0.630686,0.185842,0.102734,-0.046316,181.560939,N/A
F8R5,realistic,0.203018,0.240002,0.205815,0.167957,0.198554,0.170271,0.203018,0.167957,-3.698368,0.711096,-0.689391,0.057762,-0.010518,-0.164136,181.560939,CLOSE
F7v3_E4,scenarioD,0.320385,0.363017,0.323620,0.265055,0.300324,0.267731,0.320385,0.265055,-4.263214,0.926426,-0.619626,0.182670,0.098351,-0.045375,183.053535,N/A
F7v3_E4,realistic,0.200391,0.236517,0.203091,0.165783,0.195671,0.168017,0.200391,0.165783,-3.612643,0.705203,-0.675652,0.057987,-0.013885,-0.159862,183.053535,CLOSE
vz065_l7,scenarioD,0.237734,0.316373,0.244229,0.196678,0.261735,0.202051,0.237734,0.196678,-7.863839,0.841633,-0.659538,0.119155,0.007554,-0.118331,104.692232,N/A
vz065_l7,realistic,0.203219,0.271620,0.208828,0.168123,0.224711,0.172764,0.203219,0.168123,-6.840033,0.764468,-0.684405,0.075780,-0.019762,-0.159943,104.692232,CLOSE
