year,A0_P09_C1_BASE,A7_REPRODUCE,B1_DOWNSIDE_DEV,B2_DD_THROTTLE,B3_ASYM_BRAKE,B4_VOL025_CAP50,NASDAQ_1x_BH_pct
1974,23.44,23.44,23.44,23.44,23.44,23.44,-29.25
1975,1.52,1.52,1.52,4.24,1.52,1.59,24.62
1976,44.03,44.03,44.03,36.07,44.03,44.03,21.59
1977,-7.86,-7.86,-7.86,-8.02,-7.86,-7.86,6.06
1978,50.46,50.46,50.46,49.68,50.46,50.46,10.18
1979,23.60,23.60,23.27,23.63,23.60,23.61,23.25
1980,23.68,24.02,23.79,24.16,24.02,27.68,28.03
1981,-4.02,-4.02,-4.02,-4.23,-4.02,-4.02,-2.66
1982,69.53,67.76,68.81,69.53,67.76,63.11,15.45
1983,39.58,37.03,37.52,39.58,37.09,35.48,16.44
1984,-2.40,-2.40,-2.40,-2.40,-2.40,-2.40,-9.35
1985,45.38,45.38,45.38,45.38,45.38,45.38,26.05
1986,27.60,27.60,27.60,27.17,27.60,27.61,6.09
1987,41.86,41.86,41.86,41.07,41.86,41.86,-4.34
1988,-9.18,-9.18,-9.18,-9.98,-9.18,-9.18,12.74
1989,24.63,24.63,24.63,23.89,24.63,24.63,15.92
1990,-12.59,-12.59,-12.59,-12.16,-12.59,-12.59,-14.73
1991,27.31,27.66,27.31,22.17,27.54,28.90,47.04
1992,27.23,27.23,27.23,27.23,27.23,27.10,12.78
1993,10.15,10.16,10.25,9.32,10.16,10.48,12.20
1994,-2.53,-2.53,-2.53,-2.53,-2.53,-2.53,-2.65
1995,54.55,54.55,54.50,54.14,54.55,53.54,33.02
1996,13.36,13.36,13.36,13.36,13.36,13.77,18.78
1997,21.21,21.21,21.21,21.21,21.21,20.76,17.90
1998,45.12,38.26,39.90,45.12,38.26,35.23,32.79
1999,70.95,60.60,70.81,65.27,60.60,48.41,70.80
2000,-6.10,-2.93,-5.50,-6.08,-2.93,-1.55,-32.50
2001,2.79,2.79,2.79,2.79,2.79,2.79,-17.42
2002,15.00,15.00,15.00,15.00,15.00,15.00,-26.08
2003,74.60,67.90,71.99,74.60,67.72,60.59,41.37
2004,4.72,4.72,4.72,2.50,4.71,5.47,7.11
2005,2.60,2.60,2.60,0.16,2.60,3.79,1.14
2006,37.16,37.16,37.16,37.16,37.16,36.20,7.88
2007,19.00,19.00,18.99,19.00,19.00,18.15,8.12
2008,20.34,20.34,20.34,20.34,20.34,20.34,-33.54
2009,20.39,17.28,17.89,19.63,17.28,13.55,36.31
2010,52.09,49.72,52.09,52.09,49.87,46.47,13.99
2011,13.42,13.34,13.42,13.19,13.28,12.98,-1.49
2012,26.91,26.91,26.91,26.91,26.91,27.81,13.16
2013,3.36,3.36,3.36,-0.12,3.36,2.26,31.70
2014,2.97,2.97,2.97,2.97,2.97,2.97,11.08
2015,-15.50,-15.50,-15.50,-14.33,-15.50,-15.49,4.74
2016,7.03,5.45,4.20,2.07,5.55,4.31,6.21
2017,24.79,24.79,24.79,23.48,24.79,24.77,23.36
2018,-4.13,-4.13,-4.13,-4.94,-4.13,-3.86,-3.21
2019,36.82,35.04,33.97,32.37,35.05,31.87,29.14
2020,72.76,68.19,65.58,67.62,68.19,61.48,36.10
2021,20.60,21.55,19.98,17.78,21.55,21.62,17.70
2022,0.67,0.67,0.67,0.67,0.67,0.67,-27.38
2023,32.33,26.02,28.17,29.41,26.07,23.72,35.92
2024,19.62,19.75,20.78,18.75,19.98,20.09,23.69
2025,32.02,31.86,31.86,29.47,31.85,30.08,16.84
2026,-7.37,-7.37,-7.37,-7.37,-7.37,-7.37,-6.53
