year,sc1.40_strong_pct,sc1.60_strong_pct,sc1.80_strong_pct,sc2.00_strong_pct,NASDAQ_1x_BH_pct
1975,0.03,0.39,0.63,0.74,29.76
1976,89.63,103.92,118.99,134.85,26.10
1977,-20.54,-23.91,-27.18,-30.37,7.33
1978,93.45,108.42,124.37,141.36,12.31
1979,25.99,24.32,22.50,20.51,28.11
1980,38.68,44.46,50.23,55.96,33.88
1981,-2.21,-1.45,-0.69,0.06,-3.21
1982,113.27,129.11,145.78,163.29,18.67
1983,72.53,85.94,100.21,115.35,19.87
1984,-2.69,-2.70,-2.74,-2.83,-11.31
1985,90.16,103.23,116.96,131.34,31.49
1986,33.51,35.61,37.55,39.34,7.36
1987,85.12,99.11,113.91,129.57,-5.25
1988,-19.65,-22.15,-24.63,-27.07,15.40
1989,46.94,52.27,57.60,62.93,19.24
1990,-24.08,-27.17,-30.21,-33.21,-17.81
1991,54.37,61.62,68.73,75.67,56.86
1992,49.91,57.17,64.46,71.74,15.45
1993,10.39,9.11,7.68,6.11,14.75
1994,-5.27,-6.56,-7.96,-9.47,-3.20
1995,103.80,121.27,139.87,159.62,39.92
1996,32.47,37.00,41.39,45.61,22.71
1997,38.23,44.21,50.27,56.41,21.64
1998,86.11,98.21,110.45,122.74,39.63
1999,135.79,161.74,189.00,217.41,85.59
2000,-12.47,-15.06,-17.67,-20.31,-39.29
2001,3.37,3.37,3.37,3.37,-21.05
2002,18.14,18.14,18.14,18.14,-31.53
2003,159.75,190.53,223.50,258.63,50.01
2004,-3.64,-5.77,-8.09,-10.56,8.59
2005,3.70,2.14,0.37,-1.59,1.37
2006,76.05,86.82,97.77,108.86,9.52
2007,23.82,23.11,22.01,20.52,9.81
2008,24.58,24.58,24.58,24.58,-40.54
2009,50.81,60.10,69.57,79.16,43.89
2010,84.78,95.05,105.16,115.02,16.91
2011,13.23,11.22,9.05,6.74,-1.80
2012,51.01,57.76,64.39,70.86,15.91
2013,16.28,19.85,23.28,26.57,38.32
2014,5.79,5.58,5.27,4.84,13.40
2015,-27.06,-30.33,-33.59,-36.81,5.73
2016,11.57,10.55,8.98,6.89,7.50
2017,49.85,57.51,65.35,73.36,28.24
2018,-1.12,-1.52,-2.09,-2.82,-3.88
2019,59.60,64.48,68.72,72.28,35.23
2020,127.60,147.83,168.80,190.37,43.64
2021,40.18,45.54,50.74,55.74,21.39
2022,0.80,0.80,0.80,0.80,-33.10
2023,58.14,64.31,69.86,74.69,43.42
2024,34.39,36.31,37.74,38.67,28.64
2025,49.59,53.78,57.62,61.09,20.36
