year,sc1.35_strong_pct,sc1.40_strong_pct,sc1.50_strong_pct,sc1.60_strong_pct,NASDAQ_1x_BH_pct
1975,-0.09,0.03,0.23,0.39,29.76
1976,86.17,89.63,96.68,103.92,26.10
1977,-19.69,-20.54,-22.24,-23.91,7.33
1978,89.85,93.45,100.81,108.42,12.31
1979,26.38,25.99,25.18,24.32,28.11
1980,37.23,38.68,41.57,44.46,33.88
1981,-2.40,-2.21,-1.83,-1.45,-3.21
1982,109.44,113.27,121.09,129.11,18.67
1983,69.30,72.53,79.13,85.94,19.87
1984,-2.70,-2.69,-2.69,-2.70,-11.31
1985,87.00,90.16,96.62,103.23,31.49
1986,32.96,33.51,34.58,35.61,7.36
1987,81.75,85.12,92.02,99.11,-5.25
1988,-19.02,-19.65,-20.90,-22.15,15.40
1989,45.61,46.94,49.60,52.27,19.24
1990,-23.31,-24.08,-25.63,-27.17,-17.81
1991,52.54,54.37,58.01,61.62,56.86
1992,48.11,49.91,53.54,57.17,15.45
1993,10.69,10.39,9.77,9.11,14.75
1994,-4.96,-5.27,-5.90,-6.56,-3.20
1995,99.60,103.80,112.39,121.27,39.92
1996,31.32,32.47,34.75,37.00,22.71
1997,36.74,38.23,41.20,44.21,21.64
1998,83.11,86.11,92.14,98.21,39.63
1999,129.53,135.79,148.59,161.74,85.59
2000,-11.83,-12.47,-13.76,-15.06,-39.29
2001,3.37,3.37,3.37,3.37,-21.05
2002,18.14,18.14,18.14,18.14,-31.53
2003,152.40,159.75,174.86,190.53,50.01
2004,-3.13,-3.64,-4.68,-5.77,8.59
2005,4.06,3.70,2.94,2.14,1.37
2006,73.39,76.05,81.41,86.82,9.52
2007,23.94,23.82,23.51,23.11,9.81
2008,24.58,24.58,24.58,24.58,-40.54
2009,48.51,50.81,55.43,60.10,43.89
2010,82.20,84.78,89.93,95.05,16.91
2011,13.71,13.23,12.24,11.22,-1.80
2012,49.31,51.01,54.40,57.76,15.91
2013,15.37,16.28,18.08,19.85,38.32
2014,5.83,5.79,5.70,5.58,13.40
2015,-26.24,-27.06,-28.70,-30.33,5.73
2016,11.74,11.57,11.12,10.55,7.50
2017,47.96,49.85,53.66,57.51,28.24
2018,-1.05,-1.12,-1.30,-1.52,-3.88
2019,58.30,59.60,62.11,64.48,35.23
2020,122.67,127.60,137.62,147.83,43.64
2021,38.82,40.18,42.88,45.54,21.39
2022,0.80,0.80,0.80,0.80,-33.10
2023,56.50,58.14,61.30,64.31,43.42
2024,33.83,34.39,35.41,36.31,28.64
2025,48.49,49.59,51.73,53.78,20.36
