year,B1_DEF_S1.4,B1_DEF_S1.6,B1_DEF_S1.8,B1_DEF_S2.0,B1_STR_S1.4,B1_STR_S1.6,B1_STR_S1.8,B1_STR_S2.0,NASDAQ_1x_BH_pct
1974,23.44,23.44,23.44,23.44,23.44,23.44,23.44,23.44,-29.25
1975,3.60,5.30,8.61,13.12,0.46,2.87,6.48,11.11,24.62
1976,61.23,70.45,77.39,81.73,70.26,75.65,83.16,88.89,21.59
1977,-12.53,-14.81,-17.04,-19.24,-16.99,-19.78,-22.63,-25.76,6.06
1978,70.40,81.28,92.95,106.06,77.31,89.28,103.69,121.16,10.18
1979,21.20,20.50,18.56,17.87,21.13,19.51,17.34,16.99,23.25
1980,36.96,47.61,60.82,73.74,40.62,52.11,63.16,73.44,28.03
1981,-3.11,-2.67,-2.23,-1.80,-1.83,-1.20,-0.57,0.05,-2.66
1982,92.44,106.47,117.28,127.42,92.41,106.44,117.25,127.39,15.45
1983,52.25,57.11,62.59,67.31,52.42,57.29,62.78,67.53,16.44
1984,-2.21,-2.14,-2.09,-2.07,-2.23,-2.23,-2.27,-2.29,-9.35
1985,60.41,68.38,76.65,85.26,74.59,85.41,95.45,97.37,26.05
1986,33.88,38.27,42.82,46.30,28.92,32.51,36.56,39.95,6.09
1987,58.74,67.58,76.48,82.65,70.33,79.31,83.40,87.35,-4.34
1988,-12.28,-13.54,-15.03,-16.19,-15.76,-16.92,-18.01,-19.18,12.74
1989,30.88,33.76,36.23,36.10,38.61,43.16,44.58,45.00,15.92
1990,-16.66,-16.84,-17.41,-18.93,-19.56,-21.39,-22.45,-23.23,-14.73
1991,33.13,35.81,37.16,39.09,36.42,41.62,43.31,45.87,47.04
1992,36.96,37.68,39.78,40.57,32.55,33.81,36.28,38.63,12.78
1993,9.29,8.89,9.52,9.83,8.85,6.81,6.29,5.75,12.20
1994,-4.13,-4.19,-4.45,-4.77,-2.78,-2.94,-2.67,-1.77,-2.65
1995,75.15,87.94,100.62,106.82,83.11,96.51,99.20,96.62,33.02
1996,16.25,16.59,18.58,18.36,19.15,20.38,21.94,21.82,18.78
1997,29.97,34.37,38.64,41.92,30.98,35.56,39.87,43.19,17.90
1998,43.53,44.56,47.96,52.59,52.36,54.84,60.50,67.76,32.79
1999,83.77,85.27,89.01,92.82,86.41,88.17,92.29,96.53,70.80
2000,-6.13,-6.20,-6.27,-6.36,-6.13,-6.20,-6.28,-6.36,-32.50
2001,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,-17.42
2002,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,-26.08
2003,97.10,103.79,111.74,120.80,112.70,121.94,132.75,146.21,41.37
2004,4.99,7.30,9.48,10.90,2.99,5.33,7.23,7.86,7.11
2005,4.07,5.90,9.37,9.84,10.08,9.35,9.35,9.00,1.14
2006,50.15,56.89,62.22,67.36,58.64,64.38,69.96,73.68,7.88
2007,15.46,14.74,13.71,12.73,11.30,10.04,9.06,9.22,8.12
2008,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,-33.54
2009,16.63,15.14,14.63,14.65,22.37,20.78,20.50,21.12,36.31
2010,54.87,48.88,43.58,39.20,39.60,33.49,31.33,31.72,13.99
2011,9.20,7.39,7.00,6.77,10.08,8.59,8.33,8.11,-1.49
2012,37.25,44.52,51.48,57.32,43.82,48.76,55.34,62.85,13.16
2013,5.19,5.32,4.07,3.59,9.97,9.29,8.65,8.80,31.70
2014,2.17,2.22,2.13,1.95,4.94,5.35,5.55,5.87,11.08
2015,-19.29,-20.22,-21.24,-22.29,-19.90,-21.91,-24.41,-26.37,4.74
2016,0.38,1.30,2.73,4.45,4.71,7.52,10.10,13.03,6.21
2017,34.83,37.97,39.02,39.03,35.00,36.13,34.63,34.48,23.36
2018,-4.31,-3.48,-2.18,-0.61,0.93,2.38,4.34,6.81,-3.21
2019,38.67,39.79,41.45,43.87,38.36,42.08,45.38,48.54,29.14
2020,74.01,79.68,86.11,93.25,74.74,79.79,85.45,90.91,36.10
2021,28.23,32.75,36.58,39.28,32.97,37.84,42.17,45.51,17.70
2022,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,-27.38
2023,32.72,31.68,30.91,31.38,24.50,25.31,26.38,27.67,35.92
2024,24.28,24.54,26.14,25.92,29.63,30.87,33.06,34.66,23.69
2025,39.27,43.03,45.93,46.90,42.16,46.11,46.52,47.11,16.84
2026,-10.46,-11.27,-11.62,-12.36,-11.42,-11.66,-12.21,-13.13,-6.53
