scale,section,delta,div,gap_pp_per_yr,min_maint_pct,r_star_pct,breach_close,breach_intra,margin_call_days,contracts_max
1.6,cost,0.0,0.0,0.49338401374944735,,,,,,
1.6,cost,0.0,0.008,-1.4695835283035334,,,,,,
1.6,cost,0.003,0.0,1.229496842019315,,,,,,
1.6,cost,0.003,0.008,-0.7334707000336654,,,,,,
1.6,margin,,,,452.1122685185184,-10.441549972542557,0.0,0.0,0.0,
1.6,capacity,,,,,,,,,523.8566215340542
2.6,cost,0.0,0.0,-0.6420407108313947,,,,,,
2.6,cost,0.0,0.008,-3.8318629666674884,,,,,,
2.6,cost,0.003,0.0,0.5541426351071408,,,,,,
2.6,cost,0.003,0.008,-2.635679620728953,,,,,,
2.6,margin,,,,278.22293447293447,-5.285029358340726,0.0,1.0,0.0,
2.6,capacity,,,,,,,,,851.2670099928379
