year,sc2.0,N4_g28b07_s2.85,X4_g32b05_s3.0,X3_g28b07_cf05
1974,23.44,26.57,27.02,25.96
1975,0.61,-1.26,-1.56,-0.86
1976,111.56,95.00,95.93,94.98
1977,-25.13,-20.28,-20.24,-20.23
1978,116.94,115.26,119.81,115.37
1979,16.97,31.24,33.65,31.21
1980,46.29,50.87,53.74,51.50
1981,0.05,-1.34,-1.25,-0.26
1982,135.09,123.01,125.20,122.90
1983,95.43,81.97,83.69,82.57
1984,-2.34,-3.16,-3.48,-2.63
1985,108.66,97.78,99.00,97.58
1986,32.55,32.71,32.82,32.81
1987,107.19,101.54,105.10,101.34
1988,-22.40,-21.92,-22.48,-21.64
1989,52.06,44.67,44.59,44.64
1990,-27.48,-26.08,-26.65,-26.07
1991,62.61,57.09,57.86,57.15
1992,59.35,52.39,52.91,52.27
1993,5.06,5.30,4.68,5.01
1994,-7.83,-7.69,-7.87,-7.60
1995,132.06,118.95,121.22,118.80
1996,37.74,33.07,33.44,32.99
1997,46.67,39.43,39.58,39.60
1998,101.54,92.56,94.09,92.08
1999,179.86,162.12,166.92,162.68
2000,-16.80,-15.71,-16.20,-15.63
2001,2.79,2.79,2.79,2.81
2002,15.00,15.00,15.00,14.30
2003,213.96,207.27,215.37,207.43
2004,-8.74,-8.25,-8.93,-8.40
2005,-1.32,1.49,1.36,1.44
2006,90.06,87.13,89.53,86.89
2007,16.98,16.68,16.32,16.24
2008,20.34,20.34,20.34,19.34
2009,65.49,63.47,65.64,64.36
2010,95.16,93.15,95.54,93.15
2011,5.58,6.80,6.45,6.08
2012,58.62,56.92,58.43,56.61
2013,21.98,15.19,15.04,15.30
2014,4.00,4.69,4.54,4.73
2015,-30.46,-29.99,-30.74,-29.94
2016,5.70,7.77,7.54,7.44
2017,60.69,59.67,61.34,59.65
2018,-2.34,-2.14,-2.31,-2.22
2019,59.80,57.91,58.36,57.36
2020,157.49,151.47,155.96,150.78
2021,46.11,40.01,40.59,39.80
2022,0.67,0.67,0.67,0.77
2023,61.79,61.59,62.96,61.54
2024,31.99,34.81,36.02,34.81
2025,50.54,57.82,59.80,57.82
2026,-17.81,-14.73,-14.84,-14.59
