name,scale,in_gold_w,in_bond_w,cash_floor,bond_gate,CAGR_OOS,CAGR_IS,min9,IS_OOS_gap_pp,Sharpe_FULL,MaxDD,Worst10Y,Worst5Y,P10_5Y,Regime_min,WFE,CI95_lo,cpcv_p10,Trades_yr,twin_scale,twin_CAGR_OOS,frontier_gap_pp,PASS
sc2.0_anchor,2.000000,,,,,0.291102,0.353755,0.291102,7.573100,1.027500,-0.616342,0.208384,-0.019311,0.093776,-0.114083,0.817800,0.367961,0.212246,35.200000,2.000000,0.291102,0.000000,False
X4_g32b05_s3.0,3.000000,0.320000,0.050000,,,0.321472,0.344504,0.321472,2.784000,1.045700,-0.598517,0.204010,-0.023149,0.085706,-0.106464,0.924900,0.358799,0.216804,35.200000,1.921000,0.286308,3.516000,True
X1_g30b05_s2.95,2.950000,0.300000,0.050000,,,0.320831,0.347698,0.320831,3.247500,1.043400,-0.604242,0.204924,-0.023737,0.086143,-0.108781,0.912700,0.362647,0.217750,35.200000,1.946100,0.287881,3.295000,True
G_g30b06_s3.0,3.000000,0.300000,0.060000,,,0.320493,0.348030,0.320493,3.328600,1.043200,-0.604543,0.204934,-0.023651,0.086367,-0.108856,0.910700,0.362990,0.217826,35.200000,1.947400,0.287962,3.253000,True
N1_g25_s2.6_goldonly,2.600000,0.250000,,,,0.319218,0.351008,0.319218,3.842600,1.039800,-0.611549,0.206359,-0.024643,0.086416,-0.112018,0.898000,0.366768,0.218513,35.200000,1.978500,0.289843,2.938000,True
X3_g28b07_s2.85_cf05,2.850000,0.280000,0.070000,0.050000,,0.313510,0.339147,0.313510,3.098900,1.047600,-0.588959,0.200835,-0.019954,0.086501,-0.102733,0.920500,0.351467,0.213769,35.200000,1.879700,0.283620,2.989000,True
N4_g28b07_s2.85,2.850000,0.280000,0.070000,,,0.312910,0.339396,0.312910,3.201500,1.047200,-0.588201,0.202838,-0.019843,0.087296,-0.102273,0.919300,0.351818,0.214031,35.200000,1.876500,0.283404,2.951000,True
X5_g24b05_s2.7,2.700000,0.240000,0.050000,,,0.313344,0.346945,0.313344,4.061500,1.041600,-0.602532,0.205147,-0.021802,0.087823,-0.108102,0.895800,0.361088,0.216311,35.200000,1.938600,0.287414,2.593000,True
N3_g22b06_s2.65_cf05,2.650000,0.220000,0.060000,0.050000,,0.310365,0.345359,0.310365,4.229900,1.041900,-0.600418,0.202876,-0.020675,0.087812,-0.107365,0.891900,0.358768,0.214804,35.200000,1.929300,0.286834,2.353000,True
N2_g22b06_s2.65,2.650000,0.220000,0.060000,,,0.309768,0.345610,0.309768,4.332400,1.041600,-0.599681,0.204884,-0.020564,0.088579,-0.106908,0.890800,0.359121,0.215138,35.200000,1.926100,0.286631,2.314000,True
G_g28b07_s2.9_cf05,2.900000,0.280000,0.070000,0.050000,,0.315766,0.343227,0.315766,3.319400,1.045400,-0.596487,0.201885,-0.021358,0.086522,-0.105725,0.913000,0.356590,0.215403,35.200000,1.912200,0.285744,3.002000,True
N5_g16b06_s2.45_cf05,2.450000,0.160000,0.060000,0.050000,,0.303114,0.344977,0.303114,5.060300,1.039700,-0.599517,0.203153,-0.018929,0.089579,-0.107017,0.874200,0.357706,0.212883,35.200000,1.925400,0.286585,1.653000,True
B_g15b10_s2.6,2.600000,0.150000,0.100000,,,0.301759,0.349947,0.301759,5.824700,1.036300,-0.606350,0.206046,-0.019521,0.091312,-0.109441,0.856200,0.363665,0.214100,35.200000,1.955400,0.288452,1.331000,True
B_g18b07_cf10_s2.55,2.550000,0.180000,0.070000,0.100000,,0.305781,0.345172,0.305781,4.761400,1.040600,-0.600859,0.201049,-0.019541,0.088785,-0.107681,0.879300,0.358043,0.213187,35.200000,1.931200,0.286955,1.883000,True
B_g15b15_s2.7_bal,2.700000,0.150000,0.150000,,,0.295381,0.342611,0.295381,5.708900,1.040000,-0.591248,0.203892,-0.015815,0.091957,-0.103127,0.862000,0.353982,0.210992,35.200000,1.889600,0.284271,1.111000,True
B_g10b10_s2.4_clean,2.400000,0.100000,0.100000,,,0.293658,0.345589,0.293658,6.277100,1.036300,-0.598210,0.205296,-0.016590,0.092579,-0.106157,0.848400,0.357651,0.211102,35.200000,1.919700,0.286223,0.744000,True
B_g10b10_s2.4_cf05,2.400000,0.100000,0.100000,0.050000,,0.294248,0.345338,0.294248,6.175600,1.036600,-0.598949,0.203288,-0.016702,0.091862,-0.106615,0.849600,0.357300,0.210769,35.200000,1.922900,0.286428,0.782000,True
B_g20b10_s2.7,2.700000,0.200000,0.100000,,,0.304083,0.343194,0.304083,4.727600,1.042000,-0.593931,0.204120,-0.018345,0.089832,-0.104420,0.883400,0.355568,0.213246,35.200000,1.901100,0.285028,1.905000,True
G_g26b08_s2.85_cf08,2.850000,0.260000,0.080000,0.080000,,0.312866,0.342360,0.312866,3.565000,1.045200,-0.595201,0.200558,-0.020417,0.086875,-0.105272,0.907500,0.355203,0.214555,35.200000,1.906600,0.285385,2.748000,True
