param,value,is_center,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,Trades_yr
k_lo,0.08,False,0.336160,0.892573,-0.600558,0.186627,27.12
k_lo,0.09,False,0.335900,0.892228,-0.600330,0.186653,27.12
k_lo,0.1,True,0.335301,0.891459,-0.600102,0.186679,27.12
k_lo,0.11,False,0.334943,0.891163,-0.599875,0.186702,27.12
k_lo,0.12,False,0.334581,0.890847,-0.599649,0.186721,27.12
k_hi,0.64,False,0.335780,0.892503,-0.602099,0.184673,27.12
k_hi,0.72,False,0.335288,0.891512,-0.601099,0.186489,27.12
k_hi,0.8,True,0.335301,0.891459,-0.600102,0.186679,27.12
k_hi,0.88,False,0.334955,0.890790,-0.598912,0.185582,27.12
k_hi,0.96,False,0.335004,0.890832,-0.597891,0.184567,27.12
vz_thr,0.56,False,0.335466,0.880188,-0.585244,0.179605,27.12
vz_thr,0.63,False,0.363194,0.933312,-0.586589,0.193208,27.12
vz_thr,0.7,True,0.335301,0.891459,-0.600102,0.186679,27.12
vz_thr,0.77,False,0.317648,0.862025,-0.611715,0.179661,27.12
vz_thr,0.84,False,0.319241,0.865494,-0.613454,0.182761,27.12
N_lt2,600,False,0.290081,0.816040,-0.659463,0.198374,27.12
N_lt2,675,False,0.304457,0.841986,-0.559886,0.198161,27.12
N_lt2,750,True,0.335301,0.891459,-0.600102,0.186679,27.12
N_lt2,825,False,0.346777,0.906576,-0.598241,0.179599,27.12
N_lt2,900,False,0.332341,0.875229,-0.654134,0.139758,27.12
target_vol,0.64,False,0.272713,0.849364,-0.584333,0.162133,27.12
target_vol,0.72,False,0.311958,0.886923,-0.596253,0.173412,27.12
target_vol,0.8,True,0.335301,0.891459,-0.600102,0.186679,27.12
target_vol,0.88,False,0.344520,0.878484,-0.604556,0.188203,27.12
target_vol,0.96,False,0.359531,0.881355,-0.615177,0.194755,27.12
k_vz,0.24,False,0.332661,0.884963,-0.598679,0.184512,27.12
k_vz,0.27,False,0.334453,0.889425,-0.599901,0.185642,27.12
k_vz,0.3,True,0.335301,0.891459,-0.600102,0.186679,27.12
k_vz,0.33,False,0.335219,0.891788,-0.599386,0.184809,27.12
k_vz,0.36,False,0.336750,0.896098,-0.599232,0.184750,27.12
