param,value,is_center,CAGR_OOS,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,Trades_yr
eps,0.005,False,0.335447,0.937065,-0.542063,0.169033,27.12
eps,0.01,False,0.335478,0.937123,-0.542063,0.169055,27.12
eps,0.015,True,0.335594,0.937347,-0.542170,0.169040,27.12
eps,0.02,False,0.335594,0.937347,-0.542170,0.169102,27.12
eps,0.03,False,0.334943,0.936069,-0.541618,0.169320,27.12
l_max,3.5,False,0.252751,0.888185,-0.441326,0.153366,27.12
l_max,4.0,False,0.285209,0.908897,-0.478369,0.159551,27.12
l_max,5.0,True,0.335594,0.937347,-0.542170,0.169040,27.12
l_max,6.0,False,0.352906,0.928781,-0.592603,0.177697,27.12
l_max,7.0,False,0.368445,0.934500,-0.630874,0.185841,27.12
k_lo,0.05,False,0.335074,0.936815,-0.542028,0.169172,27.12
k_lo,0.08,False,0.336218,0.938555,-0.542113,0.169095,27.12
k_lo,0.1,True,0.335594,0.937347,-0.542170,0.169040,27.12
k_lo,0.12,False,0.334975,0.936389,-0.542227,0.168982,27.12
k_lo,0.15,False,0.334016,0.934808,-0.542312,0.168946,27.12
k_hi,0.65,False,0.335846,0.938145,-0.539734,0.166418,27.12
k_hi,0.7,False,0.335468,0.937273,-0.540653,0.167928,27.12
k_hi,0.75,False,0.335546,0.937324,-0.541479,0.168553,27.12
k_hi,0.8,True,0.335594,0.937347,-0.542170,0.169040,27.12
k_hi,0.85,False,0.335442,0.936992,-0.542826,0.169145,27.12
N_lt2,600,False,0.281846,0.840436,-0.583629,0.202766,27.12
N_lt2,675,False,0.301210,0.876516,-0.481697,0.208197,27.12
N_lt2,750,True,0.335594,0.937347,-0.542170,0.169040,27.12
N_lt2,825,False,0.345978,0.952323,-0.547203,0.179074,27.12
N_lt2,900,False,0.334250,0.925010,-0.577771,0.146932,27.12
target_vol,0.65,False,0.304976,0.935612,-0.512158,0.162658,27.12
target_vol,0.72,False,0.314295,0.921775,-0.531313,0.159776,27.12
target_vol,0.8,True,0.335594,0.937347,-0.542170,0.169040,27.12
target_vol,0.88,False,0.325366,0.900522,-0.551758,0.169334,27.12
target_vol,0.95,False,0.346132,0.928603,-0.557243,0.179867,27.12
