section,key,value,note,aum_label,aum_yen,aum_M,notional_mean,notional_p90,notional_max,lots_mean,lots_p90,lots_max,lots_mean_cond,lots_p90_cond,lots_max_cond,n_days_excess,pct_days_excess,ref_lots,AUM_30M_pct_max,AUM_30M_pct_p90,AUM_30M_pct_mean,AUM_100M_pct_max,AUM_100M_pct_p90,AUM_100M_pct_mean,AUM_300M_pct_max,AUM_300M_pct_p90,AUM_300M_pct_mean,AUM_1B_pct_max,AUM_1B_pct_p90,AUM_1B_pct_mean,basis,ref_label,ceil_1pct_M,ceil_5pct_M,ceil_10pct_M,ceil_20pct_M
params,NOTIONAL_PER_LOT,220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,wn_eff_in_avg,0.693137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,exc_mean,1.042838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,exc_p90,2.5642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,exc_max,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,n_in,7003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,n_gt3_in,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
params,pct_gt3_in,77.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
required_lots,,,,AUM_30M,30000000.0,30.0,21684884.0,53320257.0,72363503.0,98.57,242.36,328.93,126.56,242.36,328.93,5454.0,77.88,,,,,,,,,,,,,,,,,,,
required_lots,,,,AUM_100M,100000000.0,100.0,72282945.0,177734190.0,241211676.0,328.56,807.88,1096.42,421.87,807.88,1096.42,5454.0,77.88,,,,,,,,,,,,,,,,,,,
required_lots,,,,AUM_300M,300000000.0,300.0,216848836.0,533202569.0,723635028.0,985.68,2423.65,3289.25,1265.62,2423.65,3289.25,5454.0,77.88,,,,,,,,,,,,,,,,,,,
required_lots,,,,AUM_1B,1000000000.0,1000.0,722829453.0,1777341895.0,2412116760.0,3285.59,8078.83,10964.17,4218.73,8078.83,10964.17,5454.0,77.88,,,,,,,,,,,,,,,,,,,
sensitivity_vol,,,,,,,,,,,,,,,,,,100.0,328.93,242.36,98.57,1096.42,807.88,328.56,3289.25,2423.65,985.68,10964.17,8078.83,3285.59,,,,,,
sensitivity_vol,,,,,,,,,,,,,,,,,,500.0,65.79,48.47,19.71,219.28,161.58,65.71,657.85,484.73,197.14,2192.83,1615.77,657.12,,,,,,
sensitivity_vol,,,,,,,,,,,,,,,,,,1000.0,32.89,24.24,9.86,109.64,80.79,32.86,328.93,242.37,98.57,1096.42,807.88,328.56,,,,,,
sensitivity_vol,,,,,,,,,,,,,,,,,,2000.0,16.45,12.12,4.93,54.82,40.39,16.43,164.46,121.18,49.28,548.21,403.94,164.28,,,,,,
sensitivity_vol,,,,,,,,,,,,,,,,,,5000.0,6.58,4.85,1.97,21.93,16.16,6.57,65.78,48.47,19.71,219.28,161.58,65.71,,,,,,
sensitivity_vol,,,,,,,,,,,,,,,,,,10000.0,3.29,2.42,0.99,10.96,8.08,3.29,32.89,24.24,9.86,109.64,80.79,32.86,,,,,,
sensitivity_vol,,,,,,,,,,,,,,,,,,50000.0,0.66,0.48,0.2,2.19,1.62,0.66,6.58,4.85,1.97,21.93,16.16,6.57,,,,,,
sensitivity_oi,,,,,,,,,,,,,,,,,,500.0,65.79,48.47,19.71,219.28,161.58,65.71,657.85,484.73,197.14,2192.83,1615.77,657.12,,,,,,
sensitivity_oi,,,,,,,,,,,,,,,,,,1000.0,32.89,24.24,9.86,109.64,80.79,32.86,328.93,242.37,98.57,1096.42,807.88,328.56,,,,,,
sensitivity_oi,,,,,,,,,,,,,,,,,,2000.0,16.45,12.12,4.93,54.82,40.39,16.43,164.46,121.18,49.28,548.21,403.94,164.28,,,,,,
sensitivity_oi,,,,,,,,,,,,,,,,,,5000.0,6.58,4.85,1.97,21.93,16.16,6.57,65.78,48.47,19.71,219.28,161.58,65.71,,,,,,
sensitivity_oi,,,,,,,,,,,,,,,,,,10000.0,3.29,2.42,0.99,10.96,8.08,3.29,32.89,24.24,9.86,109.64,80.79,32.86,,,,,,
sensitivity_oi,,,,,,,,,,,,,,,,,,50000.0,0.66,0.48,0.2,2.19,1.62,0.66,6.58,4.85,1.97,21.93,16.16,6.57,,,,,,
sensitivity_oi,,,,,,,,,,,,,,,,,,100000.0,0.33,0.24,0.1,1.1,0.81,0.33,3.29,2.42,0.99,10.96,8.08,3.29,,,,,,
capacity_ceiling,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,daily_volume,vol_500,0.5,2.3,4.6,9.1
capacity_ceiling,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,daily_volume,vol_1000,0.9,4.6,9.1,18.2
capacity_ceiling,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,daily_volume,vol_2000,1.8,9.1,18.2,36.5
capacity_ceiling,,,,,,,,,,,,,,,,,,5000.0,,,,,,,,,,,,,daily_volume,vol_5000,4.6,22.8,45.6,91.2
capacity_ceiling,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,daily_volume,vol_10000,9.1,45.6,91.2,182.4
capacity_ceiling,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,open_interest,oi_1000,0.9,4.6,9.1,18.2
capacity_ceiling,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,open_interest,oi_2000,1.8,9.1,18.2,36.5
capacity_ceiling,,,,,,,,,,,,,,,,,,5000.0,,,,,,,,,,,,,open_interest,oi_5000,4.6,22.8,45.6,91.2
capacity_ceiling,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,open_interest,oi_10000,9.1,45.6,91.2,182.4
capacity_ceiling,,,,,,,,,,,,,,,,,,50000.0,,,,,,,,,,,,,open_interest,oi_50000,45.6,228.0,456.0,912.1
data_gap,k365_NASDAQ100_OI_volume,NOT_AVAILABLE,TFX CSV https://www.tfx.co.jp/historical/cfd/ -- manual browser download required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_gap,k365_NASDAQ100_OI_estimate_lots,500-10000,qualitative estimate; N225 OI >> NASDAQ-100 OI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
