strategy,run_M,reserve_M,topup_thr_M,topup_amt,labor_years_total,starts_with_labor,starts_with_labor_list,topup_events_total,ruin_total,terminal_median_M,terminal_min_M,min_total_floor_M
sc1.0,20.0000,20.0000,15.0000,10M,359,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
sc1.0,20.0000,20.0000,15.0000,ALL,236,27,1975;1976;1978;1979;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1995;1996;1997;1998;1999;2000;2001;2003;2004;2005,31,27,153.4454,3.7728,0.0000
sc1.0,20.0000,20.0000,20.0000,10M,297,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
sc1.0,20.0000,20.0000,20.0000,ALL,191,22,1975;1976;1979;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1999;2000;2001;2003;2004;2005,31,22,116.2917,3.7728,0.0000
sc1.0,20.0000,20.0000,25.0000,10M,163,23,1975;1977;1978;1979;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1998;1999;2000;2001;2002;2003;2004;2005,60,23,127.5164,13.7637,0.0000
sc1.0,20.0000,20.0000,25.0000,ALL,113,13,1975;1977;1984;1986;1987;1988;1989;1990;1993;2000;2001;2004;2005,31,13,289.5325,83.5284,0.0000
sc1.0,25.0000,15.0000,15.0000,10M,353,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
sc1.0,25.0000,15.0000,15.0000,ALL,303,30,1975;1976;1977;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,31,30,10.1798,10.1798,0.0000
sc1.0,25.0000,15.0000,20.0000,10M,298,31,1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,62,31,0.0000,0.0000,0.0000
sc1.0,25.0000,15.0000,20.0000,ALL,208,25,1975;1977;1979;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1995;1997;1998;1999;2000;2001;2002;2004;2005,31,25,57.1773,6.5856,0.0000
sc1.0,25.0000,15.0000,25.0000,10M,219,27,1975;1976;1977;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1998;1999;2000;2001;2002;2003;2004;2005,60,27,20.7699,1.6180,0.0000
sc1.0,25.0000,15.0000,25.0000,ALL,162,21,1975;1977;1978;1979;1980;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1998;1999;2000;2001;2004;2005,31,21,151.3310,6.5856,0.0000
sc1.0,30.0000,10.0000,15.0000,10M,298,29,1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,29,29,84.1866,33.9010,0.0000
sc1.0,30.0000,10.0000,15.0000,ALL,298,29,1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,29,29,84.1866,33.9010,0.0000
sc1.0,30.0000,10.0000,20.0000,10M,246,29,1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,29,29,84.1866,33.9010,0.0000
sc1.0,30.0000,10.0000,20.0000,ALL,246,29,1975;1976;1977;1978;1979;1980;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,29,29,84.1866,33.9010,0.0000
sc1.0,30.0000,10.0000,25.0000,10M,163,23,1975;1977;1978;1979;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1998;1999;2000;2001;2002;2003;2004;2005,29,23,127.5164,13.7637,0.0000
