start,labor_years,n_topups,topup_years,run_balance_at_each_topup_M,terminal_M,min_total_M
1975,0,1,1976,6.82,13833.1,33.76
1976,0,1,1978,6.83,32605.3,36.49
1977,0,1,1978,4.58,32967.6,30.3
1978,0,1,1980,12.02,23823.8,37.86
1979,0,1,1980,7.57,41479.7,33.43
1980,0,1,1981,10.89,104111.0,29.1
1981,0,1,1982,6.93,99580.4,32.97
1982,0,0,,,2312.0,40.0
1983,0,1,1985,8.72,18400.3,37.95
1984,0,1,1985,6.61,67544.2,35.85
1985,0,1,1987,13.13,24637.1,40.0
1986,0,1,1987,9.26,12105.6,40.0
1987,0,1,1989,7.05,2867.1,21.66
1988,0,1,1989,4.87,2305.4,19.45
1989,0,1,1990,11.23,2130.4,18.12
1990,0,1,1991,4.44,27800.3,31.61
1991,0,1,1992,12.14,55072.6,40.0
1992,0,1,1993,12.05,17088.6,22.41
1993,0,1,1994,6.84,42090.2,26.07
1994,0,1,1995,5.98,71993.7,30.06
1995,0,0,,,1402.5,40.0
1996,0,1,1997,10.01,12341.7,35.64
1997,0,1,1998,11.03,9759.8,40.0
1998,0,1,2002,10.75,2307.7,40.0
1999,0,1,2001,12.91,1248.4,30.85
2000,0,1,2001,5.20,1121.6,24.79
2001,0,1,2002,6.99,6292.2,30.69
2002,0,1,2003,7.82,13937.7,36.1
2003,0,1,2006,9.59,4475.7,40.0
2004,0,1,2005,5.74,1506.1,24.72
2005,0,1,2006,6.32,6901.9,34.15
