lever,label,run_M,reserve_M,reserve_mode,init_bucket_years,draw_order,topup_thr_M,topup_amt,labor_years_total,starts_with_labor,saved_1988,fails,topup_events_total,ruin_total,terminal_median_M,min_total_floor_M
A,sc2.0_run20_rescash_thr15_ALL,20.000,20.000,cash,0,run_first,15.000,ALL,32,4,0,1983;1986;1988;2000,26,4,4118.900,0.000
A,sc2.0_run20_resbond_thr15_ALL,20.000,20.000,bond,0,run_first,15.000,ALL,11,1,0,1988,26,1,4437.800,0.000
A,sc2.0_run20_ressofr_thr15_ALL,20.000,20.000,sofr,0,run_first,15.000,ALL,12,1,0,1988,26,1,3749.200,0.000
A,sc2.0_run20_resgold_thr15_ALL,20.000,20.000,gold,0,run_first,15.000,ALL,35,4,0,1983;1988;1996;2000,26,4,4113.900,0.000
A,sc2.0_run20_resnasdaq_thr15_ALL,20.000,20.000,nasdaq,0,run_first,15.000,ALL,29,3,0,1986;1988;2000,26,3,3407.500,0.000
A,sc2.0_run20_rescash_thr15_10M,20.000,20.000,cash,0,run_first,15.000,10M,75,10,0,1975;1977;1983;1986;1988;1989;1990;2000;2001;2005,42,10,590.800,0.000
A,sc2.0_run20_resbond_thr15_10M,20.000,20.000,bond,0,run_first,15.000,10M,28,4,0,1986;1988;2000;2001,54,4,584.300,0.000
A,sc2.0_run20_ressofr_thr15_10M,20.000,20.000,sofr,0,run_first,15.000,10M,39,5,0,1986;1988;2000;2001;2005,53,5,402.000,0.000
A,sc2.0_run20_resgold_thr15_10M,20.000,20.000,gold,0,run_first,15.000,10M,70,9,0,1975;1983;1986;1988;1989;1990;1996;2000;2001,50,9,546.800,0.000
A,sc2.0_run20_resnasdaq_thr15_10M,20.000,20.000,nasdaq,0,run_first,15.000,10M,46,4,0,1986;1988;2000;2001,51,4,526.500,0.000
A,sc2.0_run20_rescash_thr20_ALL,20.000,20.000,cash,0,run_first,20.000,ALL,25,3,0,1988;1989;2000,28,3,4830.400,0.000
A,sc2.0_run20_resbond_thr20_ALL,20.000,20.000,bond,0,run_first,20.000,ALL,11,1,0,1988,28,1,5133.100,0.000
A,sc2.0_run20_ressofr_thr20_ALL,20.000,20.000,sofr,0,run_first,20.000,ALL,12,1,0,1988,28,1,5003.200,0.000
A,sc2.0_run20_resgold_thr20_ALL,20.000,20.000,gold,0,run_first,20.000,ALL,32,3,0,1988;1989;2000,28,3,4523.600,0.000
A,sc2.0_run20_resnasdaq_thr20_ALL,20.000,20.000,nasdaq,0,run_first,20.000,ALL,25,2,0,1988;2000,28,2,4803.400,0.000
A,sc2.0_run20_rescash_thr20_10M,20.000,20.000,cash,0,run_first,20.000,10M,27,3,0,1988;2000;2005,45,3,1988.500,0.000
A,sc2.0_run20_resbond_thr20_10M,20.000,20.000,bond,0,run_first,20.000,10M,13,1,0,1988,49,1,1893.000,0.000
A,sc2.0_run20_ressofr_thr20_10M,20.000,20.000,sofr,0,run_first,20.000,10M,17,2,0,1988;2005,49,2,1984.500,0.000
A,sc2.0_run20_resgold_thr20_10M,20.000,20.000,gold,0,run_first,20.000,10M,25,2,0,1988;2000,47,2,1747.600,0.000
A,sc2.0_run20_resnasdaq_thr20_10M,20.000,20.000,nasdaq,0,run_first,20.000,10M,27,2,0,1988;2000,48,2,1792.200,0.000
A,sc2.0_run20_rescash_thr25_ALL,20.000,20.000,cash,0,run_first,25.000,ALL,34,3,0,1988;2000;2004,31,3,8299.000,0.000
A,sc2.0_run20_resbond_thr25_ALL,20.000,20.000,bond,0,run_first,25.000,ALL,34,3,0,1988;2000;2004,31,3,8299.000,0.000
A,sc2.0_run20_ressofr_thr25_ALL,20.000,20.000,sofr,0,run_first,25.000,ALL,34,3,0,1988;2000;2004,31,3,8299.000,0.000
A,sc2.0_run20_resgold_thr25_ALL,20.000,20.000,gold,0,run_first,25.000,ALL,34,3,0,1988;2000;2004,31,3,8299.000,0.000
A,sc2.0_run20_resnasdaq_thr25_ALL,20.000,20.000,nasdaq,0,run_first,25.000,ALL,34,3,0,1988;2000;2004,31,3,8299.000,0.000
A,sc2.0_run20_rescash_thr25_10M,20.000,20.000,cash,0,run_first,25.000,10M,28,3,0,1988;2000;2004,48,3,4721.500,0.000
A,sc2.0_run20_resbond_thr25_10M,20.000,20.000,bond,0,run_first,25.000,10M,20,2,0,1988;2000,53,2,4700.300,0.000
A,sc2.0_run20_ressofr_thr25_10M,20.000,20.000,sofr,0,run_first,25.000,10M,27,3,0,1988;2000;2004,53,3,4729.900,0.000
A,sc2.0_run20_resgold_thr25_10M,20.000,20.000,gold,0,run_first,25.000,10M,26,2,0,1988;2000,50,2,4657.700,0.000
A,sc2.0_run20_resnasdaq_thr25_10M,20.000,20.000,nasdaq,0,run_first,25.000,10M,27,2,0,1988;2000,51,2,4697.000,0.000
A,sc2.0_run25_rescash_thr15_ALL,25.000,15.000,cash,0,run_first,15.000,ALL,32,3,0,1984;1988;2000,16,3,1769.600,0.000
A,sc2.0_run25_resbond_thr15_ALL,25.000,15.000,bond,0,run_first,15.000,ALL,13,1,0,1988,16,1,2075.800,0.000
A,sc2.0_run25_ressofr_thr15_ALL,25.000,15.000,sofr,0,run_first,15.000,ALL,22,3,0,1984;1988;2000,16,3,2081.700,0.000
A,sc2.0_run25_resgold_thr15_ALL,25.000,15.000,gold,0,run_first,15.000,ALL,34,3,0,1984;1988;2000,16,3,1975.600,0.000
A,sc2.0_run25_resnasdaq_thr15_ALL,25.000,15.000,nasdaq,0,run_first,15.000,ALL,32,3,0,1984;1988;2000,16,3,1740.000,0.000
A,sc2.0_run25_rescash_thr15_10M,25.000,15.000,cash,0,run_first,15.000,10M,61,6,0,1984;1986;1988;2000;2004;2005,24,6,1611.000,0.000
A,sc2.0_run25_resbond_thr15_10M,25.000,15.000,bond,0,run_first,15.000,10M,25,3,0,1988;2004;2005,27,3,1645.500,0.000
A,sc2.0_run25_ressofr_thr15_10M,25.000,15.000,sofr,0,run_first,15.000,10M,47,6,0,1984;1986;1988;2000;2004;2005,26,6,1646.800,0.000
A,sc2.0_run25_resgold_thr15_10M,25.000,15.000,gold,0,run_first,15.000,10M,50,6,0,1984;1986;1988;2000;2004;2005,27,6,1619.600,0.000
A,sc2.0_run25_resnasdaq_thr15_10M,25.000,15.000,nasdaq,0,run_first,15.000,10M,49,5,0,1984;1988;2000;2004;2005,26,5,1650.900,0.000
A,sc2.0_run25_rescash_thr20_ALL,25.000,15.000,cash,0,run_first,20.000,ALL,23,2,0,1988;2000,19,2,2867.800,0.000
A,sc2.0_run25_resbond_thr20_ALL,25.000,15.000,bond,0,run_first,20.000,ALL,13,1,0,1988,19,1,3108.700,0.000
A,sc2.0_run25_ressofr_thr20_ALL,25.000,15.000,sofr,0,run_first,20.000,ALL,19,2,0,1988;2000,19,2,3441.400,0.000
A,sc2.0_run25_resgold_thr20_ALL,25.000,15.000,gold,0,run_first,20.000,ALL,25,2,0,1988;2000,19,2,2786.600,0.000
