family,label,labor,starts_fail,saved_1988,fails,termMed_M,termMin_M,floor_M,topups,ruin
0_staged,sc2.2_chunk5_floor0_thr15,100,11,0,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,502.6,4.1,0.0,111,11
0_staged,sc2.2_chunk5_floor0_thr20,50,6,0,1987;1988;1990;2000;2004;2005,1599.5,58.2,0.0,84,6
0_staged,sc2.2_chunk5_floor5_thr15,112,11,0,1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,502.6,4.6,0.0,108,11
0_staged,sc2.2_chunk5_floor5_thr20,76,8,0,1977;1987;1988;1989;1990;2000;2004;2005,1740.6,58.2,0.0,95,8
0_staged,sc2.2_chunk5_floor8_thr15,116,12,0,1975;1977;1984;1986;1987;1988;1989;1990;2000;2001;2004;2005,581.2,11.6,0.0,103,12
0_staged,sc2.2_chunk5_floor8_thr20,90,8,0,1977;1987;1988;1989;1990;2000;2004;2005,1740.6,58.2,0.0,83,8
0_staged,sc2.2_chunk7_floor0_thr15,45,6,0,1986;1987;1988;2001;2004;2005,863.6,47.8,0.0,65,6
0_staged,sc2.2_chunk7_floor0_thr20,19,2,0,1988;2004,2310.3,47.8,0.0,59,2
0_staged,sc2.2_chunk7_floor5_thr15,81,9,0,1977;1986;1987;1988;1990;2000;2001;2004;2005,992.8,5.7,0.0,79,9
0_staged,sc2.2_chunk7_floor5_thr20,34,4,0,1987;1988;2000;2004,2310.3,52.6,0.0,72,4
0_staged,sc2.2_chunk7_floor8_thr15,103,10,0,1977;1986;1987;1988;1989;1990;2000;2001;2004;2005,1103.0,18.0,0.0,73,10
0_staged,sc2.2_chunk7_floor8_thr20,60,6,0,1977;1987;1988;1990;2000;2004,2517.3,19.1,0.0,72,6
0_staged,sc2.2_chunk10_floor0_thr15,16,3,0,1988;2000;2001,619.4,25.3,0.0,41,3
0_staged,sc2.2_chunk10_floor0_thr20,13,1,0,1988,3065.3,188.8,0.0,42,1
0_staged,sc2.2_chunk10_floor5_thr15,42,6,0,1986;1987;1988;2000;2001;2004,739.1,24.9,0.0,52,6
0_staged,sc2.2_chunk10_floor5_thr20,25,3,0,1988;2000;2004,2972.0,188.8,0.0,55,3
0_staged,sc2.2_chunk10_floor8_thr15,68,7,0,1986;1987;1988;1990;2000;2001;2004,960.2,49.4,0.0,50,7
0_staged,sc2.2_chunk10_floor8_thr20,45,4,0,1987;1988;2000;2004,3262.5,14.3,0.0,63,4
1_revglide,rev_sc2.2_to_sc1.6_k3_chunk7_floor5,78,9,0,1977;1986;1987;1988;1989;1990;2000;2004;2005,591.0,22.2,0.0,97,9
1_revglide,rev_sc2.2_to_sc1.6_k3_chunk7_floor8,92,9,0,1977;1986;1987;1988;1989;1990;2000;2004;2005,567.2,21.1,0.0,84,9
1_revglide,rev_sc2.2_to_sc1.6_k3_chunk10_floor5,47,5,0,1987;1988;2000;2004;2005,1029.6,4.3,0.0,75,5
1_revglide,rev_sc2.2_to_sc1.6_k3_chunk10_floor8,72,9,0,1975;1977;1987;1988;1989;1990;2000;2004;2005,945.4,56.4,0.0,84,9
1_revglide,rev_sc2.2_to_sc1.6_k5_chunk7_floor5,62,7,0,1977;1987;1988;1990;2000;2004;2005,1031.8,11.7,0.0,83,7
1_revglide,rev_sc2.2_to_sc1.6_k5_chunk7_floor8,83,9,0,1977;1986;1987;1988;1989;1990;2000;2004;2005,1065.6,80.1,0.0,77,9
1_revglide,rev_sc2.2_to_sc1.6_k5_chunk10_floor5,41,6,0,1987;1988;1990;2000;2004;2005,1513.4,80.1,0.0,67,6
1_revglide,rev_sc2.2_to_sc1.6_k5_chunk10_floor8,59,6,0,1987;1988;1990;2000;2004;2005,1366.2,52.3,0.0,64,6
1_revglide,rev_sc2.2_to_sc1.6_k7_chunk7_floor5,47,6,0,1987;1988;1990;2000;2004;2005,1203.8,104.0,0.0,76,6
1_revglide,rev_sc2.2_to_sc1.6_k7_chunk7_floor8,66,7,0,1977;1987;1988;1990;2000;2004;2005,1218.5,26.7,0.0,76,7
1_revglide,rev_sc2.2_to_sc1.6_k7_chunk10_floor5,26,3,0,1988;2000;2004,1074.3,6.1,0.0,59,3
1_revglide,rev_sc2.2_to_sc1.6_k7_chunk10_floor8,53,5,0,1987;1988;1990;2000;2004,1516.9,24.2,0.0,61,5
1_revglide,rev_sc2.2_to_sc2.0_k3_chunk7_floor5,49,6,0,1987;1988;1990;2000;2004;2005,1803.8,76.5,0.0,80,6
1_revglide,rev_sc2.2_to_sc2.0_k3_chunk7_floor8,70,7,0,1977;1987;1988;1990;2000;2004;2005,1612.4,54.3,0.0,75,7
1_revglide,rev_sc2.2_to_sc2.0_k3_chunk10_floor5,30,3,0,1988;2000;2004,1847.8,58.5,0.0,55,3
1_revglide,rev_sc2.2_to_sc2.0_k3_chunk10_floor8,52,5,0,1987;1988;1990;2000;2004,2160.6,19.9,0.0,64,5
1_revglide,rev_sc2.2_to_sc2.0_k5_chunk7_floor5,45,5,0,1987;1988;1990;2000;2004,1805.0,4.8,0.0,75,5
1_revglide,rev_sc2.2_to_sc2.0_k5_chunk7_floor8,67,7,0,1977;1987;1988;1990;2000;2004;2005,2130.2,68.1,0.0,74,7
1_revglide,rev_sc2.2_to_sc2.0_k5_chunk10_floor5,27,3,0,1988;2000;2004,2115.9,99.7,0.0,54,3
1_revglide,rev_sc2.2_to_sc2.0_k5_chunk10_floor8,53,5,0,1987;1988;1990;2000;2004,2492.0,80.8,0.0,60,5
1_revglide,rev_sc2.2_to_sc2.0_k7_chunk7_floor5,39,5,0,1987;1988;1990;2000;2004,1927.8,33.2,0.0,76,5
1_revglide,rev_sc2.2_to_sc2.0_k7_chunk7_floor8,60,7,0,1977;1987;1988;1990;2000;2004;2005,2182.6,151.8,0.0,72,7
1_revglide,rev_sc2.2_to_sc2.0_k7_chunk10_floor5,26,3,0,1988;2000;2004,2086.5,130.5,0.0,55,3
1_revglide,rev_sc2.2_to_sc2.0_k7_chunk10_floor8,49,5,0,1987;1988;1990;2000;2004,2626.2,111.6,0.0,61,5
1_revglide,rev_sc2.4_to_sc1.6_k3_chunk7_floor5,67,8,0,1977;1987;1988;1989;1990;2000;2004;2005,733.5,26.8,0.0,88,8
1_revglide,rev_sc2.4_to_sc1.6_k3_chunk7_floor8,86,9,0,1977;1986;1987;1988;1989;1990;2000;2004;2005,708.9,26.8,0.0,76,9
1_revglide,rev_sc2.4_to_sc1.6_k3_chunk10_floor5,39,4,0,1988;2000;2004;2005,733.5,4.8,0.0,58,4
1_revglide,rev_sc2.4_to_sc1.6_k3_chunk10_floor8,64,8,0,1977;1987;1988;1989;1990;2000;2004;2005,717.7,18.6,0.0,75,8
1_revglide,rev_sc2.4_to_sc1.6_k5_chunk7_floor5,49,6,0,1987;1988;1990;2000;2004;2005,900.1,22.2,0.0,72,6
1_revglide,rev_sc2.4_to_sc1.6_k5_chunk7_floor8,70,9,0,1977;1986;1987;1988;1989;1990;2000;2004;2005,1279.5,106.6,0.0,78,9
1_revglide,rev_sc2.4_to_sc1.6_k5_chunk10_floor5,29,3,0,1988;2000;2004,1046.0,3.2,0.0,57,3
1_revglide,rev_sc2.4_to_sc1.6_k5_chunk10_floor8,56,5,0,1987;1988;1990;2000;2004,1302.7,47.1,0.0,54,5
