stress,param,labor_years_total,holds
baseline,-,0.0,1
market_scale,f=1.00,0.0,1
market_scale,f=0.95,0.0,1
market_scale,f=0.90,0.0,1
market_scale,f=0.88,0.0,1
market_scale,f=0.86,0.0,1
market_scale,f=0.85,0.0,1
market_scale,f=0.84,0.0,1
market_scale,f=0.82,0.0,1
market_scale,f=0.80,2.0,0
market_scale,f=0.75,10.0,0
bond_haircut,h=1.00,0.0,1
bond_haircut,h=0.60,0.0,1
bond_haircut,h=0.50,0.0,1
bond_haircut,h=0.40,0.0,1
bond_haircut,h=0.30,9.0,0
bond_haircut,h=0.25,10.0,0
bond_haircut,h=0.20,11.0,0
bond_haircut,h=0.00,12.0,0
inflation,g=0.000,0.0,1
inflation,g=0.010,0.0,1
inflation,g=0.020,24.0,0
inflation,g=0.035,38.0,0
inflation,g=0.050,45.0,0
true_margin,start1989_yr1995,10.92,1
