label,labor_years_total,starts_with_labor,saved_1988,fails,topup_events_total,ruin_total,terminal_median_M,min_total_floor_M
sc2.2_none_rescash_bkt0_run15_thr15_ALL,23,2,0,1988;1989,31,2,6247.900,0.000
sc2.2_none_rescash_bkt0_run15_thr18_ALL,34,3,0,1988;2000;2004,31,3,12737.100,0.000
sc2.2_none_rescash_bkt0_run15_thr20_ALL,34,3,0,1988;2000;2004,31,3,12737.100,0.000
sc2.2_none_rescash_bkt0_run15_thr20_10,22,2,0,1988;2000,56,2,3842.100,0.000
sc2.2_none_rescash_bkt0_run15_thr12_6,279,27,0,1975;1977;1978;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1998;1999;2000;2001;2002;2003;2004;2005,145,27,539.800,0.000
sc2.2_none_rescash_bkt0_run18_thr15_ALL,12,1,0,1988,28,1,5382.400,0.000
sc2.2_none_rescash_bkt0_run18_thr18_ALL,19,2,0,1988;1989,28,2,7302.700,0.000
sc2.2_none_rescash_bkt0_run18_thr20_ALL,34,3,0,1988;2000;2004,31,3,12737.100,0.000
sc2.2_none_rescash_bkt0_run18_thr20_10,31,3,0,1988;2000;2004,50,3,5725.800,0.000
sc2.2_none_rescash_bkt0_run18_thr12_6,239,25,0,1975;1976;1977;1978;1979;1980;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1996;1997;1999;2000;2001;2002;2003;2004;2005,106,25,1850.500,0.000
sc2.2_none_rescash_bkt0_run20_thr15_ALL,32,3,0,1986;1987;1988,25,3,4984.400,0.000
sc2.2_none_rescash_bkt0_run20_thr18_ALL,12,1,0,1988,25,1,5146.500,0.000
sc2.2_none_rescash_bkt0_run20_thr20_ALL,12,1,0,1988,26,1,7572.100,0.000
sc2.2_none_rescash_bkt0_run20_thr20_10,17,2,0,1988;2000,40,2,3215.400,0.000
sc2.2_none_rescash_bkt0_run20_thr12_6,201,19,0,1975;1977;1980;1981;1983;1984;1986;1987;1988;1989;1990;1993;1996;1999;2000;2001;2002;2004;2005,91,19,607.400,0.000
sc2.2_none_rescash_bkt0_run22_thr15_ALL,28,3,0,1986;1988;2000,20,3,4129.100,0.000
sc2.2_none_rescash_bkt0_run22_thr18_ALL,17,2,0,1988;2000,21,2,5314.700,0.000
sc2.2_none_rescash_bkt0_run22_thr20_ALL,17,2,0,1988;2000,22,2,5368.700,0.000
sc2.2_none_rescash_bkt0_run22_thr20_10,19,2,0,1988;2000,31,2,2199.300,0.000
sc2.2_none_rescash_bkt0_run22_thr12_6,168,18,0,1975;1977;1979;1980;1981;1984;1986;1987;1988;1989;1990;1993;1994;2000;2001;2002;2004;2005,58,18,1369.900,0.000
sc2.2_none_rescash_bkt0_run25_thr15_ALL,31,3,0,1984;1988;2000,15,3,3969.100,0.000
sc2.2_none_rescash_bkt0_run25_thr18_ALL,21,2,0,1988;2000,17,2,5323.200,0.000
sc2.2_none_rescash_bkt0_run25_thr20_ALL,21,2,0,1988;2000,18,2,5323.200,0.000
sc2.2_none_rescash_bkt0_run25_thr20_10,22,2,0,1988;2000,25,2,3842.100,0.000
sc2.2_none_rescash_bkt0_run25_thr12_6,160,14,0,1975;1977;1979;1984;1986;1987;1988;1989;1990;1992;2000;2001;2004;2005,43,14,3842.100,0.000
sc2.2_none_rescash_bkt2_run15_thr15_ALL,40,5,0,1986;1988;1989;2000;2001,13,5,4509.300,0.000
sc2.2_none_rescash_bkt2_run15_thr18_ALL,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_rescash_bkt2_run15_thr20_ALL,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_rescash_bkt2_run15_thr20_10,32,3,0,1988;2000;2004,36,3,11330.100,0.000
sc2.2_none_rescash_bkt2_run15_thr12_6,91,9,0,1986;1987;1988;1989;1993;2000;2001;2004;2005,20,9,4080.800,0.000
sc2.2_none_rescash_bkt2_run18_thr15_ALL,34,3,0,1988;2000;2004,7,3,6088.000,0.000
sc2.2_none_rescash_bkt2_run18_thr18_ALL,25,3,0,1988;1989;2000,11,3,6672.300,0.000
sc2.2_none_rescash_bkt2_run18_thr20_ALL,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_rescash_bkt2_run18_thr20_10,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_rescash_bkt2_run18_thr12_6,57,6,0,1987;1988;1989;1990;2000;2004,12,6,6043.300,0.000
sc2.2_none_rescash_bkt2_run20_thr15_ALL,35,3,0,1988;2000;2004,6,3,7809.600,0.000
sc2.2_none_rescash_bkt2_run20_thr18_ALL,23,2,0,1988;2000,6,2,6652.400,0.000
sc2.2_none_rescash_bkt2_run20_thr20_ALL,23,2,0,1988;2000,11,2,8966.800,0.000
sc2.2_none_rescash_bkt2_run20_thr20_10,23,2,0,1988;2000,11,2,8966.800,0.000
sc2.2_none_rescash_bkt2_run20_thr12_6,52,5,0,1988;1989;1990;2000;2004,5,5,7887.300,0.000
sc2.2_none_rescash_bkt2_run22_thr15_ALL,33,3,0,1988;2000;2004,3,3,8202.500,0.000
sc2.2_none_rescash_bkt2_run22_thr18_ALL,33,3,0,1988;2000;2004,5,3,8513.800,0.000
sc2.2_none_rescash_bkt2_run22_thr20_ALL,26,3,0,1988;2000;2004,7,3,8513.800,0.000
sc2.2_none_rescash_bkt2_run22_thr20_10,26,3,0,1988;2000;2004,7,3,8513.800,0.000
sc2.2_none_rescash_bkt2_run22_thr12_6,39,3,0,1988;2000;2004,3,3,8202.500,0.000
sc2.2_none_rescash_bkt2_run25_thr15_ALL,32,3,0,1988;2000;2004,3,3,11330.100,0.000
sc2.2_none_rescash_bkt2_run25_thr18_ALL,32,3,0,1988;2000;2004,4,3,11330.100,0.000
sc2.2_none_rescash_bkt2_run25_thr20_ALL,32,3,0,1988;2000;2004,5,3,11330.100,0.000
sc2.2_none_rescash_bkt2_run25_thr20_10,32,3,0,1988;2000;2004,5,3,11330.100,0.000
sc2.2_none_rescash_bkt2_run25_thr12_6,32,3,0,1988;2000;2004,3,3,11330.100,0.000
sc2.2_none_rescash_bkt3_run15_thr15_ALL,20,2,0,1988;2000,10,2,6167.200,0.000
sc2.2_none_rescash_bkt3_run15_thr18_ALL,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_rescash_bkt3_run15_thr20_ALL,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_rescash_bkt3_run15_thr20_10,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_rescash_bkt3_run15_thr12_6,35,3,0,1988;2000;2004,6,3,6782.800,0.000
sc2.2_none_rescash_bkt3_run18_thr15_ALL,23,2,0,1988;2000,4,2,7411.300,0.000
sc2.2_none_rescash_bkt3_run18_thr18_ALL,23,2,0,1988;2000,9,2,7411.300,0.000
sc2.2_none_rescash_bkt3_run18_thr20_ALL,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_rescash_bkt3_run18_thr20_10,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_rescash_bkt3_run18_thr12_6,24,2,0,1988;2000,2,2,7411.300,0.000
sc2.2_none_resbond_bkt0_run15_thr15_ALL,0,0,1,,31,0,6739.600,16.240
sc2.2_none_resbond_bkt0_run15_thr18_ALL,34,3,0,1988;2000;2004,31,3,12737.100,0.000
sc2.2_none_resbond_bkt0_run15_thr20_ALL,34,3,0,1988;2000;2004,31,3,12737.100,0.000
sc2.2_none_resbond_bkt0_run15_thr20_10,12,1,0,1988,56,1,3706.700,0.000
sc2.2_none_resbond_bkt0_run15_thr12_6,211,25,0,1975;1977;1978;1981;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1996;1998;1999;2000;2001;2002;2003;2004;2005,192,25,135.600,0.000
sc2.2_none_resbond_bkt0_run18_thr15_ALL,9,1,0,1988,28,1,7229.800,0.000
sc2.2_none_resbond_bkt0_run18_thr18_ALL,9,1,0,1988,28,1,7208.500,0.000
sc2.2_none_resbond_bkt0_run18_thr20_ALL,34,3,0,1988;2000;2004,31,3,12737.100,0.000
sc2.2_none_resbond_bkt0_run18_thr20_10,17,2,0,1988;2004,50,2,4795.100,0.000
sc2.2_none_resbond_bkt0_run18_thr12_6,157,21,0,1975;1976;1977;1979;1983;1984;1986;1987;1988;1989;1990;1993;1996;1997;1999;2000;2001;2002;2003;2004;2005,159,21,178.600,0.000
sc2.2_none_resbond_bkt0_run20_thr15_ALL,21,2,0,1987;1988,25,2,5656.200,0.000
sc2.2_none_resbond_bkt0_run20_thr18_ALL,11,1,0,1988,25,1,6624.500,0.000
sc2.2_none_resbond_bkt0_run20_thr20_ALL,11,1,0,1988,26,1,8721.600,0.000
sc2.2_none_resbond_bkt0_run20_thr20_10,13,1,0,1988,42,1,3065.300,0.000
sc2.2_none_resbond_bkt0_run20_thr12_6,148,18,0,1975;1977;1980;1981;1984;1986;1987;1988;1989;1990;1993;1996;1999;2000;2001;2002;2004;2005,123,18,581.200,0.000
sc2.2_none_resbond_bkt0_run22_thr15_ALL,17,2,0,1986;1988,20,2,3965.400,0.000
sc2.2_none_resbond_bkt0_run22_thr18_ALL,12,1,0,1988,21,1,5531.800,0.000
sc2.2_none_resbond_bkt0_run22_thr20_ALL,12,1,0,1988,22,1,6531.800,0.000
sc2.2_none_resbond_bkt0_run22_thr20_10,11,1,0,1988,33,1,2497.200,0.000
sc2.2_none_resbond_bkt0_run22_thr12_6,117,15,0,1975;1977;1979;1984;1986;1987;1988;1989;1990;1993;2000;2001;2002;2004;2005,97,15,1116.500,0.000
sc2.2_none_resbond_bkt0_run25_thr15_ALL,12,1,0,1988,15,1,4028.900,0.000
sc2.2_none_resbond_bkt0_run25_thr18_ALL,12,1,0,1988,17,1,6015.300,0.000
sc2.2_none_resbond_bkt0_run25_thr20_ALL,12,1,0,1988,18,1,6015.300,0.000
sc2.2_none_resbond_bkt0_run25_thr20_10,12,1,0,1988,25,1,3706.700,0.000
sc2.2_none_resbond_bkt0_run25_thr12_6,115,12,0,1975;1977;1979;1984;1987;1988;1989;1990;2000;2001;2004;2005,65,12,3439.900,0.000
sc2.2_none_resbond_bkt2_run15_thr15_ALL,21,2,0,1988;1989,13,2,3869.400,0.000
sc2.2_none_resbond_bkt2_run15_thr18_ALL,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_resbond_bkt2_run15_thr20_ALL,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_resbond_bkt2_run15_thr20_10,31,3,0,1988;2000;2004,36,3,11331.300,0.000
sc2.2_none_resbond_bkt2_run15_thr12_6,69,8,0,1987;1988;1989;1993;2000;2001;2004;2005,34,8,3869.400,0.000
sc2.2_none_resbond_bkt2_run18_thr15_ALL,24,2,0,1988;2004,7,2,6062.100,0.000
sc2.2_none_resbond_bkt2_run18_thr18_ALL,13,1,0,1988,11,1,6307.600,0.000
sc2.2_none_resbond_bkt2_run18_thr20_ALL,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_resbond_bkt2_run18_thr20_10,31,3,0,1988;2000;2004,31,3,11955.700,0.000
sc2.2_none_resbond_bkt2_run18_thr12_6,43,5,0,1987;1988;1990;2000;2004,14,5,5803.300,0.000
sc2.2_none_resbond_bkt2_run20_thr15_ALL,30,3,0,1988;2000;2004,6,3,7782.800,0.000
sc2.2_none_resbond_bkt2_run20_thr18_ALL,18,2,0,1988;2000,6,2,6661.300,0.000
sc2.2_none_resbond_bkt2_run20_thr20_ALL,18,2,0,1988;2000,11,2,8904.300,0.000
sc2.2_none_resbond_bkt2_run20_thr20_10,18,2,0,1988;2000,11,2,8904.300,0.000
sc2.2_none_resbond_bkt2_run20_thr12_6,44,4,0,1988;1990;2000;2004,11,4,6661.300,0.000
sc2.2_none_resbond_bkt2_run22_thr15_ALL,31,3,0,1988;2000;2004,3,3,8209.500,0.000
sc2.2_none_resbond_bkt2_run22_thr18_ALL,31,3,0,1988;2000;2004,5,3,8497.800,0.000
sc2.2_none_resbond_bkt2_run22_thr20_ALL,23,2,0,1988;2000,7,2,8354.700,0.000
sc2.2_none_resbond_bkt2_run22_thr20_10,23,2,0,1988;2000,7,2,8354.700,0.000
sc2.2_none_resbond_bkt2_run22_thr12_6,37,3,0,1988;2000;2004,3,3,8209.500,0.000
sc2.2_none_resbond_bkt2_run25_thr15_ALL,32,3,0,1988;2000;2004,3,3,11331.300,0.000
sc2.2_none_resbond_bkt2_run25_thr18_ALL,31,3,0,1988;2000;2004,4,3,11331.300,0.000
sc2.2_none_resbond_bkt2_run25_thr20_ALL,31,3,0,1988;2000;2004,5,3,11331.300,0.000
sc2.2_none_resbond_bkt2_run25_thr20_10,31,3,0,1988;2000;2004,5,3,11331.300,0.000
sc2.2_none_resbond_bkt2_run25_thr12_6,32,3,0,1988;2000;2004,3,3,11331.300,0.000
sc2.2_none_resbond_bkt3_run15_thr15_ALL,15,2,0,1988;2000,10,2,6129.300,0.000
sc2.2_none_resbond_bkt3_run15_thr18_ALL,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_resbond_bkt3_run15_thr20_ALL,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_resbond_bkt3_run15_thr20_10,24,2,0,1988;2000,31,2,7635.300,0.000
sc2.2_none_resbond_bkt3_run15_thr12_6,35,3,0,1988;2000;2004,6,3,6770.900,0.000
sc2.2_none_resbond_bkt3_run18_thr15_ALL,23,2,0,1988;2000,4,2,7412.000,0.000
sc2.2_none_resbond_bkt3_run18_thr18_ALL,23,2,0,1988;2000,9,2,7412.000,0.000
