floor_spend_M,dd_trigger,cut_to,labor_total,n_fail,min_floor_M,med_total_spend_M,min_total_spend_M,worst_min_spend_M,fails
3.0,0.15,0.5,3,1,0.0,126.0,36.0,3.6,2013
3.0,0.15,0.6,7,1,0.0,129.6,31.7,4.32,2013
3.0,0.15,0.7,17,3,0.0,133.2,29.5,5.04,2012;2013;2014
3.0,0.15,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
3.0,0.25,0.5,7,1,0.0,133.2,32.4,3.6,2013
3.0,0.25,0.6,10,2,0.0,135.4,34.6,4.32,2012;2013
3.0,0.25,0.7,17,3,0.0,137.5,31.7,5.04,2012;2013;2014
3.0,0.25,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
3.0,0.35,0.5,7,1,0.0,136.8,32.4,3.6,2013
3.0,0.35,0.6,10,2,0.0,138.2,34.6,4.32,2012;2013
3.0,0.35,0.7,17,3,0.0,139.7,31.7,5.04,2012;2013;2014
3.0,0.35,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
4.0,0.15,0.5,6,1,0.0,128.0,34.4,4.0,2013
4.0,0.15,0.6,7,1,0.0,129.6,31.7,4.32,2013
4.0,0.15,0.7,17,3,0.0,133.2,29.5,5.04,2012;2013;2014
4.0,0.15,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
4.0,0.25,0.5,7,1,0.0,134.4,33.6,4.0,2013
4.0,0.25,0.6,10,2,0.0,135.4,34.6,4.32,2012;2013
4.0,0.25,0.7,17,3,0.0,137.5,31.7,5.04,2012;2013;2014
4.0,0.25,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
4.0,0.35,0.5,7,1,0.0,137.6,33.6,4.0,2013
4.0,0.35,0.6,10,2,0.0,138.2,34.6,4.32,2012;2013
4.0,0.35,0.7,17,3,0.0,139.7,31.7,5.04,2012;2013;2014
4.0,0.35,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
4.5,0.15,0.5,7,1,0.0,130.5,32.4,4.5,2013
4.5,0.15,0.6,7,1,0.0,130.5,32.4,4.5,2013
4.5,0.15,0.7,17,3,0.0,133.2,29.5,5.04,2012;2013;2014
4.5,0.15,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
4.5,0.25,0.5,13,2,0.0,135.9,30.6,4.5,2012;2013
4.5,0.25,0.6,13,2,0.0,135.9,30.6,4.5,2012;2013
4.5,0.25,0.7,17,3,0.0,137.5,31.7,5.04,2012;2013;2014
4.5,0.25,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
4.5,0.35,0.5,13,2,0.0,138.6,30.6,4.5,2012;2013
4.5,0.35,0.6,13,2,0.0,138.6,30.6,4.5,2012;2013
4.5,0.35,0.7,17,3,0.0,139.7,31.7,5.04,2012;2013;2014
4.5,0.35,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
5.0,0.15,0.5,17,3,0.0,133.0,29.4,5.0,2012;2013;2014
5.0,0.15,0.6,17,3,0.0,133.0,29.4,5.0,2012;2013;2014
5.0,0.15,0.7,17,3,0.0,133.2,29.5,5.04,2012;2013;2014
5.0,0.15,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
5.0,0.25,0.5,17,3,0.0,137.4,31.6,5.0,2012;2013;2014
5.0,0.25,0.6,17,3,0.0,137.4,31.6,5.0,2012;2013;2014
5.0,0.25,0.7,17,3,0.0,137.5,31.7,5.04,2012;2013;2014
5.0,0.25,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
5.0,0.35,0.5,17,3,0.0,139.6,31.6,5.0,2012;2013;2014
5.0,0.35,0.6,17,3,0.0,139.6,31.6,5.0,2012;2013;2014
5.0,0.35,0.7,17,3,0.0,139.7,31.7,5.04,2012;2013;2014
5.0,0.35,1.0,24,3,0.0,144.0,28.8,7.2,2012;2013;2014
5.5,0.15,0.5,21,3,0.0,135.5,30.9,5.5,2012;2013;2014
5.5,0.15,0.6,21,3,0.0,135.5,30.9,5.5,2012;2013;2014
5.5,0.15,0.7,21,3,0.0,135.5,30.9,5.5,2012;2013;2014
