upper_wr,floor_frac,shortfall_years_total,worst_start_shortfalls,worst_short_at,worst_min_spend_M,median_total_spend_M,ruin
0.14,0.5,187,12,2009,3.6,137.8,0
0.14,0.6,193,14,2012,0.0,137.8,2
0.14,0.7,202,17,2009,0.0,138.1,2
0.16,0.5,165,13,2013,3.6,139.8,0
0.16,0.6,170,13,2013,0.0,139.8,1
0.16,0.7,177,14,2012,0.0,139.9,2
0.18,0.5,96,12,2013,0.0,141.5,1
0.18,0.6,103,12,2012,0.0,141.5,1
0.18,0.7,106,12,2012,0.0,141.5,3
0.2,0.5,80,12,2013,0.0,142.6,1
0.2,0.6,85,12,2013,0.0,142.6,2
0.2,0.7,88,12,2013,0.0,142.6,3
