floor_M,top_wr,labor_total,shortfall_years_total,worst_min_spend_M,median_total_spend_M,ruin
3.6,0.12,0,171,3.6,129.6,0
3.6,0.14,0,147,3.6,133.2,0
3.6,0.15,0,140,3.6,133.2,0
3.6,0.16,0,122,3.6,133.2,0
3.6,0.18,0,82,3.6,136.8,0
4.0,0.12,0,180,4.0,131.2,0
4.0,0.14,0,150,4.0,134.4,0
4.0,0.15,0,145,4.0,134.4,0
4.0,0.16,0,133,4.0,134.4,0
4.0,0.18,1,85,2.1,137.6,1
4.43,0.12,0,187,4.43,132.9,0
4.43,0.14,0,165,4.43,135.7,0
4.43,0.15,0,154,4.43,135.7,0
4.43,0.16,0,135,4.43,135.7,0
4.43,0.18,6,90,0.0,138.5,1
4.7,0.12,6,197,0.0,134.0,1
4.7,0.14,6,174,0.0,134.0,1
4.7,0.15,6,168,0.0,136.5,1
4.7,0.16,6,140,0.0,136.5,1
4.7,0.18,7,94,0.0,139.0,1
5.0,0.12,12,204,0.0,135.2,2
5.0,0.14,12,188,0.0,135.2,2
5.0,0.15,12,174,0.0,137.4,2
5.0,0.16,12,155,0.0,137.4,2
5.0,0.18,8,103,0.0,139.6,2
