strat,runfrac,floor_M,top_wr,labor_total,shortfall_years_total,worst_min_spend_M,median_total_spend_M,median_terminal_M,ruin
sc2.6,0.35,5.0,0.16,12,150,0.0,137.4,9451.4,2
sc2.6,0.35,5.0,0.18,8,94,0.0,139.6,8298.0,2
sc2.6,0.35,5.0,0.2,13,75,0.0,141.8,8137.9,2
sc2.6,0.35,5.5,0.16,14,161,0.0,138.9,9254.4,2
sc2.6,0.35,5.5,0.18,14,97,0.0,140.6,7874.2,2
sc2.6,0.35,5.5,0.2,15,79,0.0,142.3,7874.2,2
sc2.6,0.35,6.0,0.16,14,169,0.0,140.4,8153.9,2
sc2.6,0.35,6.0,0.18,15,100,0.0,141.6,6595.6,2
sc2.6,0.35,6.0,0.2,15,81,0.0,142.8,6385.6,2
sc2.6,0.35,6.37,0.16,15,172,0.0,141.5,7148.6,2
sc2.6,0.35,6.37,0.18,16,101,0.0,142.3,5497.7,2
sc2.6,0.35,6.37,0.2,16,83,0.0,143.2,5367.3,2
sc2.6,0.45,5.0,0.16,0,136,5.0,137.4,4936.2,0
sc2.6,0.45,5.0,0.18,13,92,0.0,139.6,5234.9,2
sc2.6,0.45,5.0,0.2,14,80,0.0,141.8,5234.9,2
sc2.6,0.45,5.5,0.16,0,146,5.5,138.9,3952.8,0
sc2.6,0.45,5.5,0.18,14,95,0.0,140.6,5234.9,2
sc2.6,0.45,5.5,0.2,14,81,0.0,142.3,5234.9,2
sc2.6,0.45,6.0,0.16,7,165,0.0,140.4,3625.7,1
sc2.6,0.45,6.0,0.18,15,100,0.0,141.6,5101.2,2
sc2.6,0.45,6.0,0.2,16,84,0.0,142.8,5101.2,2
sc2.6,0.45,6.37,0.16,0,171,6.37,141.5,4741.1,0
sc2.6,0.45,6.37,0.18,16,107,0.0,142.3,4579.4,2
sc2.6,0.45,6.37,0.2,16,90,0.0,143.2,4579.4,2
sc2.6,0.5,5.0,0.16,0,139,5.0,137.4,6793.1,0
sc2.6,0.5,5.0,0.18,7,96,0.0,139.6,4332.2,1
sc2.6,0.5,5.0,0.2,7,77,0.0,141.8,4049.9,1
sc2.6,0.5,5.5,0.16,7,143,0.0,138.9,6721.9,1
sc2.6,0.5,5.5,0.18,6,95,0.0,141.4,3920.1,1
sc2.6,0.5,5.5,0.2,6,76,0.0,142.3,4031.1,1
sc2.6,0.5,6.0,0.16,0,144,6.0,140.4,5223.4,0
sc2.6,0.5,6.0,0.18,0,96,6.0,141.6,3667.3,0
sc2.6,0.5,6.0,0.2,0,76,6.0,142.8,3939.1,0
sc2.6,0.5,6.37,0.16,0,164,6.37,141.5,4074.7,0
sc2.6,0.5,6.37,0.18,3,103,0.0,142.3,3417.5,1
sc2.6,0.5,6.37,0.2,3,83,0.0,143.2,3468.5,1
sc2.6,0.6,5.0,0.16,0,133,5.0,137.4,5103.1,0
sc2.6,0.6,5.0,0.18,0,97,5.0,139.6,3953.4,0
sc2.6,0.6,5.0,0.2,0,72,5.0,141.8,3953.4,0
sc2.6,0.6,5.5,0.16,0,146,5.5,138.1,4029.0,0
sc2.6,0.6,5.5,0.18,0,97,5.5,140.6,5059.4,0
sc2.6,0.6,5.5,0.2,8,86,0.0,141.4,4546.0,1
sc2.6,0.6,6.0,0.16,0,175,6.0,139.2,3998.0,0
sc2.6,0.6,6.0,0.18,0,106,6.0,141.6,4770.8,0
sc2.6,0.6,6.0,0.2,11,90,0.0,142.2,4770.8,2
sc2.6,0.6,6.37,0.16,8,186,0.0,140.2,4054.8,2
sc2.6,0.6,6.37,0.18,20,127,0.0,142.3,4981.0,3
sc2.6,0.6,6.37,0.2,20,107,0.0,142.3,4770.8,3
sc2.4,0.35,5.0,0.16,11,155,0.0,137.4,6066.0,2
sc2.4,0.35,5.0,0.18,7,97,0.0,139.6,6617.1,1
sc2.4,0.35,5.0,0.2,12,77,0.0,141.8,6617.1,2
sc2.4,0.35,5.5,0.16,14,167,0.0,138.9,6798.5,2
sc2.4,0.35,5.5,0.18,13,102,0.0,140.6,5915.7,2
sc2.4,0.35,5.5,0.2,14,80,0.0,142.3,5915.7,2
sc2.4,0.35,6.0,0.16,14,171,0.0,140.4,6049.3,2
sc2.4,0.35,6.0,0.18,15,104,0.0,141.6,5760.9,2
sc2.4,0.35,6.0,0.2,15,83,0.0,142.8,5760.9,2
sc2.4,0.35,6.37,0.16,15,172,0.0,141.5,4783.1,2
sc2.4,0.35,6.37,0.18,15,106,0.0,142.3,5602.8,2
sc2.4,0.35,6.37,0.2,15,87,0.0,142.3,5602.8,2
sc2.4,0.45,5.0,0.16,0,141,5.0,137.4,2196.0,0
sc2.4,0.45,5.0,0.18,13,98,0.0,139.6,4143.1,2
sc2.4,0.45,5.0,0.2,13,85,0.0,141.8,4485.9,2
sc2.4,0.45,5.5,0.16,6,167,0.0,138.9,1864.5,1
sc2.4,0.45,5.5,0.18,14,103,0.0,140.6,4011.4,2
sc2.4,0.45,5.5,0.2,14,86,0.0,142.3,4296.6,2
sc2.4,0.45,6.0,0.16,0,176,6.0,140.4,3994.4,0
sc2.4,0.45,6.0,0.18,16,109,0.0,141.6,3573.6,2
sc2.4,0.45,6.0,0.2,16,91,0.0,142.8,3834.9,2
sc2.4,0.45,6.37,0.16,8,181,0.0,141.1,3553.4,2
sc2.4,0.45,6.37,0.18,18,111,0.0,142.3,3277.1,3
sc2.4,0.45,6.37,0.2,18,98,0.0,143.2,3802.2,3
sc2.4,0.5,5.0,0.16,0,145,5.0,137.4,3581.2,0
sc2.4,0.5,5.0,0.18,0,91,5.0,139.6,1911.9,0
sc2.4,0.5,5.0,0.2,0,73,5.0,141.8,2823.6,0
sc2.4,0.5,5.5,0.16,7,152,0.0,138.9,3447.1,1
sc2.4,0.5,5.5,0.18,0,100,5.5,140.6,1911.9,0
sc2.4,0.5,5.5,0.2,0,81,5.5,142.3,2826.7,0
sc2.4,0.5,6.0,0.16,7,176,0.0,140.4,2844.5,2
sc2.4,0.5,6.0,0.18,0,115,6.0,141.6,1911.9,0
sc2.4,0.5,6.0,0.2,0,88,6.0,142.8,2545.8,0
sc2.4,0.5,6.37,0.16,2,172,0.0,141.1,2620.2,1
sc2.4,0.5,6.37,0.18,4,117,0.0,142.3,2346.3,1
sc2.4,0.5,6.37,0.2,6,92,0.0,143.2,2157.6,2
sc2.4,0.6,5.0,0.16,0,139,5.0,137.4,3448.1,0
sc2.4,0.6,5.0,0.18,0,98,5.0,139.6,3384.1,0
sc2.4,0.6,5.0,0.2,7,76,0.0,141.8,3342.8,1
sc2.4,0.6,5.5,0.16,0,159,5.5,137.2,3291.1,0
sc2.4,0.6,5.5,0.18,0,104,5.5,140.6,3497.4,0
sc2.4,0.6,5.5,0.2,8,78,0.0,142.3,3152.7,1
sc2.4,0.6,6.0,0.16,0,186,6.0,139.2,3129.8,0
sc2.4,0.6,6.0,0.18,9,116,0.0,141.6,3384.1,2
sc2.4,0.6,6.0,0.2,10,88,0.0,142.2,3384.1,2
sc2.4,0.6,6.37,0.16,9,192,0.0,141.1,2500.1,2
sc2.4,0.6,6.37,0.18,18,134,0.0,142.3,3497.4,3
sc2.4,0.6,6.37,0.2,14,101,0.0,142.8,3497.4,2
sc2.2,0.35,5.0,0.16,11,162,0.0,137.4,5604.7,2
sc2.2,0.35,5.0,0.18,8,105,0.0,139.6,5042.6,2
sc2.2,0.35,5.0,0.2,12,83,0.0,141.8,5042.6,2
sc2.2,0.35,5.5,0.16,7,170,0.0,138.9,5000.4,1
sc2.2,0.35,5.5,0.18,12,109,0.0,140.6,4824.8,2
sc2.2,0.35,5.5,0.2,13,86,0.0,141.4,4824.8,2
sc2.2,0.35,6.0,0.16,14,171,0.0,140.4,3890.9,2
sc2.2,0.35,6.0,0.18,14,114,0.0,141.6,4564.7,2
sc2.2,0.35,6.0,0.2,15,91,0.0,142.2,4564.7,2
sc2.2,0.35,6.37,0.16,15,173,0.0,141.5,3899.0,2
sc2.2,0.35,6.37,0.18,16,119,0.0,142.3,4372.1,3
sc2.2,0.35,6.37,0.2,16,95,0.0,142.8,4372.1,3
sc2.2,0.45,5.0,0.16,0,157,5.0,137.4,2334.4,0
sc2.2,0.45,5.0,0.18,6,104,0.0,139.6,3343.3,1
sc2.2,0.45,5.0,0.2,19,98,0.0,141.8,3496.3,3
sc2.2,0.45,5.5,0.16,6,178,0.0,138.1,2936.7,1
sc2.2,0.45,5.5,0.18,10,107,0.0,140.6,3169.2,2
sc2.2,0.45,5.5,0.2,26,99,0.0,142.3,3391.2,4
sc2.2,0.45,6.0,0.16,7,185,0.0,139.8,2823.1,1
sc2.2,0.45,6.0,0.18,14,115,0.0,141.6,2973.7,2
sc2.2,0.45,6.0,0.2,30,101,0.0,142.8,3368.3,4
sc2.2,0.45,6.37,0.16,9,192,0.0,140.7,2432.7,2
sc2.2,0.45,6.37,0.18,16,124,0.0,142.3,3107.9,3
sc2.2,0.45,6.37,0.2,31,103,0.0,143.2,3343.3,4
sc2.2,0.5,5.0,0.16,0,162,5.0,137.4,2043.0,0
sc2.2,0.5,5.0,0.18,4,107,0.0,139.6,2354.2,1
sc2.2,0.5,5.0,0.2,0,82,5.0,141.8,2315.6,0
sc2.2,0.5,5.5,0.16,7,175,0.0,138.1,1855.0,1
sc2.2,0.5,5.5,0.18,7,117,0.0,140.6,2222.5,1
sc2.2,0.5,5.5,0.2,0,86,5.5,142.3,2187.6,0
sc2.2,0.5,6.0,0.16,6,183,0.0,139.2,1533.4,1
sc2.2,0.5,6.0,0.18,6,127,0.0,141.6,2116.2,1
sc2.2,0.5,6.0,0.2,0,98,6.0,142.2,1876.4,0
sc2.2,0.5,6.37,0.16,17,212,0.0,140.7,1353.2,3
sc2.2,0.5,6.37,0.18,13,139,0.0,142.3,1730.2,3
sc2.2,0.5,6.37,0.2,8,109,0.0,142.8,1730.2,3
sc2.2,0.6,5.0,0.16,0,147,5.0,135.2,2697.6,0
sc2.2,0.6,5.0,0.18,0,106,5.0,139.6,2282.0,0
sc2.2,0.6,5.0,0.2,7,81,0.0,141.8,2058.2,1
sc2.2,0.6,5.5,0.16,0,168,5.5,137.2,2571.6,0
sc2.2,0.6,5.5,0.18,6,113,0.0,140.6,2526.2,1
sc2.2,0.6,5.5,0.2,8,82,0.0,141.4,2282.0,1
sc2.2,0.6,6.0,0.16,0,205,6.0,138.6,1889.9,0
sc2.2,0.6,6.0,0.18,11,123,0.0,141.6,2205.7,3
sc2.2,0.6,6.0,0.2,10,97,0.0,142.2,2111.8,2
sc2.2,0.6,6.37,0.16,9,205,0.0,140.7,2295.5,2
sc2.2,0.6,6.37,0.18,11,141,0.0,142.3,2282.0,2
sc2.2,0.6,6.37,0.2,16,107,0.0,142.8,2123.8,3
sc2.0,0.35,5.0,0.16,10,176,0.0,137.4,3453.5,2
sc2.0,0.35,5.0,0.18,6,108,0.0,139.6,3491.0,1
sc2.0,0.35,5.0,0.2,12,85,0.0,140.7,3477.2,2
sc2.0,0.35,5.5,0.16,7,173,0.0,138.9,3200.5,1
sc2.0,0.35,5.5,0.18,12,113,0.0,140.6,3408.8,2
sc2.0,0.35,5.5,0.2,14,89,0.0,140.6,3408.8,2
sc2.0,0.35,6.0,0.16,13,177,0.0,139.8,3585.8,2
sc2.0,0.35,6.0,0.18,15,122,0.0,141.6,3261.9,2
sc2.0,0.35,6.0,0.2,15,98,0.0,141.6,3248.9,2
sc2.0,0.35,6.37,0.16,15,182,0.0,140.7,3333.3,2
sc2.0,0.35,6.37,0.18,18,126,0.0,142.3,3177.1,3
sc2.0,0.35,6.37,0.2,18,104,0.0,142.3,3100.6,3
sc2.0,0.45,5.0,0.16,0,171,5.0,135.2,2304.6,0
sc2.0,0.45,5.0,0.18,11,117,0.0,139.6,2305.2,2
sc2.0,0.45,5.0,0.2,17,103,0.0,141.8,2210.0,3
sc2.0,0.45,5.5,0.16,10,193,0.0,137.2,2055.2,2
sc2.0,0.45,5.5,0.18,19,122,0.0,140.6,2215.8,3
sc2.0,0.45,5.5,0.2,26,104,0.0,142.3,2106.3,4
sc2.0,0.45,6.0,0.16,7,194,0.0,139.2,1571.5,1
sc2.0,0.45,6.0,0.18,27,129,0.0,141.6,1983.0,4
sc2.0,0.45,6.0,0.2,29,107,0.0,142.8,1910.4,4
sc2.0,0.45,6.37,0.16,12,207,0.0,140.7,1434.3,3
sc2.0,0.45,6.37,0.18,31,137,0.0,142.3,1920.2,4
sc2.0,0.45,6.37,0.2,32,116,0.0,143.2,1904.8,4
sc2.0,0.5,5.0,0.16,0,181,5.0,137.4,1052.0,0
sc2.0,0.5,5.0,0.18,2,107,0.0,139.6,1848.4,1
sc2.0,0.5,5.0,0.2,5,89,0.0,140.7,1400.8,1
sc2.0,0.5,5.5,0.16,7,185,0.0,137.2,1109.4,1
sc2.0,0.5,5.5,0.18,6,114,0.0,140.6,1665.4,1
sc2.0,0.5,5.5,0.2,6,92,0.0,141.4,1350.2,1
sc2.0,0.5,6.0,0.16,6,207,0.0,139.2,1471.9,1
sc2.0,0.5,6.0,0.18,8,126,0.0,141.6,1317.2,2
sc2.0,0.5,6.0,0.2,8,108,0.0,141.6,1055.5,2
sc2.0,0.5,6.37,0.16,24,229,0.0,140.7,1489.3,4
sc2.0,0.5,6.37,0.18,16,136,0.0,142.3,1106.3,3
sc2.0,0.5,6.37,0.2,16,120,0.0,142.3,996.3,3
sc2.0,0.6,5.0,0.16,0,171,5.0,135.2,1952.0,0
sc2.0,0.6,5.0,0.18,3,121,0.0,139.6,1330.7,1
sc2.0,0.6,5.0,0.2,7,91,0.0,140.7,1021.5,1
sc2.0,0.6,5.5,0.16,1,186,4.87,137.2,1583.2,1
sc2.0,0.6,5.5,0.18,6,127,0.0,140.6,1302.2,1
sc2.0,0.6,5.5,0.2,8,94,0.0,141.4,1031.5,1
sc2.0,0.6,6.0,0.16,5,214,0.0,138.6,1146.0,1
sc2.0,0.6,6.0,0.18,14,144,0.0,141.6,1264.6,3
sc2.0,0.6,6.0,0.2,11,113,0.0,141.6,1020.8,2
sc2.0,0.6,6.37,0.16,17,226,0.0,139.8,1486.5,3
sc2.0,0.6,6.37,0.18,16,160,0.0,141.5,1168.3,4
sc2.0,0.6,6.37,0.2,17,138,0.0,142.3,897.6,3
