strat,run0_M,reserve0_M,tranche,reserve_mix,labor_total,n_fail,min_floor_M,term_median_M,fails
sc2.6,10,30,v2_allin,bond,62,6,0.0,9750.2,1987;1999;2010;2012;2013;2014
sc2.6,10,30,v2_allin,b70g20c10,72,7,0.0,9071.3,1987;1989;1999;2010;2012;2013;2014
sc2.6,10,30,v2_allin,b50c50,79,8,0.0,8744.5,1987;1989;1999;2010;2011;2012;2013;2014
sc2.6,10,30,v2_allin,g50b50,72,7,0.0,7754.2,1987;1989;1999;2010;2012;2013;2014
sc2.6,10,30,v2_allin,b60g20s20,74,8,0.0,9490.3,1987;1989;1999;2010;2011;2012;2013;2014
sc2.6,10,30,v2_allin,cash,83,8,0.0,7479.9,1987;1989;1999;2010;2011;2012;2013;2014
sc2.6,10,30,split2_half,bond,124,16,0.0,1565.8,1979;1987;1999;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015;2017
sc2.6,10,30,split2_half,b70g20c10,140,18,0.0,1719.3,1978;1983;1987;1989;1999;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015;2017
sc2.6,10,30,split2_half,b50c50,185,20,0.0,1413.3,1976;1979;1980;1983;1985;1987;1989;1999;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_half,g50b50,140,16,0.0,1383.1,1980;1983;1987;1989;1999;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_half,b60g20s20,138,17,0.0,1649.0,1980;1983;1987;1989;1999;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_half,cash,226,24,0.0,1473.7,1975;1976;1979;1980;1983;1986;1987;1989;1999;2001;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2017
sc2.6,10,30,split2_60,bond,139,17,0.0,2425.1,1976;1987;1988;1989;1999;2000;2001;2004;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_60,b70g20c10,135,16,0.0,1501.9,1987;1988;1989;1992;1999;2000;2001;2004;2006;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_60,b50c50,210,23,0.0,1830.2,1976;1983;1986;1987;1988;1989;1990;1992;1993;1999;2000;2001;2003;2004;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_60,g50b50,153,17,0.0,1834.7,1987;1988;1989;1991;1992;1999;2000;2003;2004;2006;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_60,b60g20s20,146,18,0.0,1374.0,1983;1987;1988;1989;1990;1992;1999;2000;2001;2004;2006;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split2_60,cash,222,22,0.0,1450.3,1976;1983;1985;1986;1987;1988;1989;1992;1999;2000;2001;2003;2004;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_even,bond,218,25,0.0,481.0,1977;1978;1979;1985;1986;1987;1988;1989;1990;1999;2000;2002;2003;2004;2005;2006;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split3_even,b70g20c10,220,26,0.0,399.8,1975;1981;1984;1985;1986;1987;1988;1990;1992;1998;1999;2000;2002;2003;2004;2005;2006;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split3_even,b50c50,265,30,0.0,357.8,1975;1977;1978;1979;1984;1985;1986;1987;1988;1990;1991;1992;1997;1999;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split3_even,g50b50,193,22,0.0,260.3,1981;1984;1985;1986;1987;1988;1989;1990;1991;1999;2000;2004;2005;2006;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_even,b60g20s20,210,25,0.0,931.7,1975;1984;1985;1986;1987;1988;1990;1992;1999;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split3_even,cash,321,31,0.0,135.2,1977;1978;1979;1981;1984;1985;1986;1987;1988;1989;1991;1992;1996;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2016
sc2.6,10,30,split3_front,bond,188,21,0.0,1161.1,1975;1976;1983;1987;1989;1991;1999;2000;2001;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_front,b70g20c10,187,22,0.0,971.4,1975;1980;1983;1987;1988;1990;1993;1999;2000;2001;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_front,b50c50,245,28,0.0,1413.3,1975;1976;1979;1983;1985;1986;1987;1988;1989;1990;1992;1993;1999;2000;2001;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_front,g50b50,207,26,0.0,1247.2,1975;1980;1983;1984;1986;1987;1988;1989;1990;1992;1993;1999;2000;2001;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_front,b60g20s20,184,21,0.0,977.2,1980;1983;1985;1987;1988;1993;1999;2000;2001;2003;2004;2005;2006;2007;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_front,cash,296,29,0.0,1473.7,1975;1976;1979;1980;1983;1984;1985;1986;1987;1988;1989;1990;1992;1999;2000;2001;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_back,bond,206,22,0.0,534.9,1975;1976;1977;1978;1979;1987;1988;1994;2000;2001;2002;2004;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_back,b70g20c10,227,27,0.0,615.8,1975;1979;1983;1987;1988;1989;1991;1994;1995;1997;1998;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_back,b50c50,326,34,0.0,18.5,1975;1976;1977;1978;1979;1984;1986;1987;1988;1989;1990;1991;1992;1993;1994;1997;1998;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2017
sc2.6,10,30,split3_back,g50b50,239,24,0.0,134.3,1975;1981;1983;1984;1987;1988;1989;1990;1991;1992;1994;1997;2000;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_back,b60g20s20,208,24,0.0,389.7,1975;1979;1987;1988;1989;1991;1994;1995;1998;2000;2001;2002;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split3_back,cash,380,35,0.0,156.5,1975;1977;1978;1979;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1994;1997;1998;1999;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split4,bond,275,29,0.0,290.7,1975;1977;1978;1979;1987;1988;1989;1990;1991;1992;1994;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split4,b70g20c10,302,35,0.0,155.9,1975;1976;1977;1978;1981;1983;1985;1986;1987;1988;1989;1990;1991;1992;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split4,b50c50,355,36,0.0,254.4,1975;1977;1978;1979;1981;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split4,g50b50,265,29,0.0,621.9,1975;1976;1983;1984;1985;1986;1987;1988;1989;1990;1992;1994;1997;1999;2000;2001;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
sc2.6,10,30,split4,b60g20s20,289,32,0.0,607.7,1975;1976;1978;1985;1986;1987;1988;1989;1990;1991;1992;1994;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,10,30,split4,cash,435,40,0.0,44.1,1975;1976;1977;1978;1979;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
sc2.6,12,28,v2_allin,bond,31,4,0.0,9363.7,2010;2012;2013;2014
sc2.6,12,28,v2_allin,b70g20c10,32,4,0.0,8545.9,2010;2012;2013;2014
sc2.6,12,28,v2_allin,b50c50,48,6,0.0,9197.7,1989;2010;2011;2012;2013;2014
sc2.6,12,28,v2_allin,g50b50,50,7,0.0,10519.1,1988;1989;2010;2011;2012;2013;2014
