g,mode,runfrac,top_wr,floor,binding_start,worst_real
0.0,survive,0.6,0.16,6.154,1975,6.15
0.0,deliver,0.45,0.16,5.705,1975,5.71
0.01,survive,0.45,0.16,6.193,1975,6.19
0.01,deliver,0.45,0.16,5.705,1975,5.71
0.02,survive,0.45,0.16,5.832,1975,5.83
0.02,deliver,0.45,0.16,5.705,1975,5.71
0.025,survive,0.45,0.16,5.793,1975,5.79
0.025,deliver,0.45,0.16,5.705,1975,5.71
0.03,survive,0.6,0.16,5.539,1975,5.54
0.03,deliver,0.6,0.16,5.539,1975,5.54
0.035,survive,0.45,0.16,5.695,1975,5.7
0.035,deliver,0.45,0.16,5.695,1975,5.7
