strat,runfrac,floor_real_M,top_wr,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin
sc2.6,0.45,4.0,0.16,0.0,0,118,4.0,134.4,6941.3,0
sc2.6,0.45,4.0,0.18,0.0,0,82,4.0,139.2,5402.6,0
sc2.6,0.45,4.0,0.2,0.0,0,72,4.0,140.8,5325.0,0
sc2.6,0.45,4.5,0.16,0.0,0,123,4.5,135.9,6155.6,0
sc2.6,0.45,4.5,0.18,0.0,7,87,0.0,139.9,5237.4,2
sc2.6,0.45,4.5,0.2,0.0,12,75,0.0,141.3,5234.9,2
sc2.6,0.45,5.0,0.16,0.0,0,136,5.0,137.4,4936.2,0
sc2.6,0.45,5.0,0.18,0.0,13,92,0.0,139.6,5234.9,2
sc2.6,0.45,5.0,0.2,0.0,14,80,0.0,141.8,5234.9,2
sc2.6,0.45,5.5,0.16,0.0,0,146,5.5,138.9,3952.8,0
sc2.6,0.45,5.5,0.18,0.0,14,95,0.0,140.6,5234.9,2
sc2.6,0.45,5.5,0.2,0.0,14,81,0.0,142.3,5234.9,2
sc2.6,0.45,6.0,0.16,0.0,7,165,0.0,140.4,3625.7,1
sc2.6,0.45,6.0,0.18,0.0,15,100,0.0,141.6,5101.2,2
sc2.6,0.45,6.0,0.2,0.0,16,84,0.0,142.8,5101.2,2
sc2.6,0.45,6.37,0.16,0.0,0,171,6.37,141.5,4741.1,0
sc2.6,0.45,6.37,0.18,0.0,16,107,0.0,142.3,4579.4,2
sc2.6,0.45,6.37,0.2,0.0,16,90,0.0,143.2,4579.4,2
sc2.6,0.5,4.0,0.16,0.0,0,124,4.0,134.4,4219.5,0
sc2.6,0.5,4.0,0.18,0.0,0,78,4.0,139.2,5249.6,0
sc2.6,0.5,4.0,0.2,0.0,0,63,4.0,140.8,4432.5,0
sc2.6,0.5,4.5,0.16,0.0,0,137,4.5,135.9,5073.8,0
sc2.6,0.5,4.5,0.18,0.0,3,88,0.0,139.9,4762.4,1
sc2.6,0.5,4.5,0.2,0.0,3,74,0.0,141.3,4241.2,1
sc2.6,0.5,5.0,0.16,0.0,0,139,5.0,137.4,6793.1,0
sc2.6,0.5,5.0,0.18,0.0,7,96,0.0,139.6,4332.2,1
sc2.6,0.5,5.0,0.2,0.0,7,77,0.0,141.8,4049.9,1
sc2.6,0.5,5.5,0.16,0.0,7,143,0.0,138.9,6721.9,1
sc2.6,0.5,5.5,0.18,0.0,6,95,0.0,141.4,3920.1,1
sc2.6,0.5,5.5,0.2,0.0,6,76,0.0,142.3,4031.1,1
sc2.6,0.5,6.0,0.16,0.0,0,144,6.0,140.4,5223.4,0
sc2.6,0.5,6.0,0.18,0.0,0,96,6.0,141.6,3667.3,0
sc2.6,0.5,6.0,0.2,0.0,0,76,6.0,142.8,3939.1,0
sc2.6,0.5,6.37,0.16,0.0,0,164,6.37,141.5,4074.7,0
sc2.6,0.5,6.37,0.18,0.0,3,103,0.0,142.3,3417.5,1
sc2.6,0.5,6.37,0.2,0.0,3,83,0.0,143.2,3468.5,1
sc2.6,0.6,4.0,0.16,0.0,0,115,4.0,137.6,5960.9,0
sc2.6,0.6,4.0,0.18,0.0,0,76,4.0,139.2,4770.8,0
sc2.6,0.6,4.0,0.2,0.0,0,70,4.0,139.2,4770.8,0
sc2.6,0.6,4.5,0.16,0.0,0,125,4.5,135.9,5244.2,0
sc2.6,0.6,4.5,0.18,0.0,0,84,4.5,139.9,4144.8,0
sc2.6,0.6,4.5,0.2,0.0,0,71,4.5,139.9,4144.8,0
sc2.6,0.6,5.0,0.16,0.0,0,133,5.0,137.4,5103.1,0
sc2.6,0.6,5.0,0.18,0.0,0,97,5.0,139.6,3953.4,0
sc2.6,0.6,5.0,0.2,0.0,0,72,5.0,141.8,3953.4,0
sc2.6,0.6,5.5,0.16,0.0,0,146,5.5,138.1,4029.0,0
sc2.6,0.6,5.5,0.18,0.0,0,97,5.5,140.6,5059.4,0
sc2.6,0.6,5.5,0.2,0.0,8,86,0.0,141.4,4546.0,1
sc2.6,0.6,6.0,0.16,0.0,0,175,6.0,139.2,3998.0,0
sc2.6,0.6,6.0,0.18,0.0,0,106,6.0,141.6,4770.8,0
sc2.6,0.6,6.0,0.2,0.0,11,90,0.0,142.2,4770.8,2
sc2.6,0.6,6.37,0.16,0.0,8,186,0.0,140.2,4054.8,2
sc2.6,0.6,6.37,0.18,0.0,20,127,0.0,142.3,4981.0,3
sc2.6,0.6,6.37,0.2,0.0,20,107,0.0,142.3,4770.8,3
sc2.6,0.45,4.0,0.16,0.01,0,123,4.0,134.4,6370.2,0
sc2.6,0.45,4.0,0.18,0.01,0,95,4.0,137.6,5342.1,0
sc2.6,0.45,4.0,0.2,0.01,0,82,4.0,140.8,5294.2,0
sc2.6,0.45,4.5,0.16,0.01,0,132,4.5,135.9,5625.0,0
sc2.6,0.45,4.5,0.18,0.01,12,95,0.0,138.6,5362.8,2
sc2.6,0.45,4.5,0.2,0.01,12,85,0.0,141.3,5294.2,2
sc2.6,0.45,5.0,0.16,0.01,0,145,5.0,137.4,4224.4,0
sc2.6,0.45,5.0,0.18,0.01,14,101,0.0,139.6,5294.2,2
