strat,runfrac,floor_real_M,top_wr,top_wr_late,g,labor_total,shortfall_years_total,worst_real_spend_M,median_total_real_M,median_terminal_nom_M,ruin,reserve_mix
sc2.6,0.45,5.0,0.16,,0.0,0,136,5.0,137.4,4936.2,0,bond100
sc2.6,0.45,5.0,0.16,0.24,0.0,0,132,5.0,137.4,4936.2,0,bond100
sc2.6,0.45,5.0,0.16,0.28,0.0,0,132,5.0,137.4,4936.2,0,bond100
sc2.6,0.45,5.0,0.18,,0.0,13,92,0.0,139.6,5235.0,2,bond100
sc2.6,0.45,5.0,0.18,0.24,0.0,13,91,0.0,139.6,5235.0,2,bond100
sc2.6,0.45,5.0,0.18,0.28,0.0,13,91,0.0,139.6,5235.0,2,bond100
sc2.6,0.45,5.0,0.2,,0.0,14,80,0.0,141.8,5235.0,2,bond100
sc2.6,0.45,5.0,0.2,0.24,0.0,14,80,0.0,141.8,5235.0,2,bond100
sc2.6,0.45,5.0,0.2,0.28,0.0,14,79,0.0,141.8,5235.0,2,bond100
sc2.6,0.45,5.5,0.16,,0.0,0,146,5.5,138.9,3952.8,0,bond100
sc2.6,0.45,5.5,0.16,0.24,0.0,0,140,5.5,138.9,3952.8,0,bond100
sc2.6,0.45,5.5,0.16,0.28,0.0,0,140,5.5,138.9,3952.8,0,bond100
sc2.6,0.45,5.5,0.18,,0.0,14,95,0.0,140.6,5235.0,2,bond100
sc2.6,0.45,5.5,0.18,0.24,0.0,14,94,0.0,140.6,5235.0,2,bond100
sc2.6,0.45,5.5,0.18,0.28,0.0,14,94,0.0,140.6,5235.0,2,bond100
sc2.6,0.45,5.5,0.2,,0.0,14,81,0.0,142.3,5235.0,2,bond100
sc2.6,0.45,5.5,0.2,0.24,0.0,14,80,0.0,142.3,5235.0,2,bond100
sc2.6,0.45,5.5,0.2,0.28,0.0,14,79,0.0,142.3,5235.0,2,bond100
sc2.6,0.45,6.0,0.16,,0.0,7,165,0.0,140.4,3625.7,1,bond100
sc2.6,0.45,6.0,0.16,0.24,0.0,7,160,0.0,140.4,3625.7,1,bond100
sc2.6,0.45,6.0,0.16,0.28,0.0,7,160,0.0,140.4,3625.7,1,bond100
sc2.6,0.45,6.0,0.18,,0.0,15,100,0.0,141.6,5101.2,2,bond100
sc2.6,0.45,6.0,0.18,0.24,0.0,15,99,0.0,141.6,5101.2,2,bond100
sc2.6,0.45,6.0,0.18,0.28,0.0,15,99,0.0,141.6,5101.2,2,bond100
sc2.6,0.45,6.0,0.2,,0.0,16,84,0.0,142.8,5101.2,2,bond100
sc2.6,0.45,6.0,0.2,0.24,0.0,16,83,0.0,142.8,5101.2,2,bond100
sc2.6,0.45,6.0,0.2,0.28,0.0,16,83,0.0,142.8,5101.2,2,bond100
sc2.6,0.45,6.37,0.16,,0.0,0,171,6.37,141.5,4741.1,0,bond100
sc2.6,0.45,6.37,0.16,0.24,0.0,0,166,6.37,141.5,4741.1,0,bond100
sc2.6,0.45,6.37,0.16,0.28,0.0,0,164,6.37,141.5,4741.1,0,bond100
sc2.6,0.45,6.37,0.18,,0.0,16,107,0.0,142.3,4579.5,2,bond100
sc2.6,0.45,6.37,0.18,0.24,0.0,16,106,0.0,142.3,4579.5,2,bond100
sc2.6,0.45,6.37,0.18,0.28,0.0,16,104,0.0,142.3,4579.5,2,bond100
sc2.6,0.45,6.37,0.2,,0.0,16,90,0.0,143.2,4579.5,2,bond100
sc2.6,0.45,6.37,0.2,0.24,0.0,16,90,0.0,143.2,4579.5,2,bond100
sc2.6,0.45,6.37,0.2,0.28,0.0,16,88,0.0,143.2,4579.5,2,bond100
sc2.6,0.45,6.6,0.16,,0.0,11,181,0.0,141.6,4043.2,2,bond100
sc2.6,0.45,6.6,0.16,0.24,0.0,11,175,0.0,141.6,4043.2,2,bond100
sc2.6,0.45,6.6,0.16,0.28,0.0,11,172,0.0,141.6,4043.2,2,bond100
sc2.6,0.45,6.6,0.18,,0.0,20,107,0.0,142.8,4508.3,3,bond100
sc2.6,0.45,6.6,0.18,0.24,0.0,20,106,0.0,142.8,4508.3,3,bond100
sc2.6,0.45,6.6,0.18,0.28,0.0,20,106,0.0,142.8,4508.3,3,bond100
sc2.6,0.45,6.6,0.2,,0.0,20,90,0.0,143.4,4508.3,3,bond100
sc2.6,0.45,6.6,0.2,0.24,0.0,20,90,0.0,143.4,4508.3,3,bond100
sc2.6,0.45,6.6,0.2,0.28,0.0,20,90,0.0,143.4,4508.3,3,bond100
sc2.6,0.5,5.0,0.16,,0.0,0,139,5.0,137.4,6793.2,0,bond100
sc2.6,0.5,5.0,0.16,0.24,0.0,0,137,5.0,137.4,6793.2,0,bond100
sc2.6,0.5,5.0,0.16,0.28,0.0,0,136,5.0,137.4,6793.2,0,bond100
sc2.6,0.5,5.0,0.18,,0.0,7,96,0.0,139.6,4332.2,1,bond100
sc2.6,0.5,5.0,0.18,0.24,0.0,7,95,0.0,139.6,4332.2,1,bond100
sc2.6,0.5,5.0,0.18,0.28,0.0,7,95,0.0,139.6,4332.2,1,bond100
sc2.6,0.5,5.0,0.2,,0.0,7,77,0.0,141.8,4049.9,1,bond100
sc2.6,0.5,5.0,0.2,0.24,0.0,7,76,0.0,141.8,4049.9,1,bond100
sc2.6,0.5,5.0,0.2,0.28,0.0,7,76,0.0,141.8,4049.9,1,bond100
sc2.6,0.5,5.5,0.16,,0.0,7,143,0.0,138.9,6721.9,1,bond100
sc2.6,0.5,5.5,0.16,0.24,0.0,7,143,0.0,138.9,6721.9,1,bond100
sc2.6,0.5,5.5,0.16,0.28,0.0,7,143,0.0,138.9,6721.9,1,bond100
sc2.6,0.5,5.5,0.18,,0.0,6,95,0.0,141.4,3920.2,1,bond100
sc2.6,0.5,5.5,0.18,0.24,0.0,6,93,0.0,141.4,3920.2,1,bond100
sc2.6,0.5,5.5,0.18,0.28,0.0,6,93,0.0,141.4,3920.2,1,bond100
sc2.6,0.5,5.5,0.2,,0.0,6,76,0.0,142.3,4031.1,1,bond100
sc2.6,0.5,5.5,0.2,0.24,0.0,6,75,0.0,142.3,4031.1,1,bond100
sc2.6,0.5,5.5,0.2,0.28,0.0,6,75,0.0,142.3,4031.1,1,bond100
sc2.6,0.5,6.0,0.16,,0.0,0,144,6.0,140.4,5223.4,0,bond100
sc2.6,0.5,6.0,0.16,0.24,0.0,0,140,6.0,140.4,5223.4,0,bond100
sc2.6,0.5,6.0,0.16,0.28,0.0,0,140,6.0,140.4,5223.4,0,bond100
sc2.6,0.5,6.0,0.18,,0.0,0,96,6.0,141.6,3667.3,0,bond100
sc2.6,0.5,6.0,0.18,0.24,0.0,0,90,6.0,141.6,3667.3,0,bond100
sc2.6,0.5,6.0,0.18,0.28,0.0,0,88,6.0,141.6,3667.3,0,bond100
sc2.6,0.5,6.0,0.2,,0.0,0,76,6.0,142.8,3939.1,0,bond100
sc2.6,0.5,6.0,0.2,0.24,0.0,0,72,6.0,142.8,3939.1,0,bond100
sc2.6,0.5,6.0,0.2,0.28,0.0,0,71,6.0,142.8,3939.1,0,bond100
sc2.6,0.5,6.37,0.16,,0.0,0,164,6.37,141.5,4074.7,0,bond100
sc2.6,0.5,6.37,0.16,0.24,0.0,0,156,6.37,141.5,4074.7,0,bond100
sc2.6,0.5,6.37,0.16,0.28,0.0,0,155,6.37,141.5,4074.7,0,bond100
