label,p_mean,p_min,p_max,wilson_lo,wilson_hi,cut_mean,term_real_med_M,world,rule,top_wr
A-noH annual lagged noHOLD thr20,0.8785000000000001,0.8625,0.89,0.8719507654177862,0.8847585371365444,0.0,7309.4,nominal,,
M-noH thr8M,0.8473999999999998,0.834,0.856,0.8402184953965152,0.8543146927339326,0.0,5402.3,nominal,,
M-noH thr10M,0.8621000000000001,0.8475,0.875,0.8552028341730755,0.8687190639905258,0.0,7624.0,nominal,,
M-noH thr12M,0.8519,0.8335,0.8655,0.8448029891622557,0.858726742855892,0.0,10756.4,nominal,,
M-noH thr14M,0.8355,0.8165,0.8475,0.8281051347947739,0.8426371928326448,0.0,12397.8,nominal,,
M-noH thr16M,0.834,0.8115,0.848,0.8265792317492973,0.8411642479155546,0.0,12941.6,nominal,,
M-noH thr18M,0.8413999999999999,0.8195,0.857,0.8341091403113504,0.8484286559688307,0.0,13059.2,nominal,,
M-dd20%,0.8296000000000001,0.8095,0.845,0.8221044744352417,0.8368423845394146,0.0,13369.0,nominal,,
M-dd30%,0.8384,0.8215,0.8495,0.8310558290503298,0.8454842713047177,0.0,13456.0,nominal,,
M-dd40%,0.8618,0.846,0.875,0.8548967844950394,0.8684253440760487,0.0,12285.6,nominal,,
M-dd50%,0.8696999999999999,0.858,0.8845,0.8629597593922874,0.8761563017816519,0.0,11206.8,nominal,,
F A-noH top0.12,0.9968,0.996,0.9975,0.9954861448401436,0.9977323003619475,3.558,12447.8,floor3.6,A-noH,0.12
F A-noH top0.14,0.9967,0.996,0.9975,0.9953693308965443,0.9976491911080423,3.0505,11690.8,floor3.6,A-noH,0.14
F A-noH top0.16,0.9959,0.9945,0.997,0.9944429742856884,0.9969761621388626,2.5351,11297.6,floor3.6,A-noH,0.16
F A-lag top0.12,0.9955,0.9945,0.9965,0.9939843970706107,0.9966350465639228,4.2481,9052.0,floor3.6,A-lag,0.12
F A-lag top0.14,0.9953000000000001,0.9945,0.9965,0.9937560806377167,0.9964635166018075,3.6214,8047.2,floor3.6,A-lag,0.14
F A-lag top0.16,0.9922000000000001,0.9915,0.993,0.9902767286560065,0.9937452494608799,3.1532,7605.6,floor3.6,A-lag,0.16
F M-dd30 top0.12,0.9964000000000001,0.9945,0.997,0.9950203406518698,0.9973984117602033,3.2583,21041.2,floor3.6,M-dd30,0.12
F M-dd30 top0.14,0.9962,0.9945,0.997,0.9947887931741428,0.9972301128429215,2.7671,20092.3,floor3.6,M-dd30,0.14
F M-dd30 top0.16,0.9951000000000001,0.9925,0.9965,0.9935283587352335,0.996291392109282,2.4696,19163.7,floor3.6,M-dd30,0.16
F M-dd40 top0.12,0.9965000000000002,0.9945,0.999,0.99513643900608,0.9974822366034979,3.2076,19638.9,floor3.6,M-dd40,0.12
F M-dd40 top0.14,0.9965000000000002,0.9945,0.999,0.99513643900608,0.9974822366034979,2.8104,19258.4,floor3.6,M-dd40,0.14
F M-dd40 top0.16,0.9944000000000001,0.9905,0.9965,0.9927355349752178,0.9956847534867665,2.5067,18553.6,floor3.6,M-dd40,0.16
F M-noH12 top0.12,0.9983000000000001,0.997,1.0,0.9972789915054465,0.9989383016592113,3.4095,11259.3,floor3.6,M-noH12,0.12
F M-noH12 top0.14,0.9981,0.9965,1.0,0.9970341811238531,0.9987832656457957,2.9573,10983.4,floor3.6,M-noH12,0.14
F M-noH12 top0.16,0.9961,0.9945,0.997,0.9946733274415094,0.9971456553780504,2.5465,11483.7,floor3.6,M-noH12,0.16
maxfloor M-noH12 top0.12 fl2.40,1.0,1.0,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.12 fl2.80,0.9998000000000001,0.9995,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.12 fl3.20,0.9997,0.999,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.12 fl3.60,0.9983000000000001,0.997,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.12 fl4.00,0.9945,0.992,0.9965,,,,,floorsearch,,
maxfloor M-noH12 top0.12 fl4.43,0.9855,0.9825,0.989,,,,,floorsearch,,
maxfloor M-noH12 top0.14 fl2.40,1.0,1.0,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.14 fl2.80,0.9998000000000001,0.9995,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.14 fl3.20,0.9996,0.999,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.14 fl3.60,0.9981,0.9965,1.0,,,,,floorsearch,,
maxfloor M-noH12 top0.14 fl4.00,0.9945,0.992,0.9965,,,,,floorsearch,,
maxfloor M-noH12 top0.14 fl4.43,0.9852000000000001,0.9825,0.989,,,,,floorsearch,,
maxfloor A-noH top0.12 fl2.40,0.9998000000000001,0.9995,1.0,,,,,floorsearch,,
maxfloor A-noH top0.12 fl2.80,0.9997,0.999,1.0,,,,,floorsearch,,
maxfloor A-noH top0.12 fl3.20,0.9989000000000001,0.998,1.0,,,,,floorsearch,,
maxfloor A-noH top0.12 fl3.60,0.9968,0.996,0.9975,,,,,floorsearch,,
maxfloor A-noH top0.12 fl4.00,0.9923,0.99,0.994,,,,,floorsearch,,
maxfloor A-noH top0.12 fl4.43,0.9856,0.982,0.9895,,,,,floorsearch,,
