seed,convention,config,p_labor0,p_ruin0,labor_mean,cut_mean,term_real_med_M
20260629,lookahead,N_20_20_thr20,0.8745,0.8745,1.4925,0.0,7201.3
20260629,lookahead,N_20_20_thr26,0.8965,0.8965,1.263,0.0,15318.4
20260629,lookahead,N_10_30_thr14,0.917,0.917,0.991,0.0,15912.0
20260629,lookahead,N_10_30_thr26,0.917,0.917,0.991,0.0,15912.0
20260629,lookahead,N_20_20_thr20_noHOLD,0.869,0.869,1.633,0.0,7110.1
20260629,lookahead,F_20_20_thr20,0.9995,0.9995,0.004,2.4445,11766.8
20260629,lookahead,F_20_20_thr26,0.9945,0.9945,0.0445,2.262,22068.1
20260629,lookahead,F_10_30_thr14,0.9945,0.9945,0.0445,2.194,22874.4
20260629,lagged,N_20_20_thr20,0.773,0.773,2.9625,0.0,4544.9
20260629,lagged,N_20_20_thr26,0.8285,0.8285,2.2685,0.0,13797.9
20260629,lagged,N_10_30_thr14,0.8285,0.8285,2.2685,0.0,13797.9
20260629,lagged,N_10_30_thr26,0.8285,0.8285,2.2685,0.0,13797.9
20260629,lagged,N_20_20_thr20_noHOLD,0.869,0.869,1.633,0.0,7110.1
20260629,lagged,F_20_20_thr20,0.9915,0.9915,0.062,3.205,7567.8
20260629,lagged,F_20_20_thr26,0.993,0.993,0.0515,2.4675,20823.6
20260629,lagged,F_10_30_thr14,0.993,0.993,0.0515,2.4675,20823.6
20260629,yearend,N_20_20_thr20,0.773,0.773,2.9625,0.0,4544.9
20260629,yearend,N_20_20_thr26,0.784,0.784,2.8775,0.0,5980.9
20260629,yearend,N_10_30_thr14,0.7265,0.7265,3.565,0.0,4434.3
20260629,yearend,N_10_30_thr26,0.7265,0.7265,3.565,0.0,4434.3
20260629,yearend,N_20_20_thr20_noHOLD,0.869,0.869,1.633,0.0,7110.1
20260629,yearend,F_20_20_thr20,0.9915,0.9915,0.062,3.205,7567.8
20260629,yearend,F_20_20_thr26,0.993,0.993,0.0545,3.0135,9875.5
20260629,yearend,F_10_30_thr14,0.9915,0.9915,0.066,3.7915,10313.2
20260630,lookahead,N_20_20_thr20,0.8965,0.8965,1.2485,0.0,7412.9
20260630,lookahead,N_20_20_thr26,0.9105,0.9105,1.1,0.0,14812.5
20260630,lookahead,N_10_30_thr14,0.931,0.931,0.816,0.0,15656.2
20260630,lookahead,N_10_30_thr26,0.931,0.931,0.816,0.0,15656.2
20260630,lookahead,N_20_20_thr20_noHOLD,0.89,0.89,1.3765,0.0,7412.9
20260630,lookahead,F_20_20_thr20,0.9995,0.9995,0.0005,2.3555,10935.7
20260630,lookahead,F_20_20_thr26,0.997,0.997,0.023,2.143,21335.5
20260630,lookahead,F_10_30_thr14,0.997,0.997,0.023,2.0745,21951.8
20260630,lagged,N_20_20_thr20,0.8,0.8,2.65,0.0,4970.7
20260630,lagged,N_20_20_thr26,0.84,0.84,2.146,0.0,13518.4
20260630,lagged,N_10_30_thr14,0.84,0.84,2.146,0.0,13518.4
20260630,lagged,N_10_30_thr26,0.84,0.84,2.146,0.0,13518.4
20260630,lagged,N_20_20_thr20_noHOLD,0.89,0.89,1.3765,0.0,7412.9
20260630,lagged,F_20_20_thr20,0.993,0.993,0.0465,3.0645,7400.2
20260630,lagged,F_20_20_thr26,0.9955,0.9955,0.0275,2.3525,20439.8
20260630,lagged,F_10_30_thr14,0.9955,0.9955,0.0275,2.3525,20439.8
20260630,yearend,N_20_20_thr20,0.8,0.8,2.65,0.0,4970.7
20260630,yearend,N_20_20_thr26,0.8055,0.8055,2.602,0.0,6321.8
20260630,yearend,N_10_30_thr14,0.736,0.736,3.3815,0.0,4307.5
20260630,yearend,N_10_30_thr26,0.736,0.736,3.3815,0.0,4307.5
20260630,yearend,N_20_20_thr20_noHOLD,0.89,0.89,1.3765,0.0,7412.9
20260630,yearend,F_20_20_thr20,0.993,0.993,0.0465,3.0645,7400.2
20260630,yearend,F_20_20_thr26,0.992,0.992,0.0595,2.8685,9989.8
20260630,yearend,F_10_30_thr14,0.9925,0.9925,0.0625,3.6255,9781.8
20260631,lookahead,N_20_20_thr20,0.8935,0.8935,1.3065,0.0,7378.5
20260631,lookahead,N_20_20_thr26,0.909,0.909,1.1125,0.0,16368.6
20260631,lookahead,N_10_30_thr14,0.928,0.928,0.864,0.0,17134.1
20260631,lookahead,N_10_30_thr26,0.928,0.928,0.864,0.0,17134.1
20260631,lookahead,N_20_20_thr20_noHOLD,0.888,0.888,1.42,0.0,7208.8
20260631,lookahead,F_20_20_thr20,0.999,0.999,0.0045,2.367,10982.9
20260631,lookahead,F_20_20_thr26,0.997,0.997,0.0255,2.154,23199.4
20260631,lookahead,F_10_30_thr14,0.997,0.997,0.0255,2.095,23828.3
20260631,lagged,N_20_20_thr20,0.7865,0.7865,2.843,0.0,4520.0
20260631,lagged,N_20_20_thr26,0.8385,0.8385,2.1055,0.0,15177.6
20260631,lagged,N_10_30_thr14,0.8385,0.8385,2.1055,0.0,15177.6
20260631,lagged,N_10_30_thr26,0.8385,0.8385,2.1055,0.0,15177.6
20260631,lagged,N_20_20_thr20_noHOLD,0.888,0.888,1.42,0.0,7208.8
20260631,lagged,F_20_20_thr20,0.993,0.993,0.0445,3.1505,7389.2
20260631,lagged,F_20_20_thr26,0.996,0.996,0.0295,2.366,22399.6
20260631,lagged,F_10_30_thr14,0.996,0.996,0.0295,2.366,22399.6
20260631,yearend,N_20_20_thr20,0.7865,0.7865,2.843,0.0,4520.0
20260631,yearend,N_20_20_thr26,0.79,0.79,2.7965,0.0,6287.3
20260631,yearend,N_10_30_thr14,0.7325,0.7325,3.5165,0.0,4346.4
20260631,yearend,N_10_30_thr26,0.7325,0.7325,3.5165,0.0,4346.4
20260631,yearend,N_20_20_thr20_noHOLD,0.888,0.888,1.42,0.0,7208.8
20260631,yearend,F_20_20_thr20,0.993,0.993,0.0445,3.1505,7389.2
20260631,yearend,F_20_20_thr26,0.9915,0.9915,0.0555,2.939,9180.9
