scheme,config,mean_p,lo,hi
S-BLOCK_b3,NC1,0.8754,0.864,0.8905
S-BLOCK_b3,NC2,0.8935000000000001,0.878,0.909
S-BLOCK_b3,NC3,0.9067999999999999,0.899,0.9195
S-BLOCK_b3,FA1,0.9948,0.9935,0.996
S-BLOCK_b3,FA2,0.9892000000000001,0.985,0.992
S-BLOCK_b3,SA49,0.9496,0.942,0.9555
S-BLOCK_b3,SA60,0.9803000000000001,0.976,0.9845
S-BLOCK_b4,NC1,0.8974,0.89,0.9065
S-BLOCK_b4,NC2,0.9194000000000001,0.914,0.9265
S-BLOCK_b4,NC3,0.9319,0.9265,0.939
S-BLOCK_b4,FA1,0.9982,0.997,0.999
S-BLOCK_b4,FA2,0.9939,0.993,0.9945
S-BLOCK_b4,SA49,0.9616,0.9575,0.965
S-BLOCK_b4,SA60,0.9798,0.978,0.983
S-BLOCK_b5,NC1,0.8846999999999999,0.87,0.8965
S-BLOCK_b5,NC2,0.9043000000000001,0.893,0.9125
S-BLOCK_b5,NC3,0.9247000000000002,0.916,0.9315
S-BLOCK_b5,FA1,0.9991,0.9985,0.9995
S-BLOCK_b5,FA2,0.9955999999999999,0.9935,0.997
S-BLOCK_b5,SA49,0.9593,0.951,0.9645
S-BLOCK_b5,SA60,0.9826,0.98,0.986
S-BLOCK_b6,NC1,0.8849,0.8745,0.8915
S-BLOCK_b6,NC2,0.9088,0.9025,0.915
S-BLOCK_b6,NC3,0.9359999999999999,0.9245,0.9445
S-BLOCK_b6,FA1,0.9996,0.999,1.0
S-BLOCK_b6,FA2,0.9962,0.9955,0.9975
S-BLOCK_b6,SA49,0.9679,0.959,0.9725
S-BLOCK_b6,SA60,0.9792,0.973,0.985
S-BLOCK_b8,NC1,0.8762000000000001,0.8695,0.8865
S-BLOCK_b8,NC2,0.8955,0.8895,0.906
S-BLOCK_b8,NC3,0.9362999999999999,0.93,0.943
S-BLOCK_b8,FA1,1.0,1.0,1.0
S-BLOCK_b8,FA2,1.0,1.0,1.0
S-BLOCK_b8,SA49,0.9749000000000001,0.971,0.977
S-BLOCK_b8,SA60,0.9811,0.979,0.984
S-BLOCK_b10,NC1,0.8705999999999999,0.8635,0.8815
S-BLOCK_b10,NC2,0.9015000000000001,0.893,0.908
S-BLOCK_b10,NC3,0.9591000000000001,0.9495,0.9635
S-BLOCK_b10,FA1,1.0,1.0,1.0
S-BLOCK_b10,FA2,1.0,1.0,1.0
S-BLOCK_b10,SA49,0.9808,0.9755,0.986
S-BLOCK_b10,SA60,0.9808,0.9755,0.986
S-STAT_mb5,NC1,0.8869999999999999,0.8835,0.89
S-STAT_mb5,NC2,0.9020000000000001,0.896,0.909
S-STAT_mb5,NC3,0.9243,0.9195,0.9305
S-STAT_mb5,FA1,0.9976,0.994,0.999
S-STAT_mb5,FA2,0.9958,0.993,0.9975
S-STAT_mb5,SA49,0.9625,0.9575,0.9665
S-STAT_mb5,SA60,0.9831,0.9805,0.986
S-HIST75,NC1,0.9792,0.977,0.9825
S-HIST75,NC2,0.984,0.9805,0.987
S-HIST75,NC3,0.9954000000000001,0.994,0.997
S-HIST75,FA1,1.0,1.0,1.0
S-HIST75,FA2,1.0,1.0,1.0
S-HIST75,SA49,0.9999,0.9995,1.0
S-HIST75,SA60,1.0,1.0,1.0
S-HIST00,NC1,0.7083999999999999,0.6875,0.7245
S-HIST00,NC2,0.7794,0.7605,0.792
S-HIST00,NC3,0.8076000000000001,0.7905,0.8195
S-HIST00,FA1,0.9921,0.991,0.994
S-HIST00,FA2,0.9793000000000001,0.9735,0.983
S-HIST00,SA49,0.8629,0.849,0.87
S-HIST00,SA60,0.9419000000000001,0.933,0.947
S-NOWRAP_b5,NC1,0.8841000000000001,0.881,0.889
S-NOWRAP_b5,NC2,0.9009,0.896,0.905
S-NOWRAP_b5,NC3,0.9197,0.9145,0.9245
S-NOWRAP_b5,FA1,0.9994,0.999,1.0
S-NOWRAP_b5,FA2,0.9945,0.991,0.996
S-NOWRAP_b5,SA49,0.9558,0.9525,0.9595
S-NOWRAP_b5,SA60,0.9842000000000001,0.981,0.9885
S-HZ15,NC1,0.8916999999999999,0.8855,0.8975
S-HZ15,NC2,0.9083,0.8995,0.9145
S-HZ15,NC3,0.9268000000000001,0.9195,0.935
S-HZ15,FA1,0.9996,0.9995,1.0
S-HZ15,FA2,0.9959999999999999,0.995,0.997
S-HZ15,SA49,0.9622999999999999,0.956,0.966
S-HZ15,SA60,0.9844000000000002,0.981,0.988
S-HZ25,NC1,0.8930999999999999,0.8835,0.904
S-HZ25,NC2,0.9105000000000001,0.904,0.918
S-HZ25,NC3,0.9270999999999999,0.9205,0.933
S-HZ25,FA1,0.9984000000000002,0.9975,0.9995
S-HZ25,FA2,0.9955,0.995,0.996
S-HZ25,SA49,0.9599,0.952,0.968
S-HZ25,SA60,0.9832000000000001,0.9795,0.988
S-HZ30,NC1,0.8920999999999999,0.879,0.9015
S-HZ30,NC2,0.9115,0.9035,0.9185
S-HZ30,NC3,0.9294,0.9235,0.9405
S-HZ30,FA1,0.9987999999999999,0.998,1.0
S-HZ30,FA2,0.9959,0.9935,0.9985
S-HZ30,SA49,0.9612,0.9575,0.9685
S-HZ30,SA60,0.9832000000000001,0.9785,0.991
