scheme,a,b,a_only,b_only,n_pooled,mcnemar_p
S-BLOCK_b3,NC2,NC1,270,89,10000,2.542584868369967e-22
S-BLOCK_b3,NC3,NC1,403,89,10000,9.6423487629902e-49
S-BLOCK_b3,FA1,FA2,61,5,10000,2.6307135723296904e-13
S-BLOCK_b3,FA1,SA49,454,2,10000,1.1199720588482687e-132
S-BLOCK_b3,FA1,SA60,147,2,10000,3.132182327458831e-41
S-BLOCK_b4,NC2,NC1,303,83,10000,1.572523465243348e-30
S-BLOCK_b4,NC3,NC1,428,83,10000,5.114502603084269e-57
S-BLOCK_b4,FA1,FA2,44,1,10000,2.6147972675971687e-12
S-BLOCK_b4,FA1,SA49,366,0,10000,1.3306124500025471e-110
S-BLOCK_b4,FA1,SA60,184,0,10000,8.156630584998156e-56
S-BLOCK_b5,NC2,NC1,210,14,10000,4.818808185813966e-46
S-BLOCK_b5,NC3,NC1,414,14,10000,1.912213876084295e-103
S-BLOCK_b5,FA1,FA2,38,3,10000,1.0479197953827679e-08
S-BLOCK_b5,FA1,SA49,398,0,10000,3.0980735318794546e-120
S-BLOCK_b5,FA1,SA60,165,0,10000,4.276423536147513e-50
S-BLOCK_b6,NC2,NC1,244,5,10000,1.7288044269563762e-65
S-BLOCK_b6,NC3,NC1,516,5,10000,9.231281705103353e-146
S-BLOCK_b6,FA1,FA2,34,0,10000,1.1641532182693481e-10
S-BLOCK_b6,FA1,SA49,317,0,10000,7.490682167507517e-96
S-BLOCK_b6,FA1,SA60,204,0,10000,7.778769097326427e-62
S-BLOCK_b8,NC2,NC1,213,20,10000,6.30868129199234e-42
S-BLOCK_b8,NC3,NC1,621,20,10000,9.46133485810639e-156
S-BLOCK_b8,FA1,FA2,0,0,10000,1.0
S-BLOCK_b8,FA1,SA49,251,0,10000,5.527147875260445e-76
S-BLOCK_b8,FA1,SA60,189,0,10000,2.5489470578119236e-57
S-BLOCK_b10,NC2,NC1,309,0,10000,1.9176146348819244e-93
S-BLOCK_b10,NC3,NC1,885,0,10000,7.753250807262575e-267
S-BLOCK_b10,FA1,FA2,0,0,10000,1.0
S-BLOCK_b10,FA1,SA49,192,0,10000,3.1861838222649046e-58
S-BLOCK_b10,FA1,SA60,192,0,10000,3.1861838222649046e-58
S-STAT_mb5,NC2,NC1,234,84,10000,1.6004744218133065e-17
S-STAT_mb5,NC3,NC1,457,84,10000,4.4158647976817863e-63
S-STAT_mb5,FA1,FA2,21,3,10000,0.0002771615982055664
S-STAT_mb5,FA1,SA49,351,0,10000,4.3601508761683463e-106
S-STAT_mb5,FA1,SA60,145,0,10000,4.484155085839415e-44
S-HIST75,NC2,NC1,52,4,10000,1.1008055578187737e-11
S-HIST75,NC3,NC1,166,4,10000,4.59773609313008e-44
S-HIST75,FA1,FA2,0,0,10000,1.0
S-HIST75,FA1,SA49,1,0,10000,1.0
S-HIST75,FA1,SA60,0,0,10000,1.0
S-HIST00,NC2,NC1,714,4,10000,1.6016865598107138e-206
S-HIST00,NC3,NC1,996,4,10000,7.761728085450875e-291
S-HIST00,FA1,FA2,161,33,10000,2.0125586974793164e-21
S-HIST00,FA1,SA49,1292,0,10000,0.0
S-HIST00,FA1,SA60,502,0,10000,1.5274681817498023e-151
S-NOWRAP_b5,NC2,NC1,190,22,10000,1.4927838981576976e-34
S-NOWRAP_b5,NC3,NC1,378,22,10000,7.145851136856785e-85
S-NOWRAP_b5,FA1,FA2,51,2,10000,3.1796787425264483e-13
S-NOWRAP_b5,FA1,SA49,436,0,10000,1.1270725851789228e-131
S-NOWRAP_b5,FA1,SA60,152,0,10000,3.503246160812043e-46
S-HZ15,NC2,NC1,185,19,10000,2.289252633155215e-35
S-HZ15,NC3,NC1,370,19,10000,1.4225251790699854e-85
S-HZ15,FA1,FA2,38,2,10000,1.4933903003111482e-09
S-HZ15,FA1,SA49,373,0,10000,1.03954097656449e-112
S-HZ15,FA1,SA60,152,0,10000,3.503246160812043e-46
S-HZ25,NC2,NC1,191,17,10000,1.9544389500769744e-38
S-HZ25,NC3,NC1,357,17,10000,5.811962922267985e-84
S-HZ25,FA1,FA2,34,5,10000,2.4299079086631536e-06
S-HZ25,FA1,SA49,385,0,10000,2.5379418373156492e-116
S-HZ25,FA1,SA60,152,0,10000,3.503246160812043e-46
S-HZ30,NC2,NC1,209,15,10000,6.782971173525782e-45
S-HZ30,NC3,NC1,388,15,10000,7.10415122809298e-95
S-HZ30,FA1,FA2,33,4,10000,1.0843941709026694e-06
S-HZ30,FA1,SA49,376,0,10000,1.2994262207056124e-113
S-HZ30,FA1,SA60,156,0,10000,2.1895288505075267e-47
