world,rule,seed,p_labor0,cut_mean,term_real_med_M
nominal,A-look,20260629,0.8745,0.0,7201.3
nominal,A-lag,20260629,0.773,0.0,4544.9
nominal,A-noH,20260629,0.869,0.0,7110.1
nominal,M-noH,20260629,0.84,0.0,11964.2
nominal,M-h1,20260629,0.835,0.0,12028.3
nominal,M-h3,20260629,0.84,0.0,11951.4
nominal,M-h12,20260629,0.84,0.0,11964.2
nominal,M-dd30,20260629,0.8335,0.0,12340.0
nominal,A-look,20260630,0.8965,0.0,7412.9
nominal,A-lag,20260630,0.8,0.0,4970.7
nominal,A-noH,20260630,0.89,0.0,7412.9
nominal,M-noH,20260630,0.858,0.0,12084.8
nominal,M-h1,20260630,0.853,0.0,12034.7
nominal,M-h3,20260630,0.858,0.0,12070.6
nominal,M-h12,20260630,0.858,0.0,12084.8
nominal,M-dd30,20260630,0.8495,0.0,12726.5
nominal,A-look,20260631,0.8935,0.0,7378.5
nominal,A-lag,20260631,0.7865,0.0,4520.0
nominal,A-noH,20260631,0.888,0.0,7208.8
nominal,M-noH,20260631,0.843,0.0,14056.4
nominal,M-h1,20260631,0.8405,0.0,14012.6
nominal,M-h3,20260631,0.843,0.0,14006.9
nominal,M-h12,20260631,0.843,0.0,14056.4
nominal,M-dd30,20260631,0.8395,0.0,14557.6
nominal,A-look,20260632,0.889,0.0,8371.6
nominal,A-lag,20260632,0.7915,0.0,5196.7
nominal,A-noH,20260632,0.883,0.0,8318.1
nominal,M-noH,20260632,0.8535,0.0,14796.4
nominal,M-h1,20260632,0.848,0.0,14767.1
nominal,M-h3,20260632,0.8535,0.0,14571.7
nominal,M-h12,20260632,0.8535,0.0,14796.4
nominal,M-dd30,20260632,0.848,0.0,15143.1
nominal,A-look,20260633,0.87,0.0,7018.4
nominal,A-lag,20260633,0.7655,0.0,4307.6
nominal,A-noH,20260633,0.8625,0.0,6747.1
nominal,M-noH,20260633,0.8225,0.0,12409.1
nominal,M-h1,20260633,0.8155,0.0,12484.6
nominal,M-h3,20260633,0.8225,0.0,12276.4
nominal,M-h12,20260633,0.8225,0.0,12391.7
nominal,M-dd30,20260633,0.8215,0.0,12979.5
floor3.6,A-look,20260629,0.9995,2.4445,11766.8
floor3.6,A-lag,20260629,0.9915,3.205,7567.8
floor3.6,A-noH,20260629,0.996,2.5805,11108.4
floor3.6,M-noH,20260629,0.993,2.602,19744.0
floor3.6,M-h1,20260629,0.992,2.6395,19781.7
floor3.6,M-h3,20260629,0.993,2.628,18974.6
floor3.6,M-h12,20260629,0.993,2.6125,18919.2
floor3.6,M-dd30,20260629,0.9965,2.5305,18528.4
floor3.6,A-look,20260630,0.9995,2.3555,10935.7
floor3.6,A-lag,20260630,0.993,3.0645,7400.2
floor3.6,A-noH,20260630,0.996,2.459,10746.1
floor3.6,M-noH,20260630,0.9935,2.445,19746.8
floor3.6,M-h1,20260630,0.9925,2.4725,20053.0
floor3.6,M-h3,20260630,0.9935,2.4605,18758.7
floor3.6,M-h12,20260630,0.9935,2.4475,18716.4
floor3.6,M-dd30,20260630,0.995,2.379,18175.8
floor3.6,A-look,20260631,0.999,2.367,10982.9
floor3.6,A-lag,20260631,0.993,3.1505,7389.2
floor3.6,A-noH,20260631,0.997,2.489,10563.9
floor3.6,M-noH,20260631,0.9955,2.5105,21767.2
floor3.6,M-h1,20260631,0.9955,2.534,21890.0
floor3.6,M-h3,20260631,0.9955,2.5335,20251.1
floor3.6,M-h12,20260631,0.9955,2.522,20161.8
floor3.6,M-dd30,20260631,0.9965,2.425,18732.3
floor3.6,A-look,20260632,0.9985,2.3885,12911.3
floor3.6,A-lag,20260632,0.992,3.0855,8168.3
floor3.6,A-noH,20260632,0.996,2.498,12790.5
floor3.6,M-noH,20260632,0.993,2.48,22662.2
floor3.6,M-h1,20260632,0.9925,2.5095,22788.1
floor3.6,M-h3,20260632,0.993,2.5065,21530.6
floor3.6,M-h12,20260632,0.993,2.494,21512.0
floor3.6,M-dd30,20260632,0.995,2.4265,21198.8
floor3.6,A-look,20260633,0.999,2.48,11844.4
floor3.6,A-lag,20260633,0.9915,3.2605,7737.0
floor3.6,A-noH,20260633,0.9945,2.649,11345.5
floor3.6,M-noH,20260633,0.9915,2.6875,19256.8
floor3.6,M-h1,20260633,0.99,2.7115,19325.3
floor3.6,M-h3,20260633,0.9915,2.709,18491.7
floor3.6,M-h12,20260633,0.9915,2.7,18491.7
floor3.6,M-dd30,20260633,0.9925,2.587,18957.9
