config,block,n_paths,p_labor0,p_ruin0,labor_mean,labor_p95,labor_max,cut_mean,term_real_med_M,term_real_p5_M
R0_base_run14_res26_allin,3,2000,0.837,0.837,1.959,14.0,16,0.0,6578.9,0.0
R0_base_run14_res26_allin,5,2000,0.86,0.86,1.6785,14.0,16,0.0,7174.3,0.0
R0_base_run14_res26_allin,8,2000,0.8835,0.8835,1.36,14.0,16,0.0,6418.2,0.0
R1_run14_res26_allin,5,2000,0.86,0.86,1.6785,14.0,16,0.0,7174.3,0.0
R1_run14_res26_allin_HOLD,5,2000,0.876,0.876,1.419,12.049999999999955,16,0.0,7650.1,0.0
R1_run18_res22_allin_HOLD,5,2000,0.8785,0.8785,1.4655,13.0,16,0.0,7401.8,0.0
R1_run20_res20_allin_HOLD,5,2000,0.8745,0.8745,1.4925,14.0,16,0.0,7201.3,0.0
R1_run24_res16_allin_HOLD,5,2000,0.876,0.876,1.5105,14.0,16,0.0,7831.6,0.0
R1_run10_res30_allin_HOLD,5,2000,0.8785,0.8785,1.3975,13.0,16,0.0,8021.6,0.0
R2_split2_18_HOLD,5,2000,0.7735,0.7735,2.4765,14.0,15,0.0,2225.1,0.0
R2_split3_18_HOLD,5,2000,0.663,0.663,3.449,14.0,14,0.0,697.7,0.0
R2_mix_bond80_gold20,5,2000,0.8745,0.8745,1.4975,13.0,16,0.0,7545.1,0.0
R2_mix_bond70_gold20_cash10,5,2000,0.873,0.873,1.529,14.0,16,0.0,7475.2,0.0
R3_floor0.00_run20res20_HOLD_top16,5,2000,0.8745,0.8745,1.4925,14.0,16,0.0,7201.3,0.0
R3_floor3.60_run20res20_HOLD_top16,5,2000,0.9995,0.9995,0.004,0.0,8,2.4445,11766.8,510.5
R3_floor4.43_run20res20_HOLD_top16,5,2000,0.9945,0.9945,0.0365,0.0,10,2.83,10130.8,345.3
R3_floor5.00_run20res20_HOLD_top16,5,2000,0.9765,0.9765,0.2395,0.0,13,3.17,10504.4,210.3
R3_floor6.00_run20res20_HOLD_top16,5,2000,0.9475,0.9475,0.573,4.0,15,3.763,8483.9,0.0
R3_floor7.20_run20res20_HOLD_top16,5,2000,0.8745,0.8745,1.4925,14.0,16,1.4925,7201.3,0.0
