section,scenario,convention,config,seed,p_labor0,floor_M,term_real_med_M
1_shift,S0_none,lookahead,FA1_F202020thr20,20260629,0.9995,,
1_shift,S0_none,lookahead,FA2_F202020thr26,20260629,0.9945,,
1_shift,S0_none,lookahead,NB0_noHOLD_thr20,20260629,0.869,,
1_shift,S0_none,lookahead,NC1_hold_thr20,20260629,0.8745,,
1_shift,S0_none,lagged,FA1_F202020thr20,20260629,0.9915,,
1_shift,S0_none,lagged,FA2_F202020thr26,20260629,0.993,,
1_shift,S0_none,lagged,NB0_noHOLD_thr20,20260629,0.869,,
1_shift,S0_none,lagged,NC1_hold_thr20,20260629,0.773,,
1_shift,S0_none,lookahead,FA1_F202020thr20,20260630,0.9995,,
1_shift,S0_none,lookahead,FA2_F202020thr26,20260630,0.997,,
1_shift,S0_none,lookahead,NB0_noHOLD_thr20,20260630,0.89,,
1_shift,S0_none,lookahead,NC1_hold_thr20,20260630,0.8965,,
1_shift,S0_none,lagged,FA1_F202020thr20,20260630,0.993,,
1_shift,S0_none,lagged,FA2_F202020thr26,20260630,0.9955,,
1_shift,S0_none,lagged,NB0_noHOLD_thr20,20260630,0.89,,
1_shift,S0_none,lagged,NC1_hold_thr20,20260630,0.8,,
1_shift,S0_none,lookahead,FA1_F202020thr20,20260631,0.999,,
1_shift,S0_none,lookahead,FA2_F202020thr26,20260631,0.997,,
1_shift,S0_none,lookahead,NB0_noHOLD_thr20,20260631,0.888,,
1_shift,S0_none,lookahead,NC1_hold_thr20,20260631,0.8935,,
1_shift,S0_none,lagged,FA1_F202020thr20,20260631,0.993,,
1_shift,S0_none,lagged,FA2_F202020thr26,20260631,0.996,,
1_shift,S0_none,lagged,NB0_noHOLD_thr20,20260631,0.888,,
1_shift,S0_none,lagged,NC1_hold_thr20,20260631,0.7865,,
1_shift,S0_none,lookahead,FA1_F202020thr20,20260632,0.9985,,
1_shift,S0_none,lookahead,FA2_F202020thr26,20260632,0.996,,
1_shift,S0_none,lookahead,NB0_noHOLD_thr20,20260632,0.883,,
1_shift,S0_none,lookahead,NC1_hold_thr20,20260632,0.889,,
1_shift,S0_none,lagged,FA1_F202020thr20,20260632,0.992,,
1_shift,S0_none,lagged,FA2_F202020thr26,20260632,0.9945,,
1_shift,S0_none,lagged,NB0_noHOLD_thr20,20260632,0.883,,
1_shift,S0_none,lagged,NC1_hold_thr20,20260632,0.7915,,
1_shift,S0_none,lookahead,FA1_F202020thr20,20260633,0.999,,
1_shift,S0_none,lookahead,FA2_F202020thr26,20260633,0.9935,,
1_shift,S0_none,lookahead,NB0_noHOLD_thr20,20260633,0.8625,,
1_shift,S0_none,lookahead,NC1_hold_thr20,20260633,0.87,,
1_shift,S0_none,lagged,FA1_F202020thr20,20260633,0.9915,,
1_shift,S0_none,lagged,FA2_F202020thr26,20260633,0.993,,
1_shift,S0_none,lagged,NB0_noHOLD_thr20,20260633,0.8625,,
1_shift,S0_none,lagged,NC1_hold_thr20,20260633,0.7655,,
1_shift,Sa_run-2pp,lookahead,FA1_F202020thr20,20260629,0.997,,
1_shift,Sa_run-2pp,lookahead,FA2_F202020thr26,20260629,0.989,,
1_shift,Sa_run-2pp,lookahead,NB0_noHOLD_thr20,20260629,0.851,,
1_shift,Sa_run-2pp,lookahead,NC1_hold_thr20,20260629,0.853,,
1_shift,Sa_run-2pp,lagged,FA1_F202020thr20,20260629,0.987,,
1_shift,Sa_run-2pp,lagged,FA2_F202020thr26,20260629,0.9865,,
1_shift,Sa_run-2pp,lagged,NB0_noHOLD_thr20,20260629,0.851,,
1_shift,Sa_run-2pp,lagged,NC1_hold_thr20,20260629,0.7275,,
1_shift,Sa_run-2pp,lookahead,FA1_F202020thr20,20260630,0.999,,
1_shift,Sa_run-2pp,lookahead,FA2_F202020thr26,20260630,0.9935,,
1_shift,Sa_run-2pp,lookahead,NB0_noHOLD_thr20,20260630,0.875,,
1_shift,Sa_run-2pp,lookahead,NC1_hold_thr20,20260630,0.879,,
1_shift,Sa_run-2pp,lagged,FA1_F202020thr20,20260630,0.9875,,
1_shift,Sa_run-2pp,lagged,FA2_F202020thr26,20260630,0.9905,,
1_shift,Sa_run-2pp,lagged,NB0_noHOLD_thr20,20260630,0.875,,
1_shift,Sa_run-2pp,lagged,NC1_hold_thr20,20260630,0.7405,,
1_shift,Sa_run-2pp,lookahead,FA1_F202020thr20,20260631,0.9975,,
