seed,world,rule,p_labor0,labor_mean,term_real_med_M,cut_mean
20260629,nominal,1-noHOLD thr20M alloc20:20,0.869,1.633,7110.1,
20260629,nominal,1-noHOLD thr18M alloc20:20,0.869,1.634,6180.1,
20260629,nominal,1-noHOLD thr16M alloc20:20,0.859,1.716,5297.6,
20260629,nominal,1-noHOLD thr14M alloc20:20,0.858,1.7165,4791.8,
20260629,nominal,1-noHOLD thr12M alloc20:20,0.8125,2.1535,2995.4,
20260629,nominal,1-noHOLD thr20M alloc14:26,0.8285,2.2685,13797.9,
20260629,nominal,1-noHOLD thr18M alloc14:26,0.8285,2.2685,13797.9,
20260629,nominal,1-noHOLD thr16M alloc14:26,0.8285,2.2685,13797.9,
20260629,nominal,1-noHOLD thr14M alloc14:26,0.86,1.6785,7174.3,
20260629,nominal,1-noHOLD thr12M alloc14:26,0.8485,1.7535,6331.3,
20260629,nominal,1-noHOLD thr10M alloc10:30,0.8265,2.182,6921.6,
20260629,nominal,1-noHOLD thr8M alloc10:30,0.8405,1.986,6956.5,
20260629,nominal,1-noHOLD thr6M alloc10:30,0.8305,2.094,6560.5,
20260629,nominal,2-recover1 thr20M alloc20:20,0.773,2.9625,4544.9,
20260629,nominal,2-recover1 thr26M alloc20:20,0.8285,2.2685,13797.9,
20260629,nominal,2-recover2 thr20M alloc20:20,0.823,2.0845,5456.3,
20260629,nominal,2-recover2 thr26M alloc20:20,0.8285,2.2685,13797.9,
20260629,nominal,3a-dd20% immediate alloc20:20,0.8605,1.711,6107.7,
20260629,nominal,3b-dd20%+prevyear alloc20:20,0.757,3.1325,3942.2,
20260629,nominal,3a-dd30% immediate alloc20:20,0.8605,1.7075,5614.9,
20260629,nominal,3b-dd30%+prevyear alloc20:20,0.75,3.198,3155.4,
20260629,nominal,3a-dd40% immediate alloc20:20,0.8245,2.0995,3875.4,
20260629,nominal,3b-dd40%+prevyear alloc20:20,0.682,3.9325,1659.1,
20260629,nominal,4a-two_tranche thr1=26M(50%%)+thr2=20M(recover2),0.8135,2.239,5364.1,
20260629,nominal,4b-two_tranche thr1=20M(50%%)+thr2=10M(noHOLD),0.7885,2.3735,2021.9,
20260629,nominal,5-res_prevyear thr20M alloc20:20,0.819,2.257,5073.6,
20260629,nominal,6-drip25pct x4yr alloc20:20,0.737,3.2295,3801.6,
20260629,floor,F1-noHOLD thr20M,0.996,0.029,11108.4,2.5805
20260629,floor,F2-recover2 thr20M,0.9935,0.036,9710.1,2.8775
20260629,floor,F3-dd30%% immediate,0.9985,0.009,6740.5,2.8435
20260629,floor,F4-drip25pct x4yr,0.993,0.039,11618.3,2.9575
20260630,nominal,1-noHOLD thr20M alloc20:20,0.89,1.3765,7412.9,
20260630,nominal,1-noHOLD thr18M alloc20:20,0.8895,1.3795,6453.9,
20260630,nominal,1-noHOLD thr16M alloc20:20,0.88,1.453,5233.7,
20260630,nominal,1-noHOLD thr14M alloc20:20,0.878,1.46,4877.1,
20260630,nominal,1-noHOLD thr12M alloc20:20,0.826,1.929,2902.7,
20260630,nominal,1-noHOLD thr20M alloc14:26,0.84,2.146,13518.4,
20260630,nominal,1-noHOLD thr18M alloc14:26,0.84,2.146,13518.4,
20260630,nominal,1-noHOLD thr16M alloc14:26,0.84,2.146,13518.4,
20260630,nominal,1-noHOLD thr14M alloc14:26,0.886,1.3255,7010.6,
20260630,nominal,1-noHOLD thr12M alloc14:26,0.88,1.3755,6400.4,
20260630,nominal,1-noHOLD thr10M alloc10:30,0.8485,1.851,6567.6,
20260630,nominal,1-noHOLD thr8M alloc10:30,0.867,1.597,6597.3,
20260630,nominal,1-noHOLD thr6M alloc10:30,0.8565,1.723,6135.4,
20260630,nominal,2-recover1 thr20M alloc20:20,0.8,2.65,4970.7,
20260630,nominal,2-recover1 thr26M alloc20:20,0.84,2.146,13518.4,
20260630,nominal,2-recover2 thr20M alloc20:20,0.854,1.7065,5881.6,
20260630,nominal,2-recover2 thr26M alloc20:20,0.84,2.146,13518.4,
20260630,nominal,3a-dd20% immediate alloc20:20,0.8805,1.4515,6258.9,
20260630,nominal,3b-dd20%+prevyear alloc20:20,0.783,2.8165,4047.4,
20260630,nominal,3a-dd30% immediate alloc20:20,0.8785,1.4625,5674.6,
20260630,nominal,3b-dd30%+prevyear alloc20:20,0.773,2.9125,3315.0,
20260630,nominal,3a-dd40% immediate alloc20:20,0.833,1.916,3865.2,
20260630,nominal,3b-dd40%+prevyear alloc20:20,0.705,3.6155,1509.5,
20260630,nominal,4a-two_tranche thr1=26M(50%%)+thr2=20M(recover2),0.823,2.0465,5584.5,
20260630,nominal,4b-two_tranche thr1=20M(50%%)+thr2=10M(noHOLD),0.8005,2.1415,2174.4,
20260630,nominal,5-res_prevyear thr20M alloc20:20,0.837,1.977,5273.2,
20260630,nominal,6-drip25pct x4yr alloc20:20,0.752,3.02,3858.7,
20260630,floor,F1-noHOLD thr20M,0.996,0.0185,10746.1,2.459
20260630,floor,F2-recover2 thr20M,0.995,0.032,9426.1,2.681
20260630,floor,F3-dd30%% immediate,0.9985,0.0035,6658.9,2.773
20260630,floor,F4-drip25pct x4yr,0.9955,0.0315,11559.4,2.7985
20260631,nominal,1-noHOLD thr20M alloc20:20,0.888,1.42,7208.8,
20260631,nominal,1-noHOLD thr18M alloc20:20,0.887,1.424,6509.4,
20260631,nominal,1-noHOLD thr16M alloc20:20,0.877,1.5055,5222.9,
20260631,nominal,1-noHOLD thr14M alloc20:20,0.8765,1.5075,4726.7,
20260631,nominal,1-noHOLD thr12M alloc20:20,0.833,1.9365,2911.2,
