section,convention,alloc,thr,seed,p_labor0,cut_mean,floor,top_wr,term_real_med_M,term_real_p5_M
1,lookahead,10:30,12,20260629,0.9945,2.194,,,,
1,lookahead,10:30,12,20260630,0.997,2.0745,,,,
1,lookahead,10:30,12,20260631,0.997,2.095,,,,
1,lookahead,10:30,12,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,12,20260633,0.994,2.275,,,,
1,lookahead,10:30,12,20260634,0.9955,2.212,,,,
1,lookahead,10:30,12,20260635,0.9935,2.113,,,,
1,lookahead,10:30,12,20260636,0.9945,2.195,,,,
1,lookahead,10:30,12,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,12,20260638,0.996,2.1775,,,,
1,lookahead,10:30,12,20260639,0.997,2.1755,,,,
1,lookahead,10:30,12,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,12,20260641,0.995,2.177,,,,
1,lookahead,10:30,12,20260642,0.994,2.118,,,,
1,lookahead,10:30,12,20260643,0.9935,2.221,,,,
1,lookahead,10:30,12,20260644,0.999,2.1725,,,,
1,lookahead,10:30,12,20260645,0.997,2.164,,,,
1,lookahead,10:30,12,20260646,0.9965,2.049,,,,
1,lookahead,10:30,12,20260647,0.993,2.1575,,,,
1,lookahead,10:30,12,20260648,0.993,2.174,,,,
1,lookahead,10:30,14,20260629,0.9945,2.194,,,,
1,lookahead,10:30,14,20260630,0.997,2.0745,,,,
1,lookahead,10:30,14,20260631,0.997,2.095,,,,
1,lookahead,10:30,14,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,14,20260633,0.994,2.275,,,,
1,lookahead,10:30,14,20260634,0.9955,2.212,,,,
1,lookahead,10:30,14,20260635,0.9935,2.113,,,,
1,lookahead,10:30,14,20260636,0.9945,2.195,,,,
1,lookahead,10:30,14,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,14,20260638,0.996,2.1775,,,,
1,lookahead,10:30,14,20260639,0.997,2.1755,,,,
1,lookahead,10:30,14,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,14,20260641,0.995,2.177,,,,
1,lookahead,10:30,14,20260642,0.994,2.118,,,,
1,lookahead,10:30,14,20260643,0.9935,2.221,,,,
1,lookahead,10:30,14,20260644,0.999,2.1725,,,,
1,lookahead,10:30,14,20260645,0.997,2.164,,,,
1,lookahead,10:30,14,20260646,0.9965,2.049,,,,
1,lookahead,10:30,14,20260647,0.993,2.1575,,,,
1,lookahead,10:30,14,20260648,0.993,2.174,,,,
1,lookahead,10:30,16,20260629,0.9945,2.194,,,,
1,lookahead,10:30,16,20260630,0.997,2.0745,,,,
1,lookahead,10:30,16,20260631,0.997,2.095,,,,
1,lookahead,10:30,16,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,16,20260633,0.994,2.275,,,,
1,lookahead,10:30,16,20260634,0.9955,2.212,,,,
1,lookahead,10:30,16,20260635,0.9935,2.113,,,,
1,lookahead,10:30,16,20260636,0.9945,2.195,,,,
1,lookahead,10:30,16,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,16,20260638,0.996,2.1775,,,,
1,lookahead,10:30,16,20260639,0.997,2.1755,,,,
1,lookahead,10:30,16,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,16,20260641,0.995,2.177,,,,
1,lookahead,10:30,16,20260642,0.994,2.118,,,,
1,lookahead,10:30,16,20260643,0.9935,2.221,,,,
1,lookahead,10:30,16,20260644,0.999,2.1725,,,,
1,lookahead,10:30,16,20260645,0.997,2.164,,,,
1,lookahead,10:30,16,20260646,0.9965,2.049,,,,
1,lookahead,10:30,16,20260647,0.993,2.1575,,,,
1,lookahead,10:30,16,20260648,0.993,2.174,,,,
1,lookahead,10:30,18,20260629,0.9945,2.194,,,,
1,lookahead,10:30,18,20260630,0.997,2.0745,,,,
1,lookahead,10:30,18,20260631,0.997,2.095,,,,
1,lookahead,10:30,18,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,18,20260633,0.994,2.275,,,,
1,lookahead,10:30,18,20260634,0.9955,2.212,,,,
1,lookahead,10:30,18,20260635,0.9935,2.113,,,,
1,lookahead,10:30,18,20260636,0.9945,2.195,,,,
1,lookahead,10:30,18,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,18,20260638,0.996,2.1775,,,,
1,lookahead,10:30,18,20260639,0.997,2.1755,,,,
1,lookahead,10:30,18,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,18,20260641,0.995,2.177,,,,
1,lookahead,10:30,18,20260642,0.994,2.118,,,,
1,lookahead,10:30,18,20260643,0.9935,2.221,,,,
1,lookahead,10:30,18,20260644,0.999,2.1725,,,,
1,lookahead,10:30,18,20260645,0.997,2.164,,,,
1,lookahead,10:30,18,20260646,0.9965,2.049,,,,
1,lookahead,10:30,18,20260647,0.993,2.1575,,,,
1,lookahead,10:30,18,20260648,0.993,2.174,,,,
1,lookahead,10:30,20,20260629,0.9945,2.194,,,,
1,lookahead,10:30,20,20260630,0.997,2.0745,,,,
1,lookahead,10:30,20,20260631,0.997,2.095,,,,
1,lookahead,10:30,20,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,20,20260633,0.994,2.275,,,,
1,lookahead,10:30,20,20260634,0.9955,2.212,,,,
1,lookahead,10:30,20,20260635,0.9935,2.113,,,,
1,lookahead,10:30,20,20260636,0.9945,2.195,,,,
1,lookahead,10:30,20,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,20,20260638,0.996,2.1775,,,,
1,lookahead,10:30,20,20260639,0.997,2.1755,,,,
1,lookahead,10:30,20,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,20,20260641,0.995,2.177,,,,
1,lookahead,10:30,20,20260642,0.994,2.118,,,,
1,lookahead,10:30,20,20260643,0.9935,2.221,,,,
1,lookahead,10:30,20,20260644,0.999,2.1725,,,,
1,lookahead,10:30,20,20260645,0.997,2.164,,,,
1,lookahead,10:30,20,20260646,0.9965,2.049,,,,
1,lookahead,10:30,20,20260647,0.993,2.1575,,,,
1,lookahead,10:30,20,20260648,0.993,2.174,,,,
1,lookahead,10:30,22,20260629,0.9945,2.194,,,,
1,lookahead,10:30,22,20260630,0.997,2.0745,,,,
1,lookahead,10:30,22,20260631,0.997,2.095,,,,
1,lookahead,10:30,22,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,22,20260633,0.994,2.275,,,,
1,lookahead,10:30,22,20260634,0.9955,2.212,,,,
1,lookahead,10:30,22,20260635,0.9935,2.113,,,,
1,lookahead,10:30,22,20260636,0.9945,2.195,,,,
1,lookahead,10:30,22,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,22,20260638,0.996,2.1775,,,,
1,lookahead,10:30,22,20260639,0.997,2.1755,,,,
1,lookahead,10:30,22,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,22,20260641,0.995,2.177,,,,
1,lookahead,10:30,22,20260642,0.994,2.118,,,,
1,lookahead,10:30,22,20260643,0.9935,2.221,,,,
1,lookahead,10:30,22,20260644,0.999,2.1725,,,,
1,lookahead,10:30,22,20260645,0.997,2.164,,,,
1,lookahead,10:30,22,20260646,0.9965,2.049,,,,
1,lookahead,10:30,22,20260647,0.993,2.1575,,,,
1,lookahead,10:30,22,20260648,0.993,2.174,,,,
1,lookahead,10:30,24,20260629,0.9945,2.194,,,,
1,lookahead,10:30,24,20260630,0.997,2.0745,,,,
1,lookahead,10:30,24,20260631,0.997,2.095,,,,
1,lookahead,10:30,24,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,24,20260633,0.994,2.275,,,,
1,lookahead,10:30,24,20260634,0.9955,2.212,,,,
1,lookahead,10:30,24,20260635,0.9935,2.113,,,,
1,lookahead,10:30,24,20260636,0.9945,2.195,,,,
1,lookahead,10:30,24,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,24,20260638,0.996,2.1775,,,,
1,lookahead,10:30,24,20260639,0.997,2.1755,,,,
1,lookahead,10:30,24,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,24,20260641,0.995,2.177,,,,
1,lookahead,10:30,24,20260642,0.994,2.118,,,,
1,lookahead,10:30,24,20260643,0.9935,2.221,,,,
1,lookahead,10:30,24,20260644,0.999,2.1725,,,,
1,lookahead,10:30,24,20260645,0.997,2.164,,,,
1,lookahead,10:30,24,20260646,0.9965,2.049,,,,
1,lookahead,10:30,24,20260647,0.993,2.1575,,,,
1,lookahead,10:30,24,20260648,0.993,2.174,,,,
1,lookahead,10:30,26,20260629,0.9945,2.194,,,,
1,lookahead,10:30,26,20260630,0.997,2.0745,,,,
1,lookahead,10:30,26,20260631,0.997,2.095,,,,
1,lookahead,10:30,26,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,26,20260633,0.994,2.275,,,,
1,lookahead,10:30,26,20260634,0.9955,2.212,,,,
1,lookahead,10:30,26,20260635,0.9935,2.113,,,,
1,lookahead,10:30,26,20260636,0.9945,2.195,,,,
1,lookahead,10:30,26,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,26,20260638,0.996,2.1775,,,,
1,lookahead,10:30,26,20260639,0.997,2.1755,,,,
1,lookahead,10:30,26,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,26,20260641,0.995,2.177,,,,
1,lookahead,10:30,26,20260642,0.994,2.118,,,,
1,lookahead,10:30,26,20260643,0.9935,2.221,,,,
1,lookahead,10:30,26,20260644,0.999,2.1725,,,,
1,lookahead,10:30,26,20260645,0.997,2.164,,,,
1,lookahead,10:30,26,20260646,0.9965,2.049,,,,
1,lookahead,10:30,26,20260647,0.993,2.1575,,,,
1,lookahead,10:30,26,20260648,0.993,2.174,,,,
1,lookahead,10:30,28,20260629,0.9945,2.194,,,,
1,lookahead,10:30,28,20260630,0.997,2.0745,,,,
1,lookahead,10:30,28,20260631,0.997,2.095,,,,
1,lookahead,10:30,28,20260632,0.9965,2.0965,,,,
1,lookahead,10:30,28,20260633,0.994,2.275,,,,
1,lookahead,10:30,28,20260634,0.9955,2.212,,,,
1,lookahead,10:30,28,20260635,0.9935,2.113,,,,
1,lookahead,10:30,28,20260636,0.9945,2.195,,,,
1,lookahead,10:30,28,20260637,0.9935,2.1445,,,,
1,lookahead,10:30,28,20260638,0.996,2.1775,,,,
1,lookahead,10:30,28,20260639,0.997,2.1755,,,,
1,lookahead,10:30,28,20260640,0.9955,2.1595,,,,
1,lookahead,10:30,28,20260641,0.995,2.177,,,,
1,lookahead,10:30,28,20260642,0.994,2.118,,,,
1,lookahead,10:30,28,20260643,0.9935,2.221,,,,
1,lookahead,10:30,28,20260644,0.999,2.1725,,,,
1,lookahead,10:30,28,20260645,0.997,2.164,,,,
1,lookahead,10:30,28,20260646,0.9965,2.049,,,,
