section,scenario,floor,p_mean,p_min,p_max
shift,S0_none,3.6,0.9983000000000001,0.997,1.0
shift,Sa_run-2pp,3.6,0.9951000000000001,0.993,0.9975
shift,Sb_run-5pp,3.6,0.9863999999999999,0.983,0.989
shift,Sc_run-2_bond-1,3.6,0.9945999999999999,0.9915,0.997
maxfloor_-2pp,Sa,2.0,1.0,1.0,1.0
maxfloor_-2pp,Sa,2.4,0.9998000000000001,0.9995,1.0
maxfloor_-2pp,Sa,2.8,0.9996,0.999,1.0
maxfloor_-2pp,Sa,3.2,0.9987999999999999,0.9975,1.0
maxfloor_-2pp,Sa,3.6,0.9951000000000001,0.993,0.9975
worst3y_front,2014-2016,3.6,0.8854,0.8685,0.896
