stage,label,map_tag,lev_scale,CAGR_IS_at,CAGR_OOS_at,min9_at,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star_at,P10_5Y_at,Worst5Y_at,Trades_yr,excess_days,excess_ratio_pct,worst_cy,worst_cy_year,veto_maxdd,veto_w10y,VETO_s0,wfa_WFE,wfa_CI95_lo,wfa_t_p,cpcv_p10_at,cpcv_worst_at,cpcv_med_at,regime_min_at,s1_veto_maxdd,s1_veto_wfe,s1_veto_w10y,s1_veto_reg,VETO_s1,mm_v7_P_min,mm_v7_CI95_min,mm_v7_P_maxdd,mm_v7_CI95_dd,mm_v7_P_w10y,mm_v7_CI95_w10y,mm_v7_P_sharpe,mm_v7_CI95_shp,mm_b3a_P_min,mm_b3a_CI95_min,mm_b3a_P_maxdd,mm_b3a_CI95_dd,mm_b3a_P_w10y,mm_b3a_CI95_w10y,mm_b3a_P_sharpe,mm_b3a_CI95_shp,regime_trend_bull,regime_trend_bear,regime_vol_calm,regime_vol_highvol,regime_rate_rate_up,regime_rate_rate_down,stress_dotcom_2000_ret,stress_dotcom_2000_maxdd,stress_gfc_2008_ret,stress_gfc_2008_maxdd,stress_covid_2020_ret,stress_covid_2020_maxdd,stress_bear_2022_ret,stress_bear_2022_maxdd,stress_tri_2015_ret,stress_tri_2015_maxdd
0,B3a_k365_ref,default,1.150000,0.231035,0.209760,0.209760,2.571600,0.904200,-0.382040,0.145328,0.080827,0.001022,33.280000,4963,37.690000,-0.223692,2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,B3c_k365_ref,default,1.100000,0.223784,0.204062,0.204062,2.383900,0.910600,-0.370672,0.140747,0.079427,0.001582,33.280000,4572,34.720000,-0.215819,2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bext_def_sc1.20,default,1.200000,0.238216,0.215319,0.215319,2.767600,0.898100,-0.393272,0.149800,0.082239,0.000355,33.280000,5295,40.210000,-0.231572,2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bext_def_sc1.25,default,1.250000,0.245327,0.220737,0.220737,2.972400,0.892400,-0.404367,0.154162,0.083170,-0.000417,33.280000,5441,41.320000,-0.239453,2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bext_def_sc1.30,default,1.300000,0.252371,0.226011,0.226011,3.186200,0.887100,-0.415327,0.158414,0.084179,-0.001293,33.280000,5514,41.870000,-0.247334,2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bext_def_sc1.35,default,1.350000,0.259346,0.231143,0.231143,3.409100,0.882000,-0.426151,0.162554,0.085381,-0.002272,33.280000,5594,42.480000,-0.255213,2015,0,0,0,0.9531679788302192,0.2556360952734433,2.465934493519713e-08,0.17437079606009687,0.12581576818125723,0.24908743658607996,-0.046089423491681124,0,0,0,0,0,0.8898,-3.5859969862213688,0.014,-20.397421923878227,0.9131,-1.6621743578635477,0.5181,-0.22047043422005297,0.8503,-1.5245132435645898,0.0,-8.49417818264345,0.6427,-1.349374523590301,0.0844,-0.05428297679341573,0.4007915449779295,-0.046089423491681124,0.21491613013454042,0.2958842028361947,0.20545180894062326,0.2993557614300434,0.214524,-0.061288,0.146105,-0.122688,0.081284,-0.131973,0.008038,-0.104985,-0.255213,-0.320508
0,Bext_str_sc1.20,strong,1.200000,0.245813,0.222071,0.222071,2.869700,0.897700,-0.405632,0.160571,0.085854,0.005727,35.230000,5430,41.230000,-0.237838,2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bext_str_sc1.25,strong,1.250000,0.253193,0.227648,0.227648,3.087800,0.892100,-0.420841,0.165283,0.087071,0.005028,35.230000,5540,42.070000,-0.246033,2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Bext_str_sc1.30,strong,1.300000,0.260499,0.233063,0.233063,3.316300,0.886900,-0.435767,0.169873,0.088348,0.004213,35.230000,5643,42.850000,-0.254230,2015,0,0,0,0.9539855602264031,0.2575181046181045,2.0362081656764697e-08,0.17372232694852885,0.12485591920360517,0.25413865744983094,-0.049338457533628324,0,0,0,0,0,0.8896,-3.6684112540247185,0.0155,-20.742900157217555,0.9139,-1.7114056182288173,0.5375,-0.2248298342954483,0.8525,-1.6103596588926503,0.0,-8.933630481828628,0.6691,-1.3624219961163875,0.2091,-0.06045049165141637,0.4046790168449563,-0.049338457533628324,0.21499240639483086,0.2983565862977232,0.20861480117404704,0.298961095185324,0.214524,-0.061288,0.147602,-0.119701,0.081284,-0.131973,0.008038,-0.104985,-0.254230,-0.326211
0,Bext_str_sc1.35,strong,1.350000,0.267727,0.238321,0.238321,3.554400,0.881900,-0.450414,0.174340,0.089596,0.003281,35.230000,5743,43.610000,-0.262428,2015,0,0,0,0.9448715539695371,0.26549182030047347,2.4887854351239825e-08,0.17717490167361877,0.12669461550493305,0.2603440626977576,-0.05396359818392708,0,0,0,0,0,0.8875,-3.930525588423416,0.0078,-22.26964707873497,0.906,-1.9767955821859435,0.5196,-0.2279463762929835,0.8499,-2.02085315504054,0.0,-10.910364071802919,0.6571,-1.7168377794666563,0.1766,-0.07110800145081797,0.4186908364343725,-0.05396359818392708,0.22097027882005765,0.3065759985430508,0.2141345599518388,0.3075544989283307,0.214524,-0.061288,0.141932,-0.124898,0.081284,-0.131973,0.008038,-0.104985,-0.262428,-0.335679
