condition,tax,CAGR_IS,CAGR_OOS,CAGR_FULL,min_IS_OOS,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,Trades_yr,worst_calendar_year_return,worst_calendar_year,excess_days_L_gt_3,excess_ratio,wfa_WFE,wfa_CI95_lo,wfa_t_p,cpcv_p10_at,cpcv_worst_at,cpcv_med_at,regime_min_at,boot_P_min_better,boot_CI95_lo_min_pp,veto_maxdd,veto_wfe,veto_w10y,veto_reg,VETO,OUT_bondOFF_days,regime_trend_bull,regime_trend_bear,regime_vol_calm,regime_vol_highvol,regime_rate_rate_up,regime_rate_rate_down,stress_dotcom_2000_ret,stress_dotcom_2000_maxdd,stress_gfc_2008_ret,stress_gfc_2008_maxdd,stress_covid_2020_ret,stress_covid_2020_maxdd,stress_bear_2022_ret,stress_bear_2022_maxdd,stress_tri_2015_ret,stress_tri_2015_maxdd
V7_TQQQ,pretax,0.196719,0.203124,0.197314,0.196719,-0.640434,0.877280,-0.344655,0.121868,0.062295,0.004826,25.201914,-0.169265,1990,0,0.000000,0.976166,0.154828,0.000000,0.103654,0.065798,0.157268,-0.061362,,,0,0,0,0,0,3061,0.268756,-0.061362,0.146056,0.182469,0.138259,0.189863,-0.006867,-0.006857,-0.032694,-0.081817,-0.000372,-0.000361,-0.002666,-0.002655,-0.138874,-0.210654
V7_TQQQ,aftertax,0.162746,0.168044,0.163238,0.162746,-0.640434,0.877280,-0.344655,0.100822,0.051536,0.003992,25.201914,-0.169265,1990,0,0.000000,0.976166,0.154828,0.000000,0.103654,0.065798,0.157268,-0.061362,,,0,0,0,0,0,3061,0.268756,-0.061362,0.146056,0.182469,0.138259,0.189863,-0.006867,-0.006857,-0.032694,-0.081817,-0.000372,-0.000361,-0.002666,-0.002655,-0.138874,-0.210654
P09_TQQQ,pretax,0.227711,0.211710,0.226295,0.211710,1.600134,0.901306,-0.351847,0.138346,0.079309,-0.007076,29.201306,-0.187343,2015,0,0.000000,1.016783,0.179435,0.000000,0.135552,0.105327,0.184581,-0.015651,0.797,-3.6626453107137165,0,0,0,0,0,3061,0.277082,-0.015651,0.154186,0.216948,0.141053,0.224994,0.190805,-0.061288,0.198471,-0.095591,0.081284,-0.131973,-0.001653,-0.108928,-0.187343,-0.240330
P09_TQQQ,aftertax,0.188385,0.175148,0.187214,0.175148,1.600134,0.901306,-0.351847,0.114454,0.065612,-0.005854,29.201306,-0.187343,2015,0,0.000000,1.016783,0.179435,0.000000,0.135552,0.105327,0.184581,-0.015651,0.797,-3.6626453107137165,0,0,0,0,0,3061,0.277082,-0.015651,0.154186,0.216948,0.141053,0.224994,0.190805,-0.061288,0.198471,-0.095591,0.081284,-0.131973,-0.001653,-0.108928,-0.187343,-0.240330
P09_C1,pretax,0.240346,0.214761,0.238025,0.214761,2.558506,0.911513,-0.349879,0.138905,0.084827,-0.007021,29.201306,-0.187343,2015,0,0.000000,0.988508,0.189576,0.000000,0.141451,0.107197,0.189518,-0.000825,0.8199,-3.4360132209901244,0,0,0,0,0,3061,0.283021,-0.000825,0.164576,0.225617,0.155388,0.229124,0.214524,-0.061288,0.198581,-0.095591,0.081284,-0.131973,0.008038,-0.104985,-0.187343,-0.240330
P09_C1,aftertax,0.198838,0.177672,0.196918,0.177672,2.558506,0.911513,-0.349879,0.114916,0.070178,-0.005809,29.201306,-0.187343,2015,0,0.000000,0.988508,0.189576,0.000000,0.141451,0.107197,0.189518,-0.000825,0.8199,-3.4360132209901244,0,0,0,0,0,3061,0.283021,-0.000825,0.164576,0.225617,0.155388,0.229124,0.214524,-0.061288,0.198581,-0.095591,0.081284,-0.131973,0.008038,-0.104985,-0.187343,-0.240330
LU1_cfd,pretax,0.234394,0.218167,0.232957,0.218167,1.622698,0.900235,-0.349546,0.148334,0.082392,-0.002321,35.229099,-0.193198,2015,2047,0.155441,1.012170,0.185639,0.000000,0.137292,0.105852,0.190414,-0.021626,0.8189,-3.532594096400871,0,0,0,0,0,3061,0.288608,-0.021626,0.157815,0.224492,0.146840,0.230461,0.190805,-0.061288,0.195624,-0.095591,0.081284,-0.131973,-0.001653,-0.108928,-0.193198,-0.250718
LU1_cfd,aftertax,0.193915,0.180490,0.192726,0.180490,1.622698,0.900235,-0.349546,0.122717,0.068163,-0.001920,35.229099,-0.193198,2015,2047,0.155441,1.012170,0.185639,0.000000,0.137292,0.105852,0.190414,-0.021626,0.8189,-3.532594096400871,0,0,0,0,0,3061,0.288608,-0.021626,0.157815,0.224492,0.146840,0.230461,0.190805,-0.061288,0.195624,-0.095591,0.081284,-0.131973,-0.001653,-0.108928,-0.193198,-0.250718
LU1_C1,pretax,0.247098,0.221235,0.244751,0.221235,2.586322,0.910098,-0.347571,0.148898,0.087279,-0.002266,35.229099,-0.193198,2015,2047,0.155441,0.984861,0.195848,0.000000,0.145159,0.109570,0.197561,-0.006910,0.8365,-3.3123020667816285,0,0,0,0,0,3061,0.294609,-0.006910,0.168244,0.233223,0.161261,0.234612,0.214524,-0.061288,0.195733,-0.095591,0.081284,-0.131973,0.008038,-0.104985,-0.193198,-0.250718
LU1_C1,aftertax,0.204424,0.183028,0.202482,0.183028,2.586322,0.910098,-0.347571,0.123183,0.072206,-0.001874,35.229099,-0.193198,2015,2047,0.155441,0.984861,0.195848,0.000000,0.145159,0.109570,0.197561,-0.006910,0.8365,-3.3123020667816285,0,0,0,0,0,3061,0.294609,-0.006910,0.168244,0.233223,0.161261,0.234612,0.214524,-0.061288,0.195733,-0.095591,0.081284,-0.131973,0.008038,-0.104985,-0.193198,-0.250718
