label,group,posthoc_flag,CAGR_IS_at,CAGR_OOS_at,min9_at,gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star_at,P10_5Y_at,Trades_yr,excess_days,worst_cy,worst_cy_year,veto_maxdd,veto_w10y,VETO,stage1_pass,q0,q1,lev_scale,q0_hi,lev_thr
B2_q01.4_q11.20,B2,0,0.204424,0.183028,0.183028,2.586322,0.910098,-0.347571,0.123183,0.072206,35.229099,2047,-0.193198,2015,0,0,0,0,1.400000,1.200000,1.000000,,
B2_q01.4_q11.30,B2,0,0.205980,0.187031,0.187031,2.290368,0.915578,-0.347571,0.126427,0.073640,35.229099,2209,-0.197585,2015,0,0,0,0,1.400000,1.300000,1.000000,,
B2_q01.4_q11.40,B2,0,0.207558,0.191061,0.191061,1.994025,0.920381,-0.347557,0.129661,0.074983,33.277242,2281,-0.202033,2015,0,0,0,1,1.400000,1.400000,1.000000,,
B2_q01.6_q11.20,B2,0,0.206731,0.182655,0.182655,2.910208,0.903647,-0.347571,0.126469,0.073434,35.229099,2060,-0.187924,2015,0,0,0,0,1.600000,1.200000,1.000000,,
B2_q01.6_q11.30,B2,0,0.208290,0.186657,0.186657,2.614853,0.909282,-0.347571,0.129723,0.074660,35.229099,2222,-0.192340,2015,0,0,0,0,1.600000,1.300000,1.000000,,
B2_q01.6_q11.40,B2,0,0.209758,0.190562,0.190562,2.320381,0.913794,-0.347571,0.132842,0.076018,35.229099,2294,-0.196888,2015,0,0,0,1,1.600000,1.400000,1.000000,,
B2_q01.8_q11.20,B2,0,0.208992,0.182198,0.182198,3.238708,0.896394,-0.347571,0.129700,0.074610,35.229099,2081,-0.183334,1990,0,0,0,0,1.800000,1.200000,1.000000,,
B2_q01.8_q11.30,B2,0,0.210554,0.186199,0.186199,2.943983,0.902198,-0.347571,0.132966,0.076051,35.229099,2243,-0.187099,2015,0,0,0,0,1.800000,1.300000,1.000000,,
B2_q01.8_q11.40,B2,0,0.212026,0.190101,0.190101,2.650113,0.906893,-0.347571,0.136096,0.077265,35.229099,2315,-0.191677,2015,0,0,0,1,1.800000,1.400000,1.000000,,
B2_q02.0_q11.20,B2,0,0.211209,0.181669,0.181669,3.570567,0.888445,-0.347571,0.132883,0.076459,35.229099,2106,-0.191938,1990,0,0,0,0,2.000000,1.200000,1.000000,,
B2_q02.0_q11.30,B2,0,0.212774,0.185668,0.185668,3.276499,0.894427,-0.348559,0.136159,0.077772,35.229099,2268,-0.192641,1990,0,0,0,0,2.000000,1.300000,1.000000,,
B2_q02.0_q11.40,B2,0,0.214249,0.189569,0.189569,2.983257,0.899317,-0.357224,0.139299,0.078898,35.229099,2340,-0.193422,1990,0,0,0,0,2.000000,1.400000,1.000000,,
B3_q01.4_q11.20_sc1.10,B3,0,0.217242,0.192526,0.192526,2.987501,0.890320,-0.370962,0.130265,0.073295,35.229099,4455,-0.209220,2015,0,0,0,1,1.400000,1.200000,1.100000,,
B3_q01.4_q11.20_sc1.15,B3,0,0.223404,0.196911,0.196911,3.202352,0.880856,-0.382448,0.133493,0.073582,35.229099,4854,-0.217332,2015,0,0,0,1,1.400000,1.200000,1.150000,,
B3_q01.4_q11.30_sc1.10,B3,0,0.218851,0.196821,0.196821,2.662857,0.895902,-0.370962,0.133665,0.074643,35.229099,4522,-0.214137,2015,0,0,0,1,1.400000,1.300000,1.100000,,
B3_q01.4_q11.30_sc1.15,B3,0,0.225047,0.201356,0.201356,2.863560,0.886538,-0.382448,0.136985,0.074927,35.229099,4903,-0.222471,2015,0,0,0,1,1.400000,1.300000,1.150000,,
B3_q01.4_q11.40_sc1.10,B3,0,0.220494,0.201144,0.201144,2.338841,0.900841,-0.370949,0.137086,0.075793,33.277242,4572,-0.219040,2015,0,0,0,1,1.400000,1.400000,1.100000,,
B3_q01.4_q11.40_sc1.15,B3,0,0.226715,0.205814,0.205814,2.526489,0.891536,-0.382435,0.140501,0.076316,33.277242,4963,-0.227600,2015,0,0,0,1,1.400000,1.400000,1.150000,,
