condition,tax,CAGR_IS,CAGR_OOS,CAGR_FULL,min_IS_OOS,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,Trades_yr,worst_calendar_year_return,worst_calendar_year,excess_days_L_gt_3,wfa_WFE,wfa_CI95_lo,wfa_n_windows,wfa_t_p
P09_TQQQ,pretax,0.227711,0.211710,0.226295,0.211710,1.600134,0.901306,-0.351847,0.138346,0.079309,-0.007076,29.201306,-0.187343,2015,0,1.016783301141782,0.17943450288129786,49,1.8499164081521186e-08
P09_TQQQ,aftertax,0.188385,0.175148,0.187214,0.175148,1.600134,0.901306,-0.351847,0.114454,0.065612,-0.005854,29.201306,-0.187343,2015,0,1.016783301141782,0.17943450288129786,49,1.8499164081521186e-08
LU1_tqqq,pretax,0.235471,0.219067,0.234017,0.219067,1.640323,0.903092,-0.349508,0.149558,0.083660,-0.000871,35.229099,-0.192208,2015,0,,,,
LU1_tqqq,aftertax,0.194805,0.181234,0.193602,0.181234,1.640323,0.903092,-0.349508,0.123729,0.069212,-0.000721,35.229099,-0.192208,2015,0,,,,
LU1_cfd,pretax,0.234394,0.218167,0.232957,0.218167,1.622698,0.900235,-0.349546,0.148334,0.082392,-0.002321,35.229099,-0.193198,2015,2047,1.0121696551100778,0.18563938976441807,49,1.7786917272970114e-08
LU1_cfd,aftertax,0.193915,0.180490,0.192726,0.180490,1.622698,0.900235,-0.349546,0.122717,0.068163,-0.001920,35.229099,-0.193198,2015,2047,1.0121696551100778,0.18563938976441807,49,1.7786917272970114e-08
LU2_tqqq,pretax,0.252728,0.231151,0.250787,0.231151,2.157687,0.882215,-0.386422,0.153272,0.084328,-0.008971,29.201306,-0.208626,2015,0,,,,
LU2_tqqq,aftertax,0.209082,0.191231,0.207476,0.191231,2.157687,0.882215,-0.386422,0.126802,0.069765,-0.007422,29.201306,-0.208626,2015,0,,,,
LU2_cfd,pretax,0.249420,0.227618,0.247458,0.227618,2.180159,0.872002,-0.386808,0.149565,0.080941,-0.012554,29.201306,-0.210505,2015,4590,0.9877587037310057,0.19739993795955457,49,3.724834061274471e-08
LU2_cfd,aftertax,0.206345,0.188309,0.204722,0.188309,2.180159,0.872002,-0.386808,0.123735,0.066963,-0.010386,29.201306,-0.210505,2015,4590,0.9877587037310057,0.19739993795955457,49,3.724834061274471e-08
