scenario,config,f,cash_type,min9_pct,drag_pp,CAGR_IS_pct,CAGR_OOS_pct,Sharpe_OOS,MaxDD_pct,Worst10Y_star_pct,P10_5Y_pct,f_cal
uniform,scale1.35_strong,0.0,SOFR,23.8321,0.0,26.7727,23.8321,0.8819,-45.0414,17.434,8.9596,
uniform,scale1.35_strong,0.08,SOFR,22.4943,-1.3378,25.0726,22.4943,0.8903,-41.9425,16.3199,8.7138,
uniform,scale1.35_strong,0.1,SOFR,22.1487,-1.6834,24.6422,22.1487,0.8926,-41.1495,16.0329,8.6434,
uniform,scale1.35_strong,0.12,SOFR,21.7986,-2.0335,24.2097,21.7986,0.8951,-40.3493,15.7427,8.5958,
uniform,scale1.35_strong,0.15,SOFR,21.2655,-2.5667,23.5573,21.2655,0.8989,-39.1351,15.3012,8.4838,
risk_calibrated,scale1.35_strong,0.1968,SOFR,20.4147,-3.4174,,,,,,,0.1968
uniform,scale1.35_strong,0.1,zero,21.7849,-2.0472,,,,,,,
uniform,scale1.25_default,0.0,SOFR,22.0737,0.0,24.5327,22.0737,0.8924,-40.4367,15.4162,8.317,
uniform,scale1.25_default,0.08,SOFR,20.7979,-1.2758,22.9781,20.7979,0.9018,-37.6496,14.4048,8.0948,
uniform,scale1.25_default,0.1,SOFR,20.4704,-1.6033,22.5855,20.4704,0.9043,-36.9373,14.1455,8.041,
uniform,scale1.25_default,0.12,SOFR,20.1396,-1.9341,22.1913,20.1396,0.9071,-36.2187,13.8838,7.9597,
uniform,scale1.25_default,0.15,SOFR,19.6372,-2.4365,21.5972,19.6372,0.9114,-35.129,13.4866,7.8929,
risk_calibrated,scale1.25_default,0.144,SOFR,19.7383,-2.3354,,,,,,,0.144
uniform,scale1.25_default,0.1,zero,20.1125,-1.9612,,,,,,,
uniform,B3a,0.0,SOFR,20.976,0.0,23.1035,20.976,0.9042,-38.204,14.5328,8.0827,
uniform,B3a,0.08,SOFR,19.742,-1.234,21.6432,19.742,0.9143,-35.5285,13.5578,7.8309,
uniform,B3a,0.1,SOFR,19.4266,-1.5494,21.2748,19.4266,0.9171,-34.8457,13.3088,7.7458,
uniform,B3a,0.12,SOFR,19.1084,-1.8676,20.9053,19.1084,0.92,-34.1573,13.0577,7.7016,
uniform,B3a,0.15,SOFR,18.6261,-2.3499,20.3487,18.6261,0.9246,-33.1141,12.6773,7.6309,
risk_calibrated,B3a,0.11712,SOFR,19.1544,-1.8216,,,,,,,0.11712
uniform,B3a,0.1,zero,19.0723,-1.9037,,,,,,,
uniform,P09,0.0,SOFR,17.765,0.0,19.881,17.765,0.9114,-34.9879,11.4888,7.0144,
uniform,P09,0.08,SOFR,16.7133,-1.0517,18.6463,16.7133,0.9237,-32.4843,10.6998,6.8506,
uniform,P09,0.1,SOFR,16.4459,-1.319,18.3356,16.4459,0.9271,-31.8466,10.4992,6.7584,
uniform,P09,0.12,SOFR,16.1769,-1.588,18.0242,16.1769,0.9306,-31.2041,10.2974,6.7253,
uniform,P09,0.15,SOFR,15.7702,-1.9948,17.5557,15.7702,0.9362,-30.2314,9.9923,6.676,
risk_calibrated,P09,0.0192,SOFR,17.5152,-0.2498,,,,,,,0.0192
uniform,P09,0.1,zero,16.1019,-1.663,,,,,,,
