config,margin_rate,margin_label,CAGR_IS_at,CAGR_OOS_at,min9_at,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star_at,P10_5Y_at,Worst5Y_at,Trades_yr,worst_cy,worst_cy_year,n_capped_days,capped_ratio_pct,avg_cap_amount,avg_margin_pct_all,avg_margin_pct_in,min9_delta_vs_unc_pp
scale1.35_strong,0.000000,unconstrained,0.267727,0.238321,0.238321,3.554418,0.881943,-0.450414,0.174340,0.089596,0.003281,35.229099,-0.262428,2015,0,0.000000,0.000000,0.000000,0.000000,0.000000
scale1.35_strong,0.042400,m4.24pct,0.190984,0.137041,0.137041,6.520372,0.728729,-0.365416,0.106488,0.068833,0.008071,35.229099,-0.191305,2015,5743,43.610000,1.324255,0.000000,0.000000,-10.128100
scale1.35_strong,0.080000,m8pct,0.190984,0.137041,0.137041,6.520372,0.728729,-0.365416,0.106488,0.068833,0.008071,35.229099,-0.191305,2015,5743,43.610000,1.324255,0.000000,0.000000,-10.128100
scale1.35_strong,0.120000,m12pct,0.190984,0.137041,0.137041,6.520372,0.728729,-0.365416,0.106488,0.068833,0.008071,35.229099,-0.191305,2015,5743,43.610000,1.324255,0.000000,0.000000,-10.128100
scale1.25_default,0.000000,unconstrained,0.245327,0.220737,0.220737,2.972396,0.892432,-0.404367,0.154162,0.083170,-0.000417,33.277242,-0.239453,2015,0,0.000000,0.000000,0.000000,0.000000,0.000000
scale1.25_default,0.042400,m4.24pct,0.189892,0.135922,0.135922,6.523608,0.731742,-0.351667,0.104523,0.067077,0.004771,33.277242,-0.189177,2015,5441,41.316700,0.908654,0.000000,0.000000,-8.481400
scale1.25_default,0.080000,m8pct,0.189892,0.135922,0.135922,6.523608,0.731742,-0.351667,0.104523,0.067077,0.004771,33.277242,-0.189177,2015,5441,41.316700,0.908654,0.000000,0.000000,-8.481400
scale1.25_default,0.120000,m12pct,0.189892,0.135922,0.135922,6.523608,0.731742,-0.351667,0.104523,0.067077,0.004771,33.277242,-0.189177,2015,5441,41.316700,0.908654,0.000000,0.000000,-8.481400
B3a,0.000000,unconstrained,0.231035,0.209760,0.209760,2.571595,0.904183,-0.382040,0.145328,0.080827,0.001022,33.277242,-0.223692,2015,0,0.000000,0.000000,0.000000,0.000000,0.000000
B3a,0.042400,m4.24pct,0.188908,0.135259,0.135259,6.484880,0.734577,-0.349505,0.105315,0.067179,0.003833,33.277242,-0.186403,2015,4963,37.687000,0.661550,0.000000,0.000000,-7.450100
B3a,0.080000,m8pct,0.188908,0.135259,0.135259,6.484880,0.734577,-0.349505,0.105315,0.067179,0.003833,33.277242,-0.186403,2015,4963,37.687000,0.661550,0.000000,0.000000,-7.450100
B3a,0.120000,m12pct,0.188908,0.135259,0.135259,6.484880,0.734577,-0.349505,0.105315,0.067179,0.003833,33.277242,-0.186403,2015,4963,37.687000,0.661550,0.000000,0.000000,-7.450100
