config,scenario,margin_rate,margin_label,CAGR_IS_at,CAGR_OOS_at,min9_at,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star_at,P10_5Y_at,Worst5Y_at,Trades_yr,worst_cy,worst_cy_year,n_capped_days,capped_ratio_pct,avg_cap_amount,avg_margin_pct_all,avg_margin_pct_in,avg_opp_cost_bpyr,n_fullk365_days,min9_delta_vs_unc_pp
scale1.35_strong,UNC,0.000000,unconstrained,0.267727,0.238321,0.238321,3.554418,0.881943,-0.450414,0.174340,0.089596,0.003281,35.229099,-0.262428,2015,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000
scale1.35_strong,S1,0.042400,m4.24pct,0.265203,0.235798,0.235798,3.554419,0.875395,-0.451050,0.174079,0.087302,0.003114,35.229099,-0.262458,2015,0,0.000000,0.000000,6.109600,10.865300,24.270000,5743,-0.252400
scale1.35_strong,S1,0.080000,m8pct,0.262970,0.233565,0.233565,3.554402,0.869588,-0.451615,0.173847,0.085521,0.002965,35.229099,-0.262485,2015,0,0.000000,0.000000,11.527500,20.500500,45.790000,5743,-0.475600
scale1.35_strong,S1,0.120000,m12pct,0.260600,0.231194,0.231194,3.554364,0.863409,-0.452214,0.173600,0.083578,0.002807,35.229099,-0.262514,2015,0,0.000000,0.000000,17.291300,30.750700,68.690000,5743,-0.712700
scale1.35_strong,S2,0.042400,m4.24pct,0.262633,0.233256,0.233256,3.550970,0.868781,-0.452467,0.171254,0.084948,0.000693,35.229099,-0.263928,2015,0,0.000000,0.000000,6.109600,10.865300,24.270000,5743,-0.506500
scale1.35_strong,S2,0.080000,m8pct,0.260406,0.231029,0.231029,3.550942,0.862974,-0.453030,0.171022,0.083060,0.000545,35.229099,-0.263955,2015,0,0.000000,0.000000,11.527500,20.500500,45.790000,5743,-0.729200
scale1.35_strong,S2,0.120000,m12pct,0.258040,0.228664,0.228664,3.550894,0.856795,-0.453628,0.170776,0.081246,0.000387,35.229099,-0.263984,2015,0,0.000000,0.000000,17.291300,30.750700,68.690000,5743,-0.965700
scale1.35_strong,S3,0.042400,m4.24pct,0.262151,0.232399,0.232399,3.596224,0.866544,-0.453457,0.170936,0.084495,0.000501,35.229099,-0.263928,2015,0,0.000000,0.000000,6.585200,11.747600,26.310000,13169,-0.592200
scale1.35_strong,S3,0.080000,m8pct,0.259747,0.229833,0.229833,3.615885,0.859845,-0.454189,0.170684,0.082578,0.000338,35.229099,-0.263955,2015,0,0.000000,0.000000,12.424800,22.165300,49.630000,13169,-0.848800
scale1.35_strong,S3,0.120000,m12pct,0.257196,0.227109,0.227109,3.636679,0.852718,-0.454967,0.170417,0.080458,0.000165,35.229099,-0.263984,2015,0,0.000000,0.000000,18.637300,33.248000,74.450000,13169,-1.121200
scale1.25_default,UNC,0.000000,unconstrained,0.245327,0.220737,0.220737,2.972396,0.892432,-0.404367,0.154162,0.083170,-0.000417,33.277242,-0.239453,2015,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000
scale1.25_default,S1,0.042400,m4.24pct,0.243204,0.218572,0.218572,2.977322,0.886070,-0.404629,0.153947,0.081532,-0.000556,33.277242,-0.239479,2015,0,0.000000,0.000000,5.259600,9.353000,20.870000,5441,-0.216400
scale1.25_default,S1,0.080000,m8pct,0.241324,0.216657,0.216657,2.981661,0.880428,-0.404861,0.153756,0.079871,-0.000680,33.277242,-0.239503,2015,0,0.000000,0.000000,9.923800,17.647200,39.390000,5441,-0.408000
scale1.25_default,S1,0.120000,m12pct,0.239328,0.214622,0.214622,2.986248,0.874425,-0.405108,0.153553,0.078586,-0.000812,33.277242,-0.239528,2015,0,0.000000,0.000000,14.885700,26.470900,59.080000,5441,-0.611400
scale1.25_default,S2,0.042400,m4.24pct,0.240808,0.216160,0.216160,2.979322,0.878962,-0.404904,0.151322,0.079269,-0.002888,33.277242,-0.240963,2015,0,0.000000,0.000000,5.259600,9.353000,20.870000,5441,-0.457700
scale1.25_default,S2,0.080000,m8pct,0.238932,0.214249,0.214249,2.983636,0.873319,-0.405135,0.151131,0.077824,-0.003011,33.277242,-0.240986,2015,0,0.000000,0.000000,9.923800,17.647200,39.390000,5441,-0.648800
scale1.25_default,S2,0.120000,m12pct,0.236940,0.212219,0.212219,2.988197,0.867315,-0.405382,0.150929,0.076424,-0.003143,33.277242,-0.241011,2015,0,0.000000,0.000000,14.885700,26.470900,59.080000,5441,-0.851800
scale1.25_default,S3,0.042400,m4.24pct,0.240197,0.215274,0.215274,3.012624,0.876331,-0.404904,0.150903,0.078868,-0.003138,33.277242,-0.240994,2015,0,0.000000,0.000000,5.856500,10.458400,23.430000,13169,-0.546300
scale1.25_default,S3,0.080000,m8pct,0.238097,0.213012,0.213012,3.032217,0.869641,-0.405135,0.150685,0.076777,-0.003281,33.277242,-0.241018,2015,0,0.000000,0.000000,11.050000,19.732800,44.220000,13169,-0.772500
scale1.25_default,S3,0.120000,m12pct,0.235868,0.210611,0.210611,3.052956,0.862524,-0.405382,0.150453,0.075065,-0.003433,33.277242,-0.241044,2015,0,0.000000,0.000000,16.575000,29.599200,66.320000,13169,-1.012600
B3a,UNC,0.000000,unconstrained,0.231035,0.209760,0.209760,2.571595,0.904183,-0.382040,0.145328,0.080827,0.001022,33.277242,-0.223692,2015,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000
