section,key,value,note,L,clearance_dist_A_pct,nasdaq_return_pct,regime,excess_L_minus3,margin_rate_pct,intraday_add_pct,threshold_drop_pct,loss_at_liq_pct_AUM,loss_at_liq_JPY,risk_level,scenario,worst_1d_pct,cumulative_pct,n_days,n_liquidations,final_nav_liq,final_nav_base,cagr_liq,cagr_base,cagr_gap_pp,min9_liq,min9_base,min9_gap_pp,maxdd_liq,maxdd_base,maxdd_gap_pp,account_model,scenario_key,date,excess_n_pct,nasdaq_drop_pct,eff_drop_pct,liq_loss_pct_AUM,liq_loss_JPY,max_excess_date,max_excess_pct,max_L,worst_drop_date,worst_drop_pct,worst_combined_loss_pct_AUM,worst_combined_loss_JPY
sanity,min9_got_pct,23.8321,expect +23.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,maxdd_got_pct,-45.0414,expect -45.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,max_L_in,6.48,expect ~6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,gt3x_ratio_pct,43.61,expect ~43.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct,mar_rate_pct,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct,n_k365_days,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsA,label,Account_A,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsA,n_k365_days,5454,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsA,min,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1_mar_4.24pct_statsA,p1,4.24,clearance_dist_%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
