section,margin_rate_pct,intraday_add_pct,n_liquidations,n_margin_calls,n_pure_path_liq,cagr_base_pct,cagr_path_pct,cagr_gap_pp,min9_base_pct,min9_path_pct,min9_gap_pp,maxdd_base_pct,maxdd_path_pct,maxdd_gap_pp,date,L,excess_n_pct,k365_equity_pct,required_margin_pct,nasdaq_ret_pct,eff_ret_pct,liq_loss_pct_AUM,liq_loss_JPY,pure_path_effect,n_liq_M3_single_day,n_liq_M6_path_dep,n_liq_delta,n_pure_path_only_liq,cagr_M3_pct,cagr_M6_pct,cagr_gap_M3_vs_base_pp,cagr_gap_M6_vs_base_pp,cagr_gap_M6_vs_M3_pp,maxdd_M3_pct,maxdd_M6_pct,maxdd_gap_M6_vs_M3_pp,min9_gap_M6_vs_base_pp,crisis,margin_label,period,n_crisis_days,nasdaq_cumret_pct,worst_single_day_pct,total_equity_destroyed_pct_AUM,total_equity_destroyed_JPY
M6_full_m4.24pct_id0,4.24,0.0,1.0,1.0,1.0,32.0353,32.1597,0.1243,28.8071,28.8071,-0.0,-45.0414,-45.0414,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6_event_m4.24pct_id0,,,,,,,,,,,,,,,1975-10-23,6.4446,275.102,9.749,11.6643,-1.0772,-1.0772,9.749,2924712.0,True,,,,,,,,,,,,,,,,,,,,,
M6_full_m4.24pct_id10,4.24,10.0,3.0,3.0,3.0,32.0353,32.1054,0.07,28.8071,28.8071,0.0,-45.0414,-45.0414,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6_event_m4.24pct_id10,,,,,,,,,,,,,,,1975-10-22,6.4446,275.102,11.451,11.6643,0.612,0.612,11.451,3435302.0,True,,,,,,,,,,,,,,,,,,,,,
M6_event_m4.24pct_id10,,,,,,,,,,,,,,,1977-05-24,6.075,246.0,9.2702,10.4304,-0.5044,-0.5548,9.2702,2781064.0,True,,,,,,,,,,,,,,,,,,,,,
M6_event_m4.24pct_id10,,,,,,,,,,,,,,,1977-11-28,5.7355,211.2062,8.3539,8.9551,-0.2588,-0.2847,8.3539,2506166.0,True,,,,,,,,,,,,,,,,,,,,,
M6_full_m8pct_id0,8.0,0.0,3.0,3.0,3.0,32.0353,32.114,0.0787,28.8071,28.8071,0.0,-45.0414,-45.0414,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6_event_m8pct_id0,,,,,,,,,,,,,,,1975-10-20,5.4327,184.7862,13.4776,14.7829,0.6441,0.6441,13.4776,4043276.0,True,,,,,,,,,,,,,,,,,,,,,
M6_event_m8pct_id0,,,,,,,,,,,,,,,1977-05-23,6.075,246.0,18.8915,19.68,-0.8673,-0.8673,18.8915,5667454.0,True,,,,,,,,,,,,,,,,,,,,,
M6_event_m8pct_id0,,,,,,,,,,,,,,,1977-11-28,5.7355,211.2062,16.3499,16.8965,-0.2588,-0.2588,16.3499,4904970.0,True,,,,,,,,,,,,,,,,,,,,,
M6_full_m8pct_id10,8.0,10.0,4.0,4.0,4.0,32.0353,32.1951,0.1598,28.8071,28.8071,0.0,-45.0414,-45.0414,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6_event_m8pct_id10,,,,,,,,,,,,,,,1975-10-20,5.4327,184.7862,12.2162,14.7829,0.6441,0.6441,12.2162,3664860.0,True,,,,,,,,,,,,,,,,,,,,,
M6_event_m8pct_id10,,,,,,,,,,,,,,,1977-03-24,6.075,243.0305,19.4019,19.4424,-0.2297,-0.2527,19.4019,5820574.0,True,,,,,,,,,,,,,,,,,,,,,
M6_event_m8pct_id10,,,,,,,,,,,,,,,1977-05-20,5.1329,162.3611,12.3352,12.9889,-0.366,-0.4026,12.3352,3700565.0,True,,,,,,,,,,,,,,,,,,,,,
M6_event_m8pct_id10,,,,,,,,,,,,,,,1977-11-28,5.7355,211.2062,16.2952,16.8965,-0.2588,-0.2847,16.2952,4888572.0,True,,,,,,,,,,,,,,,,,,,,,
M6_full_m12pct_id0,12.0,0.0,5.0,5.0,5.0,32.0353,32.2017,0.1664,28.8071,28.8071,-0.0,-45.0414,-45.0414,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6_event_m12pct_id0,,,,,,,,,,,,,,,1975-10-20,5.4327,184.7862,16.8376,22.1743,0.6441,0.6441,16.8376,5051276.0,True,,,,,,,,,,,,,,,,,,,,,
