delta,k_days,fbar,n_windows,n_shallower,n_deeper,binom_p_onesided,mean_dd_edge_pp,verdict,type2_error,maxdd_oracle,maxdd_base,maxdd_improve_pp,actiondays_dotcom_2000,actiondays_gfc_2008,actiondays_covid_2020,actiondays_bear_2022,actiondays_tri_2015,check,label,variant,fbar_definition
0.0,0.0,0.0,5,0,5.0,1.0,0.0,TIMING_WEAK,False,-0.34987921443897807,-0.34987921443897807,0.0,0.0,0.0,0.0,0.0,0.0,1_power_analysis,,,
0.05,0.0,0.0009138940454091112,5,1,4.0,0.96875,0.15760398752509008,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,20.0,0.0,0.0,108.0,1_power_analysis,,,
0.05,5.0,0.0009138940454091112,5,1,4.0,0.96875,0.15760398752509008,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,20.0,0.0,0.0,108.0,1_power_analysis,,,
0.05,10.0,0.0008853348564900764,5,1,4.0,0.96875,0.15769546156519265,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,16.0,0.0,0.0,108.0,1_power_analysis,,,
0.1,0.0,0.0018277880908182205,5,1,4.0,0.96875,0.3159963302333879,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,20.0,0.0,0.0,108.0,1_power_analysis,,,
0.1,5.0,0.0018277880908182205,5,1,4.0,0.96875,0.3159963302333879,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,20.0,0.0,0.0,108.0,1_power_analysis,,,
0.1,10.0,0.0017706697129801512,5,1,4.0,0.96875,0.3161792946952202,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,16.0,0.0,0.0,108.0,1_power_analysis,,,
0.2,0.0,0.003655576181636441,5,1,4.0,0.96875,0.6329700666954863,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,20.0,0.0,0.0,108.0,1_power_analysis,,,
0.2,5.0,0.003655576181636441,5,1,4.0,0.96875,0.6329700666954863,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,20.0,0.0,0.0,108.0,1_power_analysis,,,
0.2,10.0,0.0035413394259603023,5,1,4.0,0.96875,0.6333360611268346,TIMING_WEAK,True,-0.34987921443897807,-0.34987921443897807,0.0,0.0,16.0,0.0,0.0,108.0,1_power_analysis,,,
