# SECTION1: OOS_BOUNDARY_SENSITIVITY
config,oos_start,is_end,canonical,n_is,n_oos,CAGR_IS_at,CAGR_OOS_at,min9_at,gap_pp
B3a,2019-05-01,2019-04-30,0,11433,1736,22.0576,28.7049,22.0576,-6.6473
scale125,2019-05-01,2019-04-30,0,11433,1736,23.4192,30.3546,23.4192,-6.9354
scale135,2019-05-01,2019-04-30,0,11433,1736,25.589,32.717,25.589,-7.128
combo_e060_sc125,2019-05-01,2019-04-30,0,11433,1736,23.3231,30.6901,23.3231,-7.367
B3a,2020-05-01,2020-04-30,0,11686,1483,22.4382,26.7089,22.4382,-4.2707
scale125,2020-05-01,2020-04-30,0,11686,1483,23.7905,28.4798,23.7905,-4.6893
scale135,2020-05-01,2020-04-30,0,11686,1483,25.9449,31.0007,25.9449,-5.0558
combo_e060_sc125,2020-05-01,2020-04-30,0,11686,1483,23.3178,32.0426,23.3178,-8.7249
B3a,2021-05-08,2021-05-07,1,11943,1226,23.1035,21.0506,21.0506,2.0528
scale125,2021-05-08,2021-05-07,1,11943,1226,24.5327,22.1491,22.1491,2.3836
scale135,2021-05-08,2021-05-07,1,11943,1226,26.7727,23.9088,23.9088,2.8639
combo_e060_sc125,2021-05-08,2021-05-07,1,11943,1226,24.2891,24.0434,24.0434,0.2457
B3a,2022-05-01,2022-04-30,0,12190,979,23.0961,20.6285,20.6285,2.4676
scale125,2022-05-01,2022-04-30,0,12190,979,24.5292,21.5994,21.5994,2.9298
scale135,2022-05-01,2022-04-30,0,12190,979,26.7808,23.1005,23.1005,3.6803
combo_e060_sc125,2022-05-01,2022-04-30,0,12190,979,24.6109,20.0655,20.0655,4.5454
B3a,2023-05-01,2023-04-30,0,12440,729,22.7054,26.4757,22.7054,-3.7703
scale125,2023-05-01,2023-04-30,0,12440,729,24.1049,27.8449,24.1049,-3.74
scale135,2023-05-01,2023-04-30,0,12440,729,26.3018,29.9908,26.3018,-3.6889
combo_e060_sc125,2023-05-01,2023-04-30,0,12440,729,24.1846,25.6688,24.1846,-1.4842

# SECTION2: REGIME_WORST5Y (canonical boundary)
config,min9_at_canon_pp,CAGR_IS_canon_pp,CAGR_OOS_canon_pp,MaxDD_pretax_pp,bear_CAGR_at_pp,bull_CAGR_at_pp,highvol_CAGR_at_pp,calm_CAGR_at_pp,rateup_CAGR_at_pp,ratedn_CAGR_at_pp,regime_min_at_pp,Worst5Y_at_pp,Worst5Y_negative
B3a,21.0506,23.1035,21.0506,-38.2,-2.88,34.74,26.38,19.12,18.38,26.56,-2.88,0.1022,0
scale125,22.1491,24.5327,22.1491,-40.44,-3.75,37.42,28.0,20.32,19.48,28.26,-3.75,-0.0417,1
scale135,23.9088,26.7727,23.9088,-45.04,-5.4,41.87,30.66,22.1,21.41,30.76,-5.4,0.3281,0
combo_e060_sc125,24.0434,24.2891,24.0434,-48.08,-3.74,37.34,29.68,18.7,19.66,28.02,-3.74,-0.2784,1
