condition,tax,CAGR_IS,CAGR_OOS,CAGR_FULL,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,Trades_yr,cy2022_return,worst_calendar_year_return,worst_calendar_year
C1_baseline_V7,pretax,0.18220381334284497,0.18848178861252252,0.18278663332913814,-0.6277975269677549,0.8274214319208699,-0.34661441382696956,0.10676131043563752,0.04875242207746297,-0.011756630446227545,25.201913584934317,-0.0026656244263202344,-0.1685365148572484,1990
C1_baseline_V7,aftertax,0.15073721477853566,0.15593098371913988,0.151219381753196,-0.6277975269677549,0.8274214319208699,-0.34661441382696956,0.08832363212340293,0.04033287878468512,-0.009726260368164048,25.201913584934317,-0.0026656244263202344,-0.1685365148572484,1990
P13_fixed_50_50,pretax,0.22600685167185453,0.17166287157542293,0.22085305269799593,5.43439800964316,0.754256130217526,-0.3588425500873733,0.12533392061448279,0.07825210572753889,-0.013638949699072644,29.201306097653582,-0.14355339521946386,-0.185068600194222,2015
P13_fixed_50_50,aftertax,0.18697546838812526,0.14201669365434738,0.18271173049705206,5.43439800964316,0.754256130217526,-0.3588425500873733,0.10368875252436162,0.06473796706839292,-0.0112835030860428,29.201306097653582,-0.14355339521946386,-0.185068600194222,2015
P01_w63,pretax,0.2314663477705794,0.1733794361017309,0.2259389730602912,5.8086911668848495,0.764443294505739,-0.3521515018099074,0.1273304474643191,0.08220409285118507,-0.01178389631872312,29.201306097653582,-0.13956735156252287,-0.19565923719649825,2015
P01_w63,aftertax,0.19149210951060033,0.14343680748696197,0.18691931241277893,5.8086911668848495,0.764443294505739,-0.3521515018099074,0.10534047918723119,0.06800744601578541,-0.009748817424479637,29.201306097653582,-0.13956735156252287,-0.19565923719649825,2015
P01_w21,pretax,0.2297355695752561,0.17361770858468994,0.22438481854831904,5.611786099056615,0.765511878472345,-0.3553207938885188,0.12677462121481864,0.08103283331758519,-0.014032735973377952,29.201306097653582,-0.14179080647526587,-0.2011255697938057,2015
P01_w21,aftertax,0.19006023670960936,0.143633930312114,0.18563356038502435,5.611786099056615,0.765511878472345,-0.3553207938885188,0.10488064413101947,0.06703846300363824,-0.01160928247077558,29.201306097653582,-0.14179080647526587,-0.2011255697938057,2015
P01_w126,pretax,0.22966238271018913,0.1740985117061835,0.2243697216287881,5.556387100400562,0.7667762132049004,-0.35276574076933276,0.1280209971192645,0.0816192866381265,-0.010349956756141032,29.201306097653582,-0.13670115285249362,-0.1923333926467201,2015
P01_w126,aftertax,0.18999968921613947,0.14403169873452562,0.1856210707034964,5.556387100400562,0.7667762132049004,-0.35276574076933276,0.10591177091676754,0.06752363583572205,-0.008562519224355476,29.201306097653582,-0.13670115285249362,-0.1923333926467201,2015
