condition,tax,desc,CAGR_IS,CAGR_OOS,CAGR_FULL,IS_OOS_gap_pp,Sharpe_OOS,MaxDD_FULL,Worst10Y_star,P10_5Y,Worst5Y,Trades_yr,repro_err_pp
C0,pretax,"DH-W1 plain (nas3, V7off)",0.192591,0.199439,0.193227,-0.684819,0.879397,-0.343789,0.115334,0.058899,-0.006393,17.643253,
C0,aftertax,"DH-W1 plain (nas3, V7off)",0.159331,0.164996,0.159857,-0.566551,0.879397,-0.343789,0.095416,0.048727,-0.005289,17.643253,
C1,pretax,"Baseline V7 (nas3, V7) [VALIDATION TARGET]",0.197528,0.201591,0.197906,-0.406338,0.872744,-0.343789,0.121414,0.062769,0.004052,25.221049,spec_literal=1.5324;structural_calib=0.0000
C1,aftertax,"Baseline V7 (nas3, V7) [VALIDATION TARGET]",0.163415,0.166776,0.163727,-0.336164,0.872744,-0.343789,0.100446,0.051929,0.003352,25.221049,spec_literal=1.5324;structural_calib=0.0000
C2,pretax,"P03 only T+5 (nas{3,1}+5, V7off)",0.143557,0.160566,0.145130,-1.700908,0.790163,-0.417745,0.055956,0.026342,-0.081681,23.441415,
C2,aftertax,"P03 only T+5 (nas{3,1}+5, V7off)",0.118765,0.132836,0.120066,-1.407161,0.790163,-0.417745,0.046292,0.021793,-0.067575,23.441415,
C3,pretax,"P03+V7 T+5 (nas{3,1}+5, V7)",0.145341,0.163124,0.146985,-1.778258,0.795388,-0.410882,0.059168,0.025966,-0.078086,30.081555,
C3,aftertax,"P03+V7 T+5 (nas{3,1}+5, V7)",0.120241,0.134953,0.121601,-1.471152,0.795388,-0.410882,0.048949,0.021482,-0.064601,30.081555,
C3b,pretax,"P03+V7 no-lag diag (nas{3,1}+2, V7)",0.163454,0.165046,0.163602,-0.159246,0.804065,-0.371048,0.078984,0.036011,-0.062814,25.221049,
C3b,aftertax,"P03+V7 no-lag diag (nas{3,1}+2, V7)",0.135225,0.136543,0.135348,-0.131744,0.804065,-0.371048,0.065343,0.029792,-0.051966,25.221049,
