bin,n,p09_median_5d_pct,p09_cagr_pct,p09_pct_pos,lu1_median_5d_pct,lu1_cagr_pct,lu1_pct_pos
IN_Q0_lo,314,-0.1184,0.9712,47.7707,-0.1211,1.1568,47.1338
IN_Q0_hi,182,1.8134,121.3413,69.2308,2.0949,146.0590,68.1319
IN_Q1_lo,482,0.5831,26.0823,59.1286,0.6235,27.2067,58.5062
IN_Q1_hi,1183,0.8862,50.1201,58.7489,0.9153,53.1623,59.0871
IN_Q2_lo,372,0.6471,24.2680,60.7527,0.6148,24.2945,60.7527
IN_Q2_hi,1929,0.7550,32.9442,59.2017,0.7997,34.5011,59.1498
IN_Q3_lo,101,0.6825,27.4765,57.4257,0.7259,27.4520,57.4257
IN_Q3_hi,2435,1.0704,47.1993,59.1376,1.0691,47.2572,59.0144
OUT_bondON,3091,0.1905,10.5806,56.1954,0.1905,10.5839,56.1954
OUT_bondOFF,3074,0.0300,1.3253,51.4314,0.0300,1.3229,51.4314
