date,close,lev_raw,wn_A,wg_A,wb_A,vz,lt_sig,lev_mod_065,w1_mask,mom63,mult_p09,mult_lu1,L_p09,L_lu1,fund_active,gold_1x,bond_1x,w_g,w_b,bond_on,w_b_eff
2023-03-22,11669.95996094,1.00000000,0.80000000,0.10000000,0.10000000,-0.59320351,-0.45803921,1.00000000,1.00000000,0.10126900,1.00000000,1.00000000,3.00000000,3.15000000,0,1941.85000000,21.33879542,0.51050624,0.48949376,0,0.00000000
2023-03-23,11787.40039062,1.00000000,0.80000000,0.10000000,0.10000000,-0.79624108,-0.32534556,1.00000000,1.00000000,0.11117900,1.00000000,1.00000000,3.00000000,3.15000000,0,1977.55000000,21.40325816,0.51050624,0.48949376,0,0.00000000
2023-03-24,11823.95996094,1.00000000,0.80000000,0.10000000,0.10000000,-1.06236964,0.01264842,0.99936758,1.00000000,0.09900900,1.00000000,1.00000000,3.00000000,3.00000000,0,1996.15000000,21.46803014,0.48470993,0.51529007,0,0.00000000
2023-03-27,11768.83984375,1.00000000,0.80000000,0.10000000,0.10000000,-1.21071416,-0.14255745,1.00000000,1.00000000,0.11635700,1.00000000,1.00000000,3.00000000,3.00000000,0,1960.25000000,21.06824618,0.48470993,0.51529007,0,0.00000000
2023-03-28,11716.08007812,1.00000000,0.80000000,0.10000000,0.10000000,-1.36523285,-0.06602023,1.00000000,1.00000000,0.10979100,1.00000000,1.00000000,3.00000000,3.00000000,0,1949.85000000,21.07139805,0.48470993,0.51529007,0,0.00000000
2023-03-29,11926.24023438,1.00000000,0.80000000,0.10000000,0.10000000,-1.12330014,-0.43348679,1.00000000,1.00000000,0.14144200,1.00000000,1.00000000,3.00000000,3.00000000,0,1965.85000000,21.04455032,0.48470993,0.51529007,0,0.00000000
2023-03-30,12013.46972656,1.00000000,0.80000000,0.10000000,0.10000000,-1.32451559,-0.36209023,1.00000000,1.00000000,0.16233900,1.00000000,1.00000000,3.00000000,3.00000000,0,1968.10000000,21.16742717,0.48470993,0.51529007,0,0.00000000
2023-03-31,12221.91015625,1.00000000,0.80000000,0.10000000,0.10000000,-1.27349510,-0.41883573,1.00000000,1.00000000,0.15394400,1.00000000,1.00000000,3.00000000,3.00000000,0,1978.80000000,21.38220030,0.47595367,0.52404633,0,0.00000000
2023-04-03,12189.45019531,1.00000000,0.80000000,0.10000000,0.10000000,-1.33937817,-0.48899098,1.00000000,1.00000000,0.15239300,1.00000000,1.00000000,3.00000000,3.00000000,0,1963.10000000,21.47761981,0.47595367,0.52404633,0,0.00000000
2023-04-04,12126.33007812,1.00000000,0.80000000,0.10000000,0.10000000,-1.37103143,-0.55549555,1.00000000,1.00000000,0.15482600,1.00000000,1.00000000,3.00000000,3.00000000,0,1982.25000000,21.60474209,0.47595367,0.52404633,0,0.00000000
2023-04-05,11996.86035156,1.00000000,0.80000000,0.10000000,0.10000000,-1.27157568,-0.87556126,1.00000000,1.00000000,0.13720500,1.00000000,1.00000000,3.00000000,3.00000000,0,2022.30000000,21.73311738,0.47595367,0.52404633,0,0.00000000
2023-04-06,12087.95996094,1.00000000,0.80000000,0.10000000,0.10000000,-1.38877167,-0.73464818,1.00000000,1.00000000,0.15955700,1.00000000,1.00000000,3.00000000,3.00000000,0,2017.25000000,21.79947496,0.47595367,0.52404633,0,0.00000000
2023-04-10,12084.36035156,1.00000000,0.80000000,0.10000000,0.10000000,-1.55054487,-0.84173156,1.00000000,1.00000000,0.13395900,1.00000000,1.00000000,3.00000000,3.00000000,0,2017.25000000,21.54806953,0.46490402,0.53509598,0,0.00000000
2023-04-11,12031.87988281,1.00000000,0.80000000,0.10000000,0.10000000,-1.64089099,-0.95504281,1.00000000,1.00000000,0.12334800,1.00000000,1.00000000,3.00000000,3.00000000,0,2001.50000000,21.55116492,0.46490402,0.53509598,0,0.00000000
2023-04-12,11929.33984375,1.00000000,0.80000000,0.10000000,0.10000000,-1.64065819,-0.94328455,1.00000000,1.00000000,0.10478100,1.00000000,1.00000000,3.00000000,3.00000000,0,2008.90000000,21.49190526,0.46490402,0.53509598,0,0.00000000
2023-04-13,12166.26953125,1.00000000,0.80000000,0.10000000,0.10000000,-1.10607200,-0.58980690,1.00000000,1.00000000,0.10700300,1.00000000,1.00000000,3.00000000,3.00000000,0,2027.10000000,21.33988158,0.46490402,0.53509598,0,0.00000000
2023-04-14,12123.46972656,1.00000000,0.80000000,0.10000000,0.10000000,-1.25804028,-0.79247821,1.00000000,1.00000000,0.09714800,1.00000000,1.00000000,3.00000000,3.00000000,0,2035.65000000,21.18979554,0.46490402,0.53509598,0,0.00000000
2023-04-17,12157.71972656,1.00000000,0.80000000,0.10000000,0.10000000,-1.43577644,-0.77361351,1.00000000,1.00000000,0.09289800,1.00000000,1.00000000,3.00000000,3.00000000,0,2009.80000000,20.98108513,0.45911593,0.54088407,0,0.00000000
2023-04-18,12153.41015625,1.00000000,0.80000000,0.10000000,0.10000000,-1.58154870,-0.87925102,1.00000000,1.00000000,0.09110500,1.00000000,1.00000000,3.00000000,3.00000000,0,1999.30000000,21.04374709,0.45911593,0.54088407,0,0.00000000
2023-04-19,12157.23046875,1.00000000,0.80000000,0.10000000,0.10000000,-1.71115179,-0.94600473,1.00000000,1.00000000,0.10394500,1.00000000,1.00000000,3.00000000,3.00000000,0,1976.10000000,21.04691200,0.45911593,0.54088407,0,0.00000000
2023-04-20,12059.55957031,1.00000000,0.80000000,0.10000000,0.10000000,-1.67271966,-0.90775311,1.00000000,1.00000000,0.10548300,1.00000000,1.00000000,3.00000000,3.00000000,0,1994.05000000,21.16968391,0.45911593,0.54088407,0,0.00000000
2023-04-21,12072.45996094,1.00000000,0.80000000,0.10000000,0.10000000,-1.78038426,-1.11661047,1.00000000,1.00000000,0.08034600,1.00000000,1.00000000,3.00000000,3.00000000,0,1986.10000000,21.08222167,0.45911593,0.54088407,0,0.00000000
2023-04-24,12037.20019531,1.00000000,0.80000000,0.10000000,0.10000000,-1.86048132,-1.11638993,1.00000000,1.00000000,0.05751500,1.00000000,1.05000000,3.00000000,3.00000000,0,1986.15000000,21.23530210,0.44703152,0.55296848,0,0.00000000
2023-04-25,11799.16015625,1.00000000,0.80000000,0.10000000,0.10000000,-1.33227630,-1.03907903,1.00000000,1.00000000,0.04019800,1.00000000,1.05000000,3.00000000,3.00000000,0,1990.20000000,21.48134388,0.44703152,0.55296848,0,0.00000000
2023-04-26,11854.34960938,1.00000000,0.80000000,0.10000000,0.10000000,-1.36291232,-1.08453094,1.00000000,1.00000000,0.04671000,1.00000000,1.05000000,3.00000000,3.15000000,0,1999.05000000,21.32956901,0.44703152,0.55296848,0,0.00000000
2023-04-27,12142.24023438,1.00000000,0.80000000,0.10000000,0.10000000,-0.53161367,-1.00574035,1.00000000,1.00000000,0.05326500,1.00000000,1.05000000,3.00000000,3.15000000,0,1997.65000000,21.14913242,0.44703152,0.55296848,0,0.00000000
