year,sc1.0_aftertax_pct
1975,1.52
1976,44.03
1977,-7.86
1978,50.46
1979,23.6
1980,23.68
1981,-4.02
1982,69.53
1983,39.58
1984,-2.4
1985,45.38
1986,27.6
1987,41.86
1988,-9.18
1989,24.63
1990,-12.59
1991,27.31
1992,27.23
1993,10.15
1994,-2.53
1995,54.55
1996,13.36
1997,21.21
1998,45.12
1999,70.95
2000,-6.1
2001,2.79
2002,15.0
2003,74.6
2004,4.72
2005,2.6
2006,37.16
2007,19.0
2008,20.34
2009,20.39
2010,52.09
2011,13.42
2012,26.91
2013,3.36
2014,2.97
2015,-15.5
2016,7.03
2017,24.79
2018,-4.13
2019,36.82
2020,72.76
2021,20.6
2022,0.67
2023,32.33
2024,19.62
2025,32.02
