year,sc1.4_aftertax_pct,sc1.6_aftertax_pct,sc1.8_aftertax_pct,sc2.0_aftertax_pct,sc2.2_aftertax_pct,sc2.4_aftertax_pct,NASDAQ_1x_BH_aftertax_pct
1974,23.44,23.44,23.44,23.44,23.44,23.44,
1975,3.04,3.62,4.10,4.50,4.79,4.97,24.62
1976,59.72,67.87,76.28,85.00,94.00,103.28,21.59
1977,-13.33,-15.99,-18.59,-21.12,-23.58,-25.98,6.06
1978,69.15,79.06,89.48,100.45,111.98,124.08,10.18
1979,20.65,18.98,17.21,15.27,13.23,11.12,23.25
1980,32.90,37.53,42.16,46.77,51.34,55.87,28.03
1981,-3.19,-2.81,-2.43,-2.06,-1.69,-1.33,-2.66
1982,92.86,105.41,118.56,132.33,146.72,161.73,15.45
1983,59.11,69.53,80.54,92.18,104.46,117.40,16.44
1984,-2.28,-2.25,-2.24,-2.26,-2.30,-2.36,-9.35
1985,59.02,66.00,73.18,80.54,88.09,95.84,26.05
1986,32.38,34.59,36.64,38.56,40.34,42.00,6.09
1987,57.41,65.74,74.41,83.44,92.83,102.58,-4.34
1988,-12.57,-14.27,-15.95,-17.63,-19.30,-20.96,12.74
1989,29.79,32.13,34.39,36.56,38.63,40.61,15.92
1990,-17.28,-19.59,-21.89,-24.16,-26.40,-28.59,-14.73
1991,35.71,39.54,43.15,46.56,49.74,52.67,47.04
1992,37.26,42.24,47.21,52.15,57.07,61.94,12.78
1993,7.66,6.27,4.79,3.22,1.57,-0.15,12.20
1994,-4.73,-5.89,-7.11,-8.37,-9.67,-11.02,-2.65
1995,76.02,87.62,99.83,112.66,126.11,140.19,33.02
1996,17.55,19.43,21.14,22.69,24.07,25.29,18.78
1997,29.84,34.17,38.52,42.90,47.28,51.67,17.90
1998,60.39,68.02,75.60,83.09,90.44,97.60,32.79
1999,107.41,127.10,147.62,168.81,190.48,212.41,70.80
2000,-10.34,-12.49,-14.66,-16.85,-19.06,-21.29,-32.50
2001,2.79,2.79,2.79,2.79,2.79,2.79,-17.42
2002,15.00,15.00,15.00,15.00,15.00,15.00,-26.08
2003,110.08,128.98,148.72,169.23,190.40,212.10,41.37
2004,3.39,2.47,1.40,0.18,-1.16,-2.62,7.11
2005,-0.91,-2.78,-4.77,-6.83,-8.97,-11.17,1.14
2006,48.70,54.49,60.24,65.97,71.63,77.22,7.88
2007,18.20,17.49,16.56,15.42,14.09,12.56,8.12
2008,20.34,20.34,20.34,20.34,20.34,20.34,-33.54
2009,30.83,35.97,41.07,46.09,51.01,55.82,36.31
2010,67.97,75.80,83.57,91.23,98.72,105.99,13.99
2011,10.34,8.60,6.76,4.84,2.85,0.81,-1.49
2012,35.19,39.19,43.06,46.78,50.33,53.70,13.16
2013,6.92,8.46,9.87,11.13,12.26,13.24,31.70
2014,1.73,1.00,0.21,-0.66,-1.59,-2.57,11.08
2015,-20.63,-23.19,-25.72,-28.22,-30.67,-33.09,4.74
2016,5.38,4.17,2.72,1.03,-0.88,-3.00,6.21
2017,33.64,38.04,42.41,46.80,51.20,55.60,23.36
2018,-5.99,-7.15,-8.41,-9.76,-11.20,-12.72,-3.21
2019,44.35,47.67,50.69,53.38,55.72,57.68,29.14
2020,101.86,117.07,132.68,148.58,164.65,180.72,36.10
2021,27.21,30.26,33.13,35.79,38.23,40.42,17.70
2022,0.67,0.67,0.67,0.67,0.67,0.67,-27.38
2023,41.19,45.06,48.46,51.41,53.87,55.83,35.92
2024,21.41,21.64,21.50,21.00,20.16,18.97,23.69
2025,38.27,41.05,43.56,45.77,47.68,49.27,16.84
