year,sc1.0_strong_aftertax_pct,sc1.4_strong_aftertax_pct,sc1.6_strong_aftertax_pct,sc1.8_strong_aftertax_pct,sc2.0_strong_aftertax_pct,sc2.2_strong_aftertax_pct,sc2.4_strong_aftertax_pct,NASDAQ_1x_BH_aftertax_pct
1974,23.44,23.44,23.44,23.44,23.44,23.44,23.44,
1975,-0.91,0.02,0.32,0.52,0.61,0.59,0.47,24.62
1976,52.35,74.15,85.98,98.44,111.56,125.34,139.81,21.59
1977,-11.21,-16.99,-19.78,-22.49,-25.13,-27.69,-30.18,6.06
1978,54.78,77.31,89.69,102.89,116.94,131.89,147.77,10.18
1979,23.85,21.50,20.12,18.61,16.97,15.20,13.32,23.25
1980,22.47,32.00,36.78,41.55,46.29,50.98,55.60,28.03
1981,-3.10,-1.83,-1.20,-0.57,0.05,0.67,1.28,-2.66
1982,69.50,93.71,106.81,120.60,135.09,150.28,166.17,15.45
1983,39.75,60.00,71.10,82.90,95.43,108.72,122.80,16.44
1984,-2.34,-2.23,-2.23,-2.27,-2.34,-2.45,-2.59,-9.35
1985,54.53,74.59,85.41,96.76,108.66,121.12,134.16,26.05
1986,23.87,27.72,29.46,31.07,32.55,33.88,35.08,6.09
1987,49.23,70.42,81.99,94.24,107.19,120.87,135.29,-4.34
1988,-12.06,-16.25,-18.32,-20.37,-22.40,-24.40,-26.37,12.74
1989,30.06,38.83,43.24,47.65,52.06,56.45,60.83,15.92
1990,-14.78,-19.92,-22.47,-24.99,-27.48,-29.92,-32.31,-14.73
1991,32.80,44.98,50.98,56.86,62.61,68.16,73.49,47.04
1992,29.43,41.29,47.30,53.32,59.35,65.35,71.30,12.78
1993,10.37,8.60,7.53,6.35,5.06,3.65,2.14,12.20
1994,-2.50,-4.36,-5.43,-6.59,-7.83,-9.16,-10.56,-2.65
1995,59.63,85.87,100.33,115.71,132.06,149.39,167.72,33.02
1996,19.08,26.86,30.61,34.24,37.74,41.07,44.23,18.78
1997,21.96,31.62,36.57,41.59,46.67,51.80,56.97,17.90
1998,51.73,71.24,81.25,91.37,101.54,111.69,121.74,32.79
1999,73.11,112.34,133.81,156.36,179.86,204.12,228.92,70.80
2000,-6.10,-10.32,-12.46,-14.62,-16.80,-19.01,-21.23,-32.50
2001,2.79,2.79,2.79,2.79,2.79,2.79,2.79,-17.42
2002,15.00,15.00,15.00,15.00,15.00,15.00,15.00,-26.08
2003,86.70,132.16,157.62,184.91,213.96,244.72,277.07,41.37
2004,0.04,-3.01,-4.78,-6.69,-8.74,-10.90,-13.17,7.11
2005,5.10,3.06,1.77,0.30,-1.32,-3.09,-5.00,1.14
2006,45.66,62.92,71.83,80.89,90.06,99.30,108.58,7.88
2007,19.91,19.71,19.12,18.21,16.98,15.43,13.58,8.12
2008,20.34,20.34,20.34,20.34,20.34,20.34,20.34,-33.54
2009,27.16,42.03,49.72,57.55,65.49,73.49,81.52,36.31
2010,53.01,70.14,78.63,87.00,95.16,103.04,110.57,13.99
2011,13.88,10.95,9.28,7.49,5.58,3.56,1.45,-1.49
2012,30.86,42.20,47.79,53.27,58.62,63.81,68.80,13.16
2013,7.30,13.47,16.42,19.26,21.98,24.56,26.99,31.70
2014,4.87,4.79,4.62,4.36,4.00,3.56,3.04,11.08
2015,-16.97,-22.39,-25.10,-27.79,-30.46,-33.09,-35.69,4.74
2016,9.92,9.57,8.72,7.43,5.70,3.55,0.98,6.21
2017,29.03,41.24,47.58,54.07,60.69,67.45,74.32,23.36
2018,-0.69,-0.93,-1.26,-1.73,-2.34,-3.08,-3.95,-3.21
2019,39.93,49.31,53.34,56.86,59.80,62.11,63.75,29.14
2020,74.23,105.56,122.30,139.65,157.49,175.70,194.12,36.10
2021,24.08,33.24,37.67,41.98,46.11,50.06,53.79,17.70
2022,0.67,0.67,0.67,0.67,0.67,0.67,0.67,-27.38
2023,36.57,48.10,53.21,57.79,61.79,65.14,67.80,35.92
2024,24.12,28.45,30.04,31.23,31.99,32.34,32.25,23.69
2025,33.34,41.02,44.49,47.67,50.54,53.06,55.23,16.84
