metric,value,threshold,verdict
baseline_min_at_pct,16.274600,,
P09_min_at_pct,17.514759,,
P09_Sharpe_OOS,0.901306,,
P09_MaxDD_pct,-35.184740,,
P09_Trades_yr,29.201306,,
boot_P_min_better,0.797000,0.9,FAIL
boot_CI95_lo_min_pp,-3.662645,,
boot_P_sharpe_better,0.586200,0.9,FAIL
boot_CI95_lo_sharpe,-0.221762,,
boot_P_maxdd_better,0.604200,0.9,FAIL
boot_CI95_lo_maxdd_pp,-7.516651,,
WFA_WFE,1.016783,"[0.5,2.0]",PASS
WFA_CI95_lo_pct,17.943450,>0,
WFA_t_p,0.000000,<0.05,PASS
WFA_n_windows,49.000000,,
permutation_p,0.000000,<0.05,PASS
permutation_observed_edge_pp,1.240159,,
permutation_P95_edge_pp,-3.653030,,
OVERALL,0.000000,,FAIL
